受付日,案件番号,担当,地区,種別,媒体,進捗,契約済,契約額
2024/01/11,INQ-港区-0001,佐藤,港区,マンション,店頭来店,問い合わせ,0,0.0
2024/01/11,INQ-港区-0002,山田,港区,事務所,ポータルサイト,内見,0,0.0
2024/01/31,INQ-港区-0003,山田,港区,マンション,SNS広告,問い合わせ,0,0.0
2024/01/11,INQ-港区-0004,佐藤,港区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/25,INQ-港区-0005,山田,港区,マンション,紹介,内見,0,0.0
2024/01/18,INQ-港区-0006,山田,港区,事務所,ポータルサイト,成約,1,22890.0
2024/01/17,INQ-港区-0007,佐藤,港区,事務所,SNS広告,内見,0,0.0
2024/01/25,INQ-港区-0008,田中,港区,戸建て,ポータルサイト,問い合わせ,0,0.0
2024/01/05,INQ-港区-0009,佐藤,港区,事務所,店頭来店,問い合わせ,0,0.0
2024/01/16,INQ-港区-0010,田中,港区,マンション,チラシ,問い合わせ,0,0.0
2024/01/20,INQ-港区-0011,鈴木,港区,戸建て,ポータルサイト,成約,1,12467.0
2024/01/01,INQ-港区-0012,中村,港区,事務所,ポータルサイト,内見,0,0.0
2024/01/27,INQ-港区-0013,田中,港区,事務所,チラシ,内見,0,0.0
2024/01/21,INQ-港区-0014,鈴木,港区,事務所,チラシ,内見,0,0.0
2024/01/10,INQ-港区-0015,中村,港区,土地,ポータルサイト,内見,0,0.0
2024/01/16,INQ-港区-0016,山田,港区,戸建て,SNS広告,申し込み,0,0.0
2024/01/05,INQ-港区-0017,山田,港区,戸建て,チラシ,問い合わせ,0,0.0
2024/01/17,INQ-港区-0018,鈴木,港区,マンション,ポータルサイト,成約,1,17022.0
2024/01/26,INQ-港区-0019,山田,港区,土地,チラシ,申し込み,0,0.0
2024/01/17,INQ-港区-0020,佐藤,港区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/10,INQ-港区-0021,中村,港区,事務所,店頭来店,内見,0,0.0
2024/01/15,INQ-港区-0022,中村,港区,事務所,ポータルサイト,内見,0,0.0
2024/01/18,INQ-港区-0023,中村,港区,事務所,SNS広告,内見,0,0.0
2024/01/11,INQ-港区-0024,鈴木,港区,戸建て,SNS広告,問い合わせ,0,0.0
2024/01/08,INQ-港区-0025,山田,港区,マンション,ポータルサイト,内見,0,0.0
2024/01/16,INQ-港区-0026,山田,港区,事務所,チラシ,問い合わせ,0,0.0
2024/01/26,INQ-港区-0027,鈴木,港区,事務所,チラシ,成約,1,24933.0
