日付,問い合わせID,担当者,エリア,物件種別,問い合わせ経路,ステータス,成約フラグ,成約金額(万円)
2024/01/21,INQ-世田-0001,中村,世田谷区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/11,INQ-世田-0002,鈴木,世田谷区,戸建て,紹介,内見,0,0.0
2024/01/07,INQ-世田-0003,田中,世田谷区,戸建て,SNS広告,問い合わせ,0,0.0
2024/01/27,INQ-世田-0004,鈴木,世田谷区,土地,紹介,問い合わせ,0,0.0
2024/01/26,INQ-世田-0005,中村,世田谷区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/05,INQ-世田-0006,鈴木,世田谷区,土地,紹介,成約,1,11773.0
2024/01/04,INQ-世田-0007,田中,世田谷区,戸建て,ポータルサイト,申し込み,0,0.0
2024/01/26,INQ-世田-0008,鈴木,世田谷区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/09,INQ-世田-0009,田中,世田谷区,戸建て,紹介,問い合わせ,0,0.0
2024/01/17,INQ-世田-0010,田中,世田谷区,マンション,SNS広告,内見,0,0.0
2024/01/25,INQ-世田-0011,佐藤,世田谷区,マンション,SNS広告,問い合わせ,0,0.0
2024/01/08,INQ-世田-0012,中村,世田谷区,マンション,紹介,問い合わせ,0,0.0
2024/01/30,INQ-世田-0013,中村,世田谷区,土地,SNS広告,問い合わせ,0,0.0
2024/01/31,INQ-世田-0014,田中,世田谷区,マンション,チラシ,問い合わせ,0,0.0
2024/01/28,INQ-世田-0015,山田,世田谷区,事務所,紹介,内見,0,0.0
2024/01/16,INQ-世田-0016,山田,世田谷区,マンション,店頭来店,内見,0,0.0
2024/01/11,INQ-世田-0017,中村,世田谷区,戸建て,ポータルサイト,成約,1,7650.0
2024/01/09,INQ-世田-0018,中村,世田谷区,土地,ポータルサイト,成約,1,6932.0
2024/01/20,INQ-世田-0019,中村,世田谷区,土地,SNS広告,内見,0,0.0
2024/01/20,INQ-世田-0020,山田,世田谷区,マンション,紹介,問い合わせ,0,0.0
2024/01/04,INQ-世田-0021,中村,世田谷区,戸建て,ポータルサイト,成約,1,7802.0
2024/01/29,INQ-世田-0022,鈴木,世田谷区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/15,INQ-世田-0023,山田,世田谷区,事務所,紹介,内見,0,0.0
2024/01/11,INQ-世田-0024,山田,世田谷区,土地,紹介,問い合わせ,0,0.0
2024/01/12,INQ-世田-0025,鈴木,世田谷区,事務所,ポータルサイト,申し込み,0,0.0
2024/01/27,INQ-世田-0026,田中,世田谷区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/24,INQ-世田-0027,佐藤,世田谷区,戸建て,SNS広告,問い合わせ,0,0.0
2024/01/19,INQ-世田-0028,中村,世田谷区,土地,紹介,内見,0,0.0
2024/01/14,INQ-世田-0029,佐藤,世田谷区,事務所,店頭来店,問い合わせ,0,0.0
2024/01/24,INQ-世田-0030,田中,世田谷区,土地,SNS広告,問い合わせ,0,0.0
2024/01/12,INQ-世田-0031,田中,世田谷区,戸建て,ポータルサイト,内見,0,0.0
2024/01/16,INQ-世田-0032,鈴木,世田谷区,マンション,ポータルサイト,申し込み,0,0.0
2024/01/18,INQ-世田-0033,佐藤,世田谷区,マンション,紹介,問い合わせ,0,0.0
2024/01/19,INQ-世田-0034,鈴木,世田谷区,事務所,店頭来店,問い合わせ,0,0.0
2024/01/25,INQ-世田-0035,中村,世田谷区,マンション,SNS広告,内見,0,0.0
2024/01/22,INQ-世田-0036,佐藤,世田谷区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/23,INQ-世田-0037,佐藤,世田谷区,土地,ポータルサイト,内見,0,0.0
2024/01/06,INQ-世田-0038,鈴木,世田谷区,事務所,ポータルサイト,内見,0,0.0
2024/01/24,INQ-世田-0039,田中,世田谷区,マンション,紹介,問い合わせ,0,0.0
2024/01/07,INQ-世田-0040,山田,世田谷区,事務所,SNS広告,内見,0,0.0
2024/01/06,INQ-世田-0041,佐藤,世田谷区,土地,紹介,成約,1,10725.0
2024/01/25,INQ-世田-0042,中村,世田谷区,マンション,店頭来店,成約,1,9282.0
2024/01/05,INQ-世田-0043,鈴木,世田谷区,マンション,紹介,問い合わせ,0,0.0
2024/01/09,INQ-世田-0044,山田,世田谷区,事務所,SNS広告,成約,1,6310.0
2024/01/15,INQ-世田-0045,山田,世田谷区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/17,INQ-世田-0046,田中,世田谷区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/10,INQ-世田-0047,中村,世田谷区,事務所,SNS広告,内見,0,0.0
2024/01/10,INQ-世田-0048,田中,世田谷区,戸建て,ポータルサイト,内見,0,0.0
2024/01/20,INQ-世田-0049,田中,世田谷区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/31,INQ-世田-0050,鈴木,世田谷区,戸建て,紹介,申し込み,0,0.0
2024/01/10,INQ-世田-0051,佐藤,世田谷区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/24,INQ-世田-0052,山田,世田谷区,戸建て,ポータルサイト,内見,0,0.0
2024/01/18,INQ-世田-0053,鈴木,世田谷区,土地,ポータルサイト,成約,1,9679.0
2024/01/28,INQ-世田-0054,田中,世田谷区,事務所,ポータルサイト,内見,0,0.0
2024/01/30,INQ-世田-0055,田中,世田谷区,土地,SNS広告,成約,1,8311.0
2024/01/19,INQ-世田-0056,山田,世田谷区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/13,INQ-世田-0057,田中,世田谷区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/31,INQ-世田-0058,中村,世田谷区,事務所,店頭来店,申し込み,0,0.0
2024/01/30,INQ-世田-0059,佐藤,世田谷区,マンション,ポータルサイト,内見,0,0.0
2024/01/04,INQ-世田-0060,鈴木,世田谷区,事務所,SNS広告,成約,1,11141.0
2024/01/17,INQ-世田-0061,田中,世田谷区,事務所,店頭来店,問い合わせ,0,0.0
2024/01/24,INQ-世田-0062,佐藤,世田谷区,戸建て,ポータルサイト,問い合わせ,0,0.0
2024/01/06,INQ-世田-0063,田中,世田谷区,マンション,SNS広告,問い合わせ,0,0.0
2024/01/07,INQ-世田-0064,佐藤,世田谷区,土地,紹介,問い合わせ,0,0.0
2024/01/27,INQ-世田-0065,鈴木,世田谷区,戸建て,ポータルサイト,問い合わせ,0,0.0
