日付,問い合わせID,担当者,エリア,物件種別,問い合わせ経路,ステータス,成約フラグ,成約金額(万円)
2024/01/17,INQ-品川-0001,鈴木,品川区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/30,INQ-品川-0002,鈴木,品川区,事務所,店頭来店,内見,0,0.0
2024/01/30,INQ-品川-0003,田中,品川区,事務所,ポータルサイト,内見,0,0.0
2024/01/17,INQ-品川-0004,佐藤,品川区,戸建て,ポータルサイト,申し込み,0,0.0
2024/01/03,INQ-品川-0005,佐藤,品川区,戸建て,ポータルサイト,申し込み,0,0.0
2024/01/30,INQ-品川-0006,田中,品川区,土地,紹介,問い合わせ,0,0.0
2024/01/05,INQ-品川-0007,田中,品川区,土地,店頭来店,申し込み,0,0.0
2024/01/16,INQ-品川-0008,鈴木,品川区,事務所,ポータルサイト,内見,0,0.0
2024/01/01,INQ-品川-0009,田中,品川区,マンション,ポータルサイト,成約,1,7569.0
2024/01/27,INQ-品川-0010,鈴木,品川区,事務所,ポータルサイト,内見,0,0.0
2024/01/10,INQ-品川-0011,鈴木,品川区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/08,INQ-品川-0012,山田,品川区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/27,INQ-品川-0013,山田,品川区,マンション,SNS広告,問い合わせ,0,0.0
2024/01/19,INQ-品川-0014,鈴木,品川区,戸建て,ポータルサイト,問い合わせ,0,0.0
2024/01/01,INQ-品川-0015,中村,品川区,土地,ポータルサイト,内見,0,0.0
2024/01/14,INQ-品川-0016,鈴木,品川区,マンション,SNS広告,問い合わせ,0,0.0
2024/01/12,INQ-品川-0017,田中,品川区,マンション,ポータルサイト,内見,0,0.0
2024/01/16,INQ-品川-0018,田中,品川区,事務所,チラシ,申し込み,0,0.0
2024/01/09,INQ-品川-0019,田中,品川区,土地,紹介,問い合わせ,0,0.0
2024/01/12,INQ-品川-0020,鈴木,品川区,マンション,紹介,申し込み,0,0.0
2024/01/24,INQ-品川-0021,佐藤,品川区,戸建て,ポータルサイト,申し込み,0,0.0
2024/01/18,INQ-品川-0022,佐藤,品川区,戸建て,店頭来店,問い合わせ,0,0.0
2024/01/22,INQ-品川-0023,山田,品川区,事務所,SNS広告,申し込み,0,0.0
2024/01/26,INQ-品川-0024,鈴木,品川区,マンション,紹介,問い合わせ,0,0.0
2024/01/31,INQ-品川-0025,山田,品川区,マンション,ポータルサイト,内見,0,0.0
2024/01/02,INQ-品川-0026,鈴木,品川区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/10,INQ-品川-0027,中村,品川区,事務所,チラシ,問い合わせ,0,0.0
