date,inquiry_id,agent,area,property_type,channel,status,is_contracted,contract_amount,amount_imputed,source_file
2024-01-21,INQ-渋谷-0001,田中,渋谷区,マンション,紹介,申し込み,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-08,INQ-渋谷-0002,鈴木,渋谷区,戸建て,紹介,問い合わせ,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-22,INQ-渋谷-0003,中村,渋谷区,マンション,SNS広告,成約,1,13759.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-02,INQ-渋谷-0004,田中,渋谷区,マンション,ポータルサイト,内見,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-17,INQ-渋谷-0005,中村,渋谷区,マンション,SNS広告,内見,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-23,INQ-渋谷-0006,中村,渋谷区,事務所,ポータルサイト,内見,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-19,INQ-渋谷-0007,佐藤,渋谷区,マンション,紹介,問い合わせ,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-06,INQ-渋谷-0008,山田,渋谷区,土地,ポータルサイト,問い合わせ,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-07,INQ-渋谷-0009,佐藤,渋谷区,マンション,ポータルサイト,内見,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-04,INQ-渋谷-0010,佐藤,渋谷区,土地,SNS広告,申し込み,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-26,INQ-渋谷-0011,田中,渋谷区,事務所,SNS広告,問い合わせ,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-30,INQ-渋谷-0012,山田,渋谷区,マンション,SNS広告,問い合わせ,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-27,INQ-渋谷-0013,中村,渋谷区,土地,SNS広告,内見,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-23,INQ-渋谷-0014,田中,渋谷区,マンション,紹介,問い合わせ,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-25,INQ-渋谷-0015,佐藤,渋谷区,マンション,店頭来店,問い合わせ,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-28,INQ-渋谷-0016,田中,渋谷区,事務所,ポータルサイト,内見,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-21,INQ-渋谷-0017,佐藤,渋谷区,戸建て,ポータルサイト,問い合わせ,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-07,INQ-渋谷-0018,佐藤,渋谷区,マンション,SNS広告,問い合わせ,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-06,INQ-渋谷-0019,中村,渋谷区,戸建て,ポータルサイト,内見,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-13,INQ-渋谷-0020,佐藤,渋谷区,戸建て,紹介,問い合わせ,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-27,INQ-渋谷-0021,田中,渋谷区,戸建て,店頭来店,申し込み,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-26,INQ-渋谷-0022,佐藤,渋谷区,事務所,ポータルサイト,問い合わせ,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-07,INQ-渋谷-0023,中村,渋谷区,土地,ポータルサイト,内見,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
2024-01-16,INQ-渋谷-0024,山田,渋谷区,事務所,ポータルサイト,問い合わせ,0,0.0,False,01_渋谷区_問い合わせ_202401.csv
