物件ID,物件名,エリア,物件タイプ,賃料(円),管理費(円),入居状況,入居開始日,退去日,管理コスト(円),修繕費(円)
P-渋0001,渋谷-1K-001,渋谷区,1K,83000,4000,入居中,2021/02/01,,20479,0
P-渋0002,渋谷-1K-002,渋谷区,1K,101000,6500,入居中,2023/05/01,,24512,0
P-渋0003,渋谷-1LDK-003,渋谷区,1LDK,165000,12500,入居中,2022/05/01,,12415,0
P-渋0004,渋谷-1DK-004,渋谷区,1DK,122000,7000,入居中,2023/02/01,,9544,175909
P-渋0005,渋谷-1DK-005,渋谷区,1DK,137000,6500,入居中,2023/09/01,,6358,0
P-渋0006,渋谷-1DK-006,渋谷区,1DK,109000,5500,入居中,2021/11/01,,14955,0
P-渋0007,渋谷-1K-007,渋谷区,1K,109000,8500,入居中,2021/09/01,,13217,0
P-渋0008,渋谷-3LDK-008,渋谷区,3LDK,278000,10000,入居中,2022/11/01,,18729,0
P-渋0009,渋谷-1K-009,渋谷区,1K,97000,6500,入居中,2023/05/01,,17595,0
P-渋0010,渋谷-3LDK-010,渋谷区,3LDK,370000,18000,入居中,2021/10/01,,22961,0
P-渋0011,渋谷-2LDK-011,渋谷区,2LDK,199000,6000,入居中,2023/04/01,,20936,0
P-渋0012,渋谷-1K-012,渋谷区,1K,111000,5500,募集中,,2024/01/20,15112,126686
P-渋0013,渋谷-1K-013,渋谷区,1K,97000,5000,入居中,2022/07/01,,18368,0
P-渋0014,渋谷-1K-014,渋谷区,1K,102000,5500,空室,,2024/01/10,16071,0
P-渋0015,渋谷-1DK-015,渋谷区,1DK,117000,4500,入居中,2021/03/01,,13734,0
P-渋0016,渋谷-1DK-016,渋谷区,1DK,141000,6000,入居中,2021/07/01,,6166,0
P-渋0017,渋谷-3LDK-017,渋谷区,3LDK,325000,20500,入居中,2021/02/01,,20677,0
P-渋0018,渋谷-3LDK-018,渋谷区,3LDK,300000,10000,入居中,2023/02/01,,5454,0
P-渋0019,渋谷-1K-019,渋谷区,1K,116000,4000,入居中,2021/05/01,,15020,0
P-渋0020,渋谷-3LDK-020,渋谷区,3LDK,285000,17500,募集中,,2024/01/20,11030,0
P-渋0021,渋谷-1DK-021,渋谷区,1DK,117000,9000,入居中,2022/03/01,,7360,0
