PropertyID,PropertyName,Area,PropertyType,Rent,ManagementFee,OccupancyStatus,MoveInDate,MoveOutDate,ManagementCost,RepairCost
P-新0001,新宿-1K-001,新宿区,1K,109000,7500,Occupied,2023/09/01,,16587,0
P-新0002,新宿-2LDK-002,新宿区,2LDK,172000,9500,Occupied,2022/09/01,,11461,0
P-新0003,新宿-1LDK-003,新宿区,1LDK,143000,8500,Occupied,2021/05/01,,9995,75298
P-新0004,新宿-2LDK-004,新宿区,2LDK,214000,10000,Occupied,2022/05/01,,9651,0
P-新0005,新宿-1LDK-005,新宿区,1LDK,130000,5500,Occupied,2023/06/01,,18714,0
P-新0006,新宿-1DK-006,新宿区,1DK,128000,7000,Occupied,2021/09/01,,11567,0
P-新0007,新宿-1LDK-007,新宿区,1LDK,153000,9000,Occupied,2021/03/01,,15654,0
P-新0008,新宿-1LDK-008,新宿区,1LDK,155000,11000,ForRent,,2024/01/20,18895,191926
P-新0009,新宿-1DK-009,新宿区,1DK,120000,7500,ForRent,,2024/01/20,16615,0
P-新0010,新宿-1LDK-010,新宿区,1LDK,125000,9500,Occupied,2023/11/01,,8387,0
P-新0011,新宿-1K-011,新宿区,1K,102000,7500,ForRent,,2024/01/20,6802,0
P-新0012,新宿-3LDK-012,新宿区,3LDK,252000,15000,Occupied,2021/06/01,,8354,0
P-新0013,新宿-1DK-013,新宿区,1DK,113000,6000,Occupied,2023/03/01,,19554,0
P-新0014,新宿-3LDK-014,新宿区,3LDK,297000,22500,ForRent,,2024/01/20,21900,50354
P-新0015,新宿-1DK-015,新宿区,1DK,114000,5500,Occupied,2023/04/01,,18157,0
P-新0016,新宿-1DK-016,新宿区,1DK,126000,8500,Occupied,2022/04/01,,22967,0
P-新0017,新宿-2LDK-017,新宿区,2LDK,188000,7000,Occupied,2023/05/01,,8152,0
P-新0018,新宿-2LDK-018,新宿区,2LDK,171000,9500,Occupied,2022/06/01,,19593,0
P-新0019,新宿-1LDK-019,新宿区,1LDK,128000,10000,Occupied,2022/02/01,,12527,0
P-新0020,新宿-3LDK-020,新宿区,3LDK,255000,15500,Occupied,2022/06/01,,22010,111289
P-新0021,新宿-1DK-021,新宿区,1DK,90000,4500,Occupied,2023/04/01,,19451,0
P-新0022,新宿-1LDK-022,新宿区,1LDK,146000,6500,ForRent,,2024/01/20,15311,0
P-新0023,新宿-1K-023,新宿区,1K,107000,8500,Occupied,2023/01/01,,5883,0
P-新0024,新宿-1DK-024,新宿区,1DK,95000,7500,ForRent,,2024/01/20,5479,0
P-新0025,新宿-1K-025,新宿区,1K,98000,7000,ForRent,,2024/01/20,22268,0
P-新0026,新宿-1LDK-026,新宿区,1LDK,121000,8000,Occupied,2021/11/01,,21166,0
P-新0027,新宿-2LDK-027,新宿区,2LDK,163000,4500,Occupied,2021/11/01,,8126,0
P-新0028,新宿-1LDK-028,新宿区,1LDK,134000,9500,Occupied,2021/02/01,,9897,0
P-新0029,新宿-1K-029,新宿区,1K,102000,6500,Occupied,2021/02/01,,21395,172456
P-新0030,新宿-1DK-030,新宿区,1DK,124000,8000,Occupied,2022/02/01,,15090,0
P-新0031,新宿-3LDK-031,新宿区,3LDK,325000,12500,Occupied,2022/11/01,,19692,0
P-新0032,新宿-1LDK-032,新宿区,1LDK,164000,5000,Vacant,,2024/01/10,17230,0
P-新0033,新宿-1DK-033,新宿区,1DK,100000,6500,ForRent,,2024/01/20,22682,0
P-新0034,新宿-2LDK-034,新宿区,2LDK,229000,18000,Occupied,2021/08/01,,8670,0
P-新0035,新宿-2LDK-035,新宿区,2LDK,238000,8500,Occupied,2022/07/01,,16448,0
P-新0036,新宿-2LDK-036,新宿区,2LDK,208000,12500,ForRent,,2024/01/20,18995,0
P-新0037,新宿-1DK-037,新宿区,1DK,113000,5500,ForRent,,2024/01/20,15167,0
P-新0038,新宿-1LDK-038,新宿区,1LDK,178000,7500,Occupied,2023/07/01,,7681,0
P-新0039,新宿-1DK-039,新宿区,1DK,110000,5500,Occupied,2023/07/01,,17692,0
P-新0040,新宿-1DK-040,新宿区,1DK,120000,3500,Occupied,2021/03/01,,11340,0
P-新0041,新宿-3LDK-041,新宿区,3LDK,232000,13500,Occupied,2022/08/01,,16449,0
P-新0042,新宿-3LDK-042,新宿区,3LDK,300000,20500,Occupied,2022/07/01,,11324,0
P-新0043,新宿-1LDK-043,新宿区,1LDK,151000,8000,Occupied,2021/11/01,,12213,0
P-新0044,新宿-3LDK-044,新宿区,3LDK,330000,18000,Occupied,2022/10/01,,15072,0
P-新0045,新宿-2LDK-045,新宿区,2LDK,194000,6500,Vacant,,2024/01/10,14882,177648
P-新0046,新宿-3LDK-046,新宿区,3LDK,329000,14000,Occupied,2022/01/01,,16305,0
P-新0047,新宿-2LDK-047,新宿区,2LDK,226000,6500,Occupied,2023/08/01,,13733,0
