物件ID,物件名,エリア,物件タイプ,賃料(円),管理費(円),入居状況,入居開始日,退去日,管理コスト(円),修繕費(円)
P-港0001,港区-1DK-001,港区,1DK,127000,7500,入居中,2021/01/01,,18369,0
P-港0002,港区-1DK-002,港区,1DK,169000,11500,入居中,2021/09/01,,13489,0
P-港0003,港区-3LDK-003,港区,3LDK,345000,21000,入居中,2021/06/01,,11672,0
P-港0004,港区-2LDK-004,港区,2LDK,219000,8000,入居中,2023/03/01,,13355,0
P-港0005,港区-1K-005,港区,1K,131000,10000,入居中,2021/04/01,,18018,0
P-港0006,港区-1K-006,港区,1K,94000,6000,入居中,2022/04/01,,5824,0
P-港0007,港区-1K-007,港区,1K,99000,7000,入居中,2021/03/01,,23814,0
P-港0008,港区-1DK-008,港区,1DK,144000,8500,入居中,2023/10/01,,19464,113859
P-港0009,港区-1DK-009,港区,1DK,162000,10000,入居中,2022/01/01,,17751,0
P-港0010,港区-2LDK-010,港区,2LDK,286000,16000,入居中,2021/06/01,,12332,0
P-港0011,港区-3LDK-011,港区,3LDK,370000,26500,入居中,2021/07/01,,20372,0
P-港0012,港区-1K-012,港区,1K,96000,4500,入居中,2022/02/01,,22005,0
P-港0013,港区-2LDK-013,港区,2LDK,202000,15000,入居中,2021/04/01,,12971,0
P-港0014,港区-2LDK-014,港区,2LDK,237000,7000,入居中,2022/04/01,,8832,0
P-港0015,港区-3LDK-015,港区,3LDK,304000,9000,入居中,2022/07/01,,16969,0
P-港0016,港区-2LDK-016,港区,2LDK,285000,17000,入居中,2022/10/01,,24636,0
P-港0017,港区-3LDK-017,港区,3LDK,367000,28500,入居中,2021/02/01,,19413,0
P-港0018,港区-1LDK-018,港区,1LDK,190000,9500,入居中,2022/11/01,,19648,0
P-港0019,港区-3LDK-019,港区,3LDK,298000,13000,入居中,2022/04/01,,24691,0
P-港0020,港区-1K-020,港区,1K,90000,2500,入居中,2023/11/01,,7477,0
P-港0021,港区-1K-021,港区,1K,132000,10000,入居中,2022/01/01,,14299,0
P-港0022,港区-3LDK-022,港区,3LDK,317000,22000,入居中,2021/01/01,,16109,0
P-港0023,港区-1LDK-023,港区,1LDK,154000,4500,入居中,2023/08/01,,12454,188365
P-港0024,港区-1LDK-024,港区,1LDK,211000,15000,空室,,2024/01/10,19797,0
P-港0025,港区-1K-025,港区,1K,126000,5000,空室,,2024/01/10,7038,0
P-港0026,港区-1LDK-026,港区,1LDK,199000,11000,入居中,2023/10/01,,10259,145138
P-港0027,港区-2LDK-027,港区,2LDK,273000,11000,入居中,2023/10/01,,18432,0
P-港0028,港区-1DK-028,港区,1DK,165000,9500,入居中,2022/10/01,,10978,0
P-港0029,港区-2LDK-029,港区,2LDK,303000,10000,入居中,2022/09/01,,8751,0
P-港0030,港区-1K-030,港区,1K,116000,5000,入居中,2021/07/01,,24974,0
P-港0031,港区-1LDK-031,港区,1LDK,164000,10500,入居中,2022/11/01,,24951,0
P-港0032,港区-3LDK-032,港区,3LDK,317000,11500,募集中,,2024/01/20,14938,0
P-港0033,港区-1DK-033,港区,1DK,137000,4000,入居中,2023/04/01,,9039,0
P-港0034,港区-3LDK-034,港区,3LDK,356000,27500,入居中,2023/04/01,,13407,0
P-港0035,港区-1K-035,港区,1K,107000,4000,入居中,2021/06/01,,22939,0
P-港0036,港区-1LDK-036,港区,1LDK,228000,13500,入居中,2023/03/01,,19846,0
P-港0037,港区-3LDK-037,港区,3LDK,330000,12000,入居中,2021/07/01,,11449,0
P-港0038,港区-3LDK-038,港区,3LDK,322000,22000,入居中,2023/11/01,,20839,0
P-港0039,港区-1DK-039,港区,1DK,149000,10500,入居中,2022/03/01,,18491,0
P-港0040,港区-1DK-040,港区,1DK,128000,4000,入居中,2023/06/01,,16243,0
P-港0041,港区-1LDK-041,港区,1LDK,224000,7000,入居中,2021/01/01,,13659,0
P-港0042,港区-1DK-042,港区,1DK,122000,4000,入居中,2023/04/01,,9921,0
P-港0043,港区-3LDK-043,港区,3LDK,288000,10000,募集中,,2024/01/20,6019,0
P-港0044,港区-3LDK-044,港区,3LDK,432000,17000,入居中,2021/05/01,,18963,0
P-港0045,港区-1K-045,港区,1K,97000,3000,空室,,2024/01/10,5033,0
P-港0046,港区-3LDK-046,港区,3LDK,298000,16000,入居中,2022/09/01,,15163,0
P-港0047,港区-1LDK-047,港区,1LDK,187000,8000,入居中,2023/06/01,,21824,0
P-港0048,港区-2LDK-048,港区,2LDK,303000,12500,入居中,2022/01/01,,18665,0
P-港0049,港区-1K-049,港区,1K,114000,7000,空室,,2024/01/10,14215,0
P-港0050,港区-1K-050,港区,1K,105000,7500,空室,,2024/01/10,7764,188591
P-港0051,港区-1LDK-051,港区,1LDK,165000,5500,入居中,2022/03/01,,19125,0
