物件番号,物件名称,地域,タイプ,月額賃料,管理費,状態,入居日,退去日,管理費用,修繕費用
P-世0001,世田-1DK-001,世田谷区,1DK,103000,7000,居住中,2021/06/01,,14879,0
P-世0002,世田-1K-002,世田谷区,1K,70000,4500,居住中,2023/07/01,,24903,0
P-世0003,世田-1DK-003,世田谷区,1DK,98000,5500,居住中,2023/02/01,,23188,0
P-世0004,世田-3LDK-004,世田谷区,3LDK,218000,15000,居住中,2022/07/01,,7259,0
P-世0005,世田-1K-005,世田谷区,1K,76000,2500,空き,,2024/01/10,22237,0
P-世0006,世田-1K-006,世田谷区,1K,66000,2500,居住中,2023/10/01,,18183,0
P-世0007,世田-2LDK-007,世田谷区,2LDK,165000,12000,募集,,2024/01/20,7958,130951
P-世0008,世田-1K-008,世田谷区,1K,88000,3000,居住中,2021/01/01,,18861,0
P-世0009,世田-3LDK-009,世田谷区,3LDK,290000,23000,募集,,2024/01/20,5331,0
P-世0010,世田-1DK-010,世田谷区,1DK,102000,7500,居住中,2021/04/01,,22946,0
P-世0011,世田-1DK-011,世田谷区,1DK,108000,6000,居住中,2023/10/01,,6010,0
P-世0012,世田-2LDK-012,世田谷区,2LDK,155000,9000,居住中,2023/03/01,,5363,0
P-世0013,世田-3LDK-013,世田谷区,3LDK,254000,14500,居住中,2022/08/01,,17215,0
P-世0014,世田-1DK-014,世田谷区,1DK,110000,7000,居住中,2023/06/01,,16338,0
P-世0015,世田-1LDK-015,世田谷区,1LDK,156000,10500,居住中,2023/02/01,,5249,0
P-世0016,世田-3LDK-016,世田谷区,3LDK,272000,13500,募集,,2024/01/20,22793,0
P-世0017,世田-3LDK-017,世田谷区,3LDK,223000,8500,居住中,2023/11/01,,24230,0
P-世0018,世田-2LDK-018,世田谷区,2LDK,159000,8500,居住中,2022/05/01,,9242,0
P-世0019,世田-1DK-019,世田谷区,1DK,96000,6000,居住中,2023/07/01,,15340,0
P-世0020,世田-3LDK-020,世田谷区,3LDK,233000,17500,居住中,2022/02/01,,7092,0
P-世0021,世田-1DK-021,世田谷区,1DK,80000,5000,居住中,2023/09/01,,9087,65758
P-世0022,世田-1LDK-022,世田谷区,1LDK,143000,10500,居住中,2022/07/01,,17574,0
P-世0023,世田-2LDK-023,世田谷区,2LDK,186000,9000,居住中,2022/01/01,,5203,0
P-世0024,世田-1LDK-024,世田谷区,1LDK,111000,5000,募集,,2024/01/20,12253,96998
P-世0025,世田-2LDK-025,世田谷区,2LDK,164000,7500,居住中,2021/02/01,,18691,0
P-世0026,世田-3LDK-026,世田谷区,3LDK,236000,17000,募集,,2024/01/20,20070,0
P-世0027,世田-2LDK-027,世田谷区,2LDK,218000,12000,居住中,2021/01/01,,8715,0
P-世0028,世田-1K-028,世田谷区,1K,65000,5000,居住中,2023/02/01,,14629,0
P-世0029,世田-1DK-029,世田谷区,1DK,89000,3500,居住中,2023/10/01,,10048,0
P-世0030,世田-1DK-030,世田谷区,1DK,84000,6500,空き,,2024/01/10,24691,0
P-世0031,世田-1K-031,世田谷区,1K,79000,3500,空き,,2024/01/10,7755,0
P-世0032,世田-1LDK-032,世田谷区,1LDK,148000,9000,募集,,2024/01/20,21915,0
P-世0033,世田-1K-033,世田谷区,1K,67000,2500,居住中,2022/09/01,,10065,0
P-世0034,世田-3LDK-034,世田谷区,3LDK,268000,13000,居住中,2021/09/01,,10920,0
P-世0035,世田-3LDK-035,世田谷区,3LDK,185000,14000,空き,,2024/01/10,9136,69594
P-世0036,世田-1DK-036,世田谷区,1DK,115000,4500,居住中,2023/01/01,,8556,0
P-世0037,世田-3LDK-037,世田谷区,3LDK,233000,9500,居住中,2023/09/01,,22579,0
P-世0038,世田-1DK-038,世田谷区,1DK,93000,5000,募集,,2024/01/20,19398,0
P-世0039,世田-1K-039,世田谷区,1K,73000,5500,居住中,2023/04/01,,6486,0
P-世0040,世田-1K-040,世田谷区,1K,82000,4500,募集,,2024/01/20,12865,0
P-世0041,世田-1K-041,世田谷区,1K,83000,3000,居住中,2023/02/01,,8650,0
P-世0042,世田-1DK-042,世田谷区,1DK,86000,4500,空き,,2024/01/10,24196,0
P-世0043,世田-1K-043,世田谷区,1K,72000,2500,居住中,2023/01/01,,8141,0
P-世0044,世田-1K-044,世田谷区,1K,81000,4000,居住中,2022/02/01,,15572,0
P-世0045,世田-1LDK-045,世田谷区,1LDK,149000,9500,居住中,2022/08/01,,12417,0
P-世0046,世田-1K-046,世田谷区,1K,76000,2000,居住中,2022/01/01,,23636,0
P-世0047,世田-3LDK-047,世田谷区,3LDK,270000,18500,居住中,2021/04/01,,21546,0
P-世0048,世田-1DK-048,世田谷区,1DK,105000,3000,空き,,2024/01/10,16052,0
P-世0049,世田-1LDK-049,世田谷区,1LDK,159000,8000,居住中,2021/06/01,,20957,0
