物件番号,物件名称,地域,タイプ,月額賃料,管理費,状態,入居日,退去日,管理費用,修繕費用
P-品0001,品川-1DK-001,品川区,1DK,102000,7500,居住中,2021/04/01,,17953,0
P-品0002,品川-3LDK-002,品川区,3LDK,285000,17000,居住中,2022/07/01,,6457,0
P-品0003,品川-1DK-003,品川区,1DK,92000,5500,居住中,2021/10/01,,24723,173821
P-品0004,品川-3LDK-004,品川区,3LDK,297000,23500,居住中,2021/04/01,,19992,0
P-品0005,品川-3LDK-005,品川区,3LDK,246000,11500,居住中,2023/07/01,,23950,0
P-品0006,品川-2LDK-006,品川区,2LDK,163000,9000,居住中,2021/08/01,,19395,0
P-品0007,品川-1DK-007,品川区,1DK,103000,5000,募集,,2024/01/20,11847,0
P-品0008,品川-2LDK-008,品川区,2LDK,224000,14000,居住中,2021/01/01,,6834,0
P-品0009,品川-2LDK-009,品川区,2LDK,229000,9000,居住中,2023/03/01,,11530,0
P-品0010,品川-1DK-010,品川区,1DK,126000,4500,募集,,2024/01/20,18356,0
P-品0011,品川-1K-011,品川区,1K,79000,5000,居住中,2023/06/01,,10670,0
P-品0012,品川-1K-012,品川区,1K,89000,6500,居住中,2021/07/01,,19027,0
P-品0013,品川-2LDK-013,品川区,2LDK,155000,12000,居住中,2022/01/01,,11409,0
P-品0014,品川-1LDK-014,品川区,1LDK,142000,10000,居住中,2021/11/01,,13001,0
P-品0015,品川-2LDK-015,品川区,2LDK,226000,10000,居住中,2022/07/01,,22079,0
P-品0016,品川-2LDK-016,品川区,2LDK,223000,9000,居住中,2021/10/01,,11682,0
P-品0017,品川-2LDK-017,品川区,2LDK,234000,15500,居住中,2021/06/01,,24564,0
P-品0018,品川-1K-018,品川区,1K,91000,3500,居住中,2021/03/01,,14129,0
P-品0019,品川-1K-019,品川区,1K,86000,4000,居住中,2021/10/01,,16719,0
P-品0020,品川-1K-020,品川区,1K,89000,2500,居住中,2021/10/01,,8353,0
P-品0021,品川-2LDK-021,品川区,2LDK,171000,11500,居住中,2022/04/01,,7766,49608
P-品0022,品川-1LDK-022,品川区,1LDK,121000,4500,居住中,2022/04/01,,5528,0
P-品0023,品川-1K-023,品川区,1K,104000,3000,居住中,2021/06/01,,23768,0
P-品0024,品川-1DK-024,品川区,1DK,124000,7500,募集,,2024/01/20,14051,0
P-品0025,品川-1DK-025,品川区,1DK,90000,4500,居住中,2022/09/01,,15128,0
P-品0026,品川-1DK-026,品川区,1DK,114000,9000,募集,,2024/01/20,5475,0
P-品0027,品川-3LDK-027,品川区,3LDK,329000,21500,居住中,2023/02/01,,7364,0
P-品0028,品川-2LDK-028,品川区,2LDK,188000,6000,居住中,2023/08/01,,12374,0
P-品0029,品川-1DK-029,品川区,1DK,122000,8500,居住中,2022/08/01,,23729,0
P-品0030,品川-2LDK-030,品川区,2LDK,222000,12000,居住中,2023/02/01,,9439,181815
P-品0031,品川-1DK-031,品川区,1DK,99000,5500,空き,,2024/01/10,8070,116705
P-品0032,品川-1LDK-032,品川区,1LDK,113000,5500,居住中,2023/10/01,,22014,161686
P-品0033,品川-2LDK-033,品川区,2LDK,180000,6500,居住中,2022/06/01,,8360,0
P-品0034,品川-1DK-034,品川区,1DK,105000,3500,居住中,2022/03/01,,21383,0
P-品0035,品川-1K-035,品川区,1K,81000,4000,居住中,2021/05/01,,20046,0
P-品0036,品川-2LDK-036,品川区,2LDK,187000,7500,募集,,2024/01/20,9383,0
P-品0037,品川-3LDK-037,品川区,3LDK,298000,11500,居住中,2021/05/01,,6719,0
P-品0038,品川-1K-038,品川区,1K,94000,3000,居住中,2023/05/01,,24807,0
P-品0039,品川-1K-039,品川区,1K,76000,5500,居住中,2022/03/01,,22501,0
P-品0040,品川-3LDK-040,品川区,3LDK,261000,11500,居住中,2023/07/01,,18121,0
P-品0041,品川-1K-041,品川区,1K,83000,5000,居住中,2021/05/01,,21570,120187
P-品0042,品川-1K-042,品川区,1K,87000,3500,居住中,2022/04/01,,10767,0
P-品0043,品川-1DK-043,品川区,1DK,110000,5000,居住中,2021/05/01,,20091,0
P-品0044,品川-1DK-044,品川区,1DK,110000,7000,居住中,2022/10/01,,21885,41233
P-品0045,品川-2LDK-045,品川区,2LDK,219000,8000,居住中,2023/06/01,,17925,0
P-品0046,品川-2LDK-046,品川区,2LDK,225000,7000,居住中,2022/03/01,,23710,0
P-品0047,品川-2LDK-047,品川区,2LDK,177000,7000,居住中,2021/06/01,,18590,100506
P-品0048,品川-1DK-048,品川区,1DK,92000,3000,居住中,2023/03/01,,18030,0
P-品0049,品川-2LDK-049,品川区,2LDK,154000,7000,居住中,2021/09/01,,11845,0
P-品0050,品川-1K-050,品川区,1K,101000,7500,募集,,2024/01/20,18988,46971
P-品0051,品川-1DK-051,品川区,1DK,105000,3500,居住中,2021/10/01,,17391,0
P-品0052,品川-2LDK-052,品川区,2LDK,212000,16500,居住中,2022/06/01,,15521,65694
P-品0053,品川-1K-053,品川区,1K,103000,6000,居住中,2023/04/01,,23315,0
P-品0054,品川-2LDK-054,品川区,2LDK,194000,10500,居住中,2023/09/01,,10795,0
P-品0055,品川-1LDK-055,品川区,1LDK,145000,5000,募集,,2024/01/20,18091,0
