property_id,property_name,area,property_type,rent,management_fee,occupancy_status,move_in_date,move_out_date,management_cost,repair_cost,is_vacant,monthly_revenue,total_cost,net_income,source_file
P-渋0001,渋谷-1K-001,渋谷区,1K,83000,4000,入居中,2021/02/01,,20479,0,0,87000,20479,66521,01_渋谷区_物件_202401.csv
P-渋0002,渋谷-1K-002,渋谷区,1K,101000,6500,入居中,2023/05/01,,24512,0,0,107500,24512,82988,01_渋谷区_物件_202401.csv
P-渋0003,渋谷-1LDK-003,渋谷区,1LDK,165000,12500,入居中,2022/05/01,,12415,0,0,177500,12415,165085,01_渋谷区_物件_202401.csv
P-渋0004,渋谷-1DK-004,渋谷区,1DK,122000,7000,入居中,2023/02/01,,9544,175909,0,129000,185453,-56453,01_渋谷区_物件_202401.csv
P-渋0005,渋谷-1DK-005,渋谷区,1DK,137000,6500,入居中,2023/09/01,,6358,0,0,143500,6358,137142,01_渋谷区_物件_202401.csv
P-渋0006,渋谷-1DK-006,渋谷区,1DK,109000,5500,入居中,2021/11/01,,14955,0,0,114500,14955,99545,01_渋谷区_物件_202401.csv
P-渋0007,渋谷-1K-007,渋谷区,1K,109000,8500,入居中,2021/09/01,,13217,0,0,117500,13217,104283,01_渋谷区_物件_202401.csv
P-渋0008,渋谷-3LDK-008,渋谷区,3LDK,278000,10000,入居中,2022/11/01,,18729,0,0,288000,18729,269271,01_渋谷区_物件_202401.csv
P-渋0009,渋谷-1K-009,渋谷区,1K,97000,6500,入居中,2023/05/01,,17595,0,0,103500,17595,85905,01_渋谷区_物件_202401.csv
P-渋0010,渋谷-3LDK-010,渋谷区,3LDK,370000,18000,入居中,2021/10/01,,22961,0,0,388000,22961,365039,01_渋谷区_物件_202401.csv
P-渋0011,渋谷-2LDK-011,渋谷区,2LDK,199000,6000,入居中,2023/04/01,,20936,0,0,205000,20936,184064,01_渋谷区_物件_202401.csv
P-渋0012,渋谷-1K-012,渋谷区,1K,111000,5500,募集中,,2024/01/20,15112,126686,1,0,141798,-141798,01_渋谷区_物件_202401.csv
P-渋0013,渋谷-1K-013,渋谷区,1K,97000,5000,入居中,2022/07/01,,18368,0,0,102000,18368,83632,01_渋谷区_物件_202401.csv
P-渋0014,渋谷-1K-014,渋谷区,1K,102000,5500,空室,,2024/01/10,16071,0,1,0,16071,-16071,01_渋谷区_物件_202401.csv
P-渋0015,渋谷-1DK-015,渋谷区,1DK,117000,4500,入居中,2021/03/01,,13734,0,0,121500,13734,107766,01_渋谷区_物件_202401.csv
P-渋0016,渋谷-1DK-016,渋谷区,1DK,141000,6000,入居中,2021/07/01,,6166,0,0,147000,6166,140834,01_渋谷区_物件_202401.csv
P-渋0017,渋谷-3LDK-017,渋谷区,3LDK,325000,20500,入居中,2021/02/01,,20677,0,0,345500,20677,324823,01_渋谷区_物件_202401.csv
P-渋0018,渋谷-3LDK-018,渋谷区,3LDK,300000,10000,入居中,2023/02/01,,5454,0,0,310000,5454,304546,01_渋谷区_物件_202401.csv
P-渋0019,渋谷-1K-019,渋谷区,1K,116000,4000,入居中,2021/05/01,,15020,0,0,120000,15020,104980,01_渋谷区_物件_202401.csv
P-渋0020,渋谷-3LDK-020,渋谷区,3LDK,285000,17500,募集中,,2024/01/20,11030,0,1,0,11030,-11030,01_渋谷区_物件_202401.csv
P-渋0021,渋谷-1DK-021,渋谷区,1DK,117000,9000,入居中,2022/03/01,,7360,0,0,126000,7360,118640,01_渋谷区_物件_202401.csv
P-渋0022,渋谷-3LDK-022,渋谷区,3LDK,364000,25000,入居中,2023/03/01,,24383,0,0,389000,24383,364617,01_渋谷区_物件_202401.csv
P-渋0023,渋谷-2LDK-023,渋谷区,2LDK,187000,14000,入居中,2023/04/01,,6927,0,0,201000,6927,194073,01_渋谷区_物件_202401.csv
P-渋0024,渋谷-1DK-024,渋谷区,1DK,140000,5000,入居中,2022/08/01,,16584,0,0,145000,16584,128416,01_渋谷区_物件_202401.csv
P-渋0025,渋谷-2LDK-025,渋谷区,2LDK,246000,15000,入居中,2022/01/01,,13641,0,0,261000,13641,247359,01_渋谷区_物件_202401.csv
P-渋0026,渋谷-3LDK-026,渋谷区,3LDK,363000,11500,入居中,2022/02/01,,13316,0,0,374500,13316,361184,01_渋谷区_物件_202401.csv
P-渋0027,渋谷-1LDK-027,渋谷区,1LDK,177000,10500,入居中,2023/07/01,,7068,0,0,187500,7068,180432,01_渋谷区_物件_202401.csv
P-渋0028,渋谷-1K-028,渋谷区,1K,97000,5500,入居中,2023/06/01,,11937,55754,0,102500,67691,34809,01_渋谷区_物件_202401.csv
P-渋0029,渋谷-1DK-029,渋谷区,1DK,139000,4500,入居中,2022/02/01,,10516,0,0,143500,10516,132984,01_渋谷区_物件_202401.csv
P-渋0030,渋谷-2LDK-030,渋谷区,2LDK,237000,12500,入居中,2021/10/01,,21151,0,0,249500,21151,228349,01_渋谷区_物件_202401.csv
P-渋0031,渋谷-1LDK-031,渋谷区,1LDK,160000,4500,入居中,2023/04/01,,12273,0,0,164500,12273,152227,01_渋谷区_物件_202401.csv
P-渋0032,渋谷-1LDK-032,渋谷区,1LDK,168000,5500,入居中,2023/09/01,,18319,0,0,173500,18319,155181,01_渋谷区_物件_202401.csv
P-渋0033,渋谷-1DK-033,渋谷区,1DK,136000,9000,入居中,2021/03/01,,11413,0,0,145000,11413,133587,01_渋谷区_物件_202401.csv
P-渋0034,渋谷-1DK-034,渋谷区,1DK,101000,5500,入居中,2022/11/01,,15936,0,0,106500,15936,90564,01_渋谷区_物件_202401.csv
P-渋0035,渋谷-1LDK-035,渋谷区,1LDK,152000,11500,入居中,2021/11/01,,17696,0,0,163500,17696,145804,01_渋谷区_物件_202401.csv
P-渋0036,渋谷-1K-036,渋谷区,1K,117000,4000,入居中,2021/02/01,,15663,0,0,121000,15663,105337,01_渋谷区_物件_202401.csv
P-渋0037,渋谷-1K-037,渋谷区,1K,115000,7500,入居中,2023/06/01,,21912,0,0,122500,21912,100588,01_渋谷区_物件_202401.csv
P-渋0038,渋谷-2LDK-038,渋谷区,2LDK,211000,14000,募集中,,2024/01/20,11711,0,1,0,11711,-11711,01_渋谷区_物件_202401.csv
P-渋0039,渋谷-1K-039,渋谷区,1K,106000,7000,入居中,2021/01/01,,12599,0,0,113000,12599,100401,01_渋谷区_物件_202401.csv
P-渋0040,渋谷-1LDK-040,渋谷区,1LDK,138000,9500,入居中,2021/08/01,,22838,0,0,147500,22838,124662,01_渋谷区_物件_202401.csv
P-渋0041,渋谷-1LDK-041,渋谷区,1LDK,191000,7500,入居中,2021/06/01,,10610,0,0,198500,10610,187890,01_渋谷区_物件_202401.csv
P-渋0042,渋谷-3LDK-042,渋谷区,3LDK,325000,12000,入居中,2021/01/01,,23687,0,0,337000,23687,313313,01_渋谷区_物件_202401.csv
P-渋0043,渋谷-1LDK-043,渋谷区,1LDK,177000,6000,入居中,2022/05/01,,10930,0,0,183000,10930,172070,01_渋谷区_物件_202401.csv
P-渋0044,渋谷-1K-044,渋谷区,1K,87000,6000,入居中,2023/05/01,,5502,0,0,93000,5502,87498,01_渋谷区_物件_202401.csv
P-渋0045,渋谷-2LDK-045,渋谷区,2LDK,192000,14500,入居中,2022/06/01,,6617,0,0,206500,6617,199883,01_渋谷区_物件_202401.csv
P-渋0046,渋谷-3LDK-046,渋谷区,3LDK,349000,27000,空室,,2024/01/10,15420,0,1,0,15420,-15420,01_渋谷区_物件_202401.csv
P-渋0047,渋谷-1K-047,渋谷区,1K,91000,5000,入居中,2023/05/01,,7964,137775,0,96000,145739,-49739,01_渋谷区_物件_202401.csv
P-渋0048,渋谷-2LDK-048,渋谷区,2LDK,180000,10500,入居中,2022/06/01,,24324,0,0,190500,24324,166176,01_渋谷区_物件_202401.csv
P-渋0049,渋谷-1K-049,渋谷区,1K,105000,3000,入居中,2023/06/01,,20695,78948,0,108000,99643,8357,01_渋谷区_物件_202401.csv
P-渋0050,渋谷-3LDK-050,渋谷区,3LDK,284000,16000,入居中,2022/04/01,,20302,0,0,300000,20302,279698,01_渋谷区_物件_202401.csv
P-渋0051,渋谷-1LDK-051,渋谷区,1LDK,158000,7500,入居中,2022/04/01,,23529,0,0,165500,23529,141971,01_渋谷区_物件_202401.csv
P-渋0052,渋谷-3LDK-052,渋谷区,3LDK,318000,13000,入居中,2021/11/01,,10373,0,0,331000,10373,320627,01_渋谷区_物件_202401.csv
P-渋0053,渋谷-1LDK-053,渋谷区,1LDK,137000,4500,入居中,2021/04/01,,14508,131053,0,141500,145561,-4061,01_渋谷区_物件_202401.csv
P-渋0054,渋谷-3LDK-054,渋谷区,3LDK,388000,29500,入居中,2022/02/01,,7877,0,0,417500,7877,409623,01_渋谷区_物件_202401.csv
P-渋0055,渋谷-1DK-055,渋谷区,1DK,122000,3500,空室,,2024/01/10,7309,63119,1,0,70428,-70428,01_渋谷区_物件_202401.csv
P-渋0056,渋谷-1K-056,渋谷区,1K,86000,5000,入居中,2023/11/01,,15319,0,0,91000,15319,75681,01_渋谷区_物件_202401.csv
P-渋0057,渋谷-1K-057,渋谷区,1K,100000,7000,入居中,2023/03/01,,20853,174692,0,107000,195545,-88545,01_渋谷区_物件_202401.csv
P-渋0058,渋谷-1DK-058,渋谷区,1DK,111000,6500,空室,,2024/01/10,9987,0,1,0,9987,-9987,01_渋谷区_物件_202401.csv
P-渋0059,渋谷-1LDK-059,渋谷区,1LDK,130000,7000,空室,,2024/01/10,12472,45864,1,0,58336,-58336,01_渋谷区_物件_202401.csv
P-渋0060,渋谷-1K-060,渋谷区,1K,113000,8500,入居中,2021/03/01,,18787,0,0,121500,18787,102713,01_渋谷区_物件_202401.csv
P-新0001,新宿-1K-001,新宿区,1K,109000,7500,入居中,2023/09/01,,16587,0,0,116500,16587,99913,02_shinjuku_properties_202401.csv
P-新0002,新宿-2LDK-002,新宿区,2LDK,172000,9500,入居中,2022/09/01,,11461,0,0,181500,11461,170039,02_shinjuku_properties_202401.csv
P-新0003,新宿-1LDK-003,新宿区,1LDK,143000,8500,入居中,2021/05/01,,9995,75298,0,151500,85293,66207,02_shinjuku_properties_202401.csv
P-新0004,新宿-2LDK-004,新宿区,2LDK,214000,10000,入居中,2022/05/01,,9651,0,0,224000,9651,214349,02_shinjuku_properties_202401.csv
P-新0005,新宿-1LDK-005,新宿区,1LDK,130000,5500,入居中,2023/06/01,,18714,0,0,135500,18714,116786,02_shinjuku_properties_202401.csv
P-新0006,新宿-1DK-006,新宿区,1DK,128000,7000,入居中,2021/09/01,,11567,0,0,135000,11567,123433,02_shinjuku_properties_202401.csv
P-新0007,新宿-1LDK-007,新宿区,1LDK,153000,9000,入居中,2021/03/01,,15654,0,0,162000,15654,146346,02_shinjuku_properties_202401.csv
P-新0008,新宿-1LDK-008,新宿区,1LDK,155000,11000,募集中,,2024/01/20,18895,191926,1,0,210821,-210821,02_shinjuku_properties_202401.csv
P-新0009,新宿-1DK-009,新宿区,1DK,120000,7500,募集中,,2024/01/20,16615,0,1,0,16615,-16615,02_shinjuku_properties_202401.csv
P-新0010,新宿-1LDK-010,新宿区,1LDK,125000,9500,入居中,2023/11/01,,8387,0,0,134500,8387,126113,02_shinjuku_properties_202401.csv
P-新0011,新宿-1K-011,新宿区,1K,102000,7500,募集中,,2024/01/20,6802,0,1,0,6802,-6802,02_shinjuku_properties_202401.csv
P-新0012,新宿-3LDK-012,新宿区,3LDK,252000,15000,入居中,2021/06/01,,8354,0,0,267000,8354,258646,02_shinjuku_properties_202401.csv
P-新0013,新宿-1DK-013,新宿区,1DK,113000,6000,入居中,2023/03/01,,19554,0,0,119000,19554,99446,02_shinjuku_properties_202401.csv
P-新0014,新宿-3LDK-014,新宿区,3LDK,297000,22500,募集中,,2024/01/20,21900,50354,1,0,72254,-72254,02_shinjuku_properties_202401.csv
P-新0015,新宿-1DK-015,新宿区,1DK,114000,5500,入居中,2023/04/01,,18157,0,0,119500,18157,101343,02_shinjuku_properties_202401.csv
P-新0016,新宿-1DK-016,新宿区,1DK,126000,8500,入居中,2022/04/01,,22967,0,0,134500,22967,111533,02_shinjuku_properties_202401.csv
P-新0017,新宿-2LDK-017,新宿区,2LDK,188000,7000,入居中,2023/05/01,,8152,0,0,195000,8152,186848,02_shinjuku_properties_202401.csv
P-新0018,新宿-2LDK-018,新宿区,2LDK,171000,9500,入居中,2022/06/01,,19593,0,0,180500,19593,160907,02_shinjuku_properties_202401.csv
P-新0019,新宿-1LDK-019,新宿区,1LDK,128000,10000,入居中,2022/02/01,,12527,0,0,138000,12527,125473,02_shinjuku_properties_202401.csv
P-新0020,新宿-3LDK-020,新宿区,3LDK,255000,15500,入居中,2022/06/01,,22010,111289,0,270500,133299,137201,02_shinjuku_properties_202401.csv
P-新0021,新宿-1DK-021,新宿区,1DK,90000,4500,入居中,2023/04/01,,19451,0,0,94500,19451,75049,02_shinjuku_properties_202401.csv
P-新0022,新宿-1LDK-022,新宿区,1LDK,146000,6500,募集中,,2024/01/20,15311,0,1,0,15311,-15311,02_shinjuku_properties_202401.csv
P-新0023,新宿-1K-023,新宿区,1K,107000,8500,入居中,2023/01/01,,5883,0,0,115500,5883,109617,02_shinjuku_properties_202401.csv
P-新0024,新宿-1DK-024,新宿区,1DK,95000,7500,募集中,,2024/01/20,5479,0,1,0,5479,-5479,02_shinjuku_properties_202401.csv
P-新0025,新宿-1K-025,新宿区,1K,98000,7000,募集中,,2024/01/20,22268,0,1,0,22268,-22268,02_shinjuku_properties_202401.csv
P-新0026,新宿-1LDK-026,新宿区,1LDK,121000,8000,入居中,2021/11/01,,21166,0,0,129000,21166,107834,02_shinjuku_properties_202401.csv
P-新0027,新宿-2LDK-027,新宿区,2LDK,163000,4500,入居中,2021/11/01,,8126,0,0,167500,8126,159374,02_shinjuku_properties_202401.csv
P-新0028,新宿-1LDK-028,新宿区,1LDK,134000,9500,入居中,2021/02/01,,9897,0,0,143500,9897,133603,02_shinjuku_properties_202401.csv
P-新0029,新宿-1K-029,新宿区,1K,102000,6500,入居中,2021/02/01,,21395,172456,0,108500,193851,-85351,02_shinjuku_properties_202401.csv
P-新0030,新宿-1DK-030,新宿区,1DK,124000,8000,入居中,2022/02/01,,15090,0,0,132000,15090,116910,02_shinjuku_properties_202401.csv
P-新0031,新宿-3LDK-031,新宿区,3LDK,325000,12500,入居中,2022/11/01,,19692,0,0,337500,19692,317808,02_shinjuku_properties_202401.csv
P-新0032,新宿-1LDK-032,新宿区,1LDK,164000,5000,空室,,2024/01/10,17230,0,1,0,17230,-17230,02_shinjuku_properties_202401.csv
P-新0033,新宿-1DK-033,新宿区,1DK,100000,6500,募集中,,2024/01/20,22682,0,1,0,22682,-22682,02_shinjuku_properties_202401.csv
P-新0034,新宿-2LDK-034,新宿区,2LDK,229000,18000,入居中,2021/08/01,,8670,0,0,247000,8670,238330,02_shinjuku_properties_202401.csv
P-新0035,新宿-2LDK-035,新宿区,2LDK,238000,8500,入居中,2022/07/01,,16448,0,0,246500,16448,230052,02_shinjuku_properties_202401.csv
P-新0036,新宿-2LDK-036,新宿区,2LDK,208000,12500,募集中,,2024/01/20,18995,0,1,0,18995,-18995,02_shinjuku_properties_202401.csv
P-新0037,新宿-1DK-037,新宿区,1DK,113000,5500,募集中,,2024/01/20,15167,0,1,0,15167,-15167,02_shinjuku_properties_202401.csv
P-新0038,新宿-1LDK-038,新宿区,1LDK,178000,7500,入居中,2023/07/01,,7681,0,0,185500,7681,177819,02_shinjuku_properties_202401.csv
P-新0039,新宿-1DK-039,新宿区,1DK,110000,5500,入居中,2023/07/01,,17692,0,0,115500,17692,97808,02_shinjuku_properties_202401.csv
P-新0040,新宿-1DK-040,新宿区,1DK,120000,3500,入居中,2021/03/01,,11340,0,0,123500,11340,112160,02_shinjuku_properties_202401.csv
P-新0041,新宿-3LDK-041,新宿区,3LDK,232000,13500,入居中,2022/08/01,,16449,0,0,245500,16449,229051,02_shinjuku_properties_202401.csv
