property_id,property_name,area,property_type,cost_category,occurrence_date,cost_amount,vendor_name,is_urgent
P021,新宿区アパート021号,新宿区,アパート,清掃費,2024-01-21,39329,フジ設備管理,False
P021,新宿区アパート021号,新宿区,アパート,定期修繕,2024-01-05,377405,クリーンプロ,False
P021,新宿区アパート021号,新宿区,アパート,設備点検,2024-01-06,126662,クリーンプロ,False
P021,新宿区アパート021号,新宿区,アパート,定期修繕,2024-01-03,545790,鈴木メンテナンス,False
P021,新宿区アパート021号,新宿区,アパート,設備点検,2024-01-01,69466,フジ設備管理,False
P021,新宿区アパート021号,新宿区,アパート,定期修繕,2024-01-14,378535,ニッケン建設,False
P021,新宿区アパート021号,新宿区,アパート,定期修繕,2024-01-19,174878,山田建設,False
P021,新宿区アパート021号,新宿区,アパート,定期修繕,2024-01-10,422554,スターハウス,False
P021,新宿区アパート021号,新宿区,アパート,設備点検,2024-01-08,77828,サンライズ不動産管理,False
P021,新宿区アパート021号,新宿区,アパート,管理費,2024-01-22,172866,東和修繕,False
P022,港区テナントビル022号,港区,テナントビル,設備点検,2024-01-22,116955,山田建設,False
P022,港区テナントビル022号,港区,テナントビル,緊急修繕,2024-01-30,164371,東京管理サービス,False
P022,港区テナントビル022号,港区,テナントビル,清掃費,2024-01-16,98021,フジ設備管理,False
P022,港区テナントビル022号,港区,テナントビル,清掃費,2024-01-16,66458,東京管理サービス,False
P022,港区テナントビル022号,港区,テナントビル,設備点検,2024-01-03,97132,フジ設備管理,False
P022,港区テナントビル022号,港区,テナントビル,清掃費,2024-01-02,41959,サンライズ不動産管理,False
P022,港区テナントビル022号,港区,テナントビル,緊急修繕,2024-01-14,936368,フジ設備管理,False
P022,港区テナントビル022号,港区,テナントビル,管理費,2024-01-10,92159,田中設備,False
P022,港区テナントビル022号,港区,テナントビル,清掃費,2024-01-08,94942,グリーン清掃,False
P022,港区テナントビル022号,港区,テナントビル,清掃費,2024-01-03,34809,サンライズ不動産管理,False
P023,品川区戸建て023号,品川区,戸建て,清掃費,2024-01-10,37104,ABC修繕,False
P023,品川区戸建て023号,品川区,戸建て,設備点検,2024-01-11,87419,スターハウス,False
P023,品川区戸建て023号,品川区,戸建て,清掃費,2024-01-31,87939,クリーンプロ,False
P023,品川区戸建て023号,品川区,戸建て,管理費,2024-01-13,103361,グリーン清掃,False
P023,品川区戸建て023号,品川区,戸建て,設備点検,2024-01-16,57172,ハウスケア,False
P023,品川区戸建て023号,品川区,戸建て,緊急修繕,2024-01-31,998796,サンライズ不動産管理,False
P023,品川区戸建て023号,品川区,戸建て,管理費,2024-01-21,57567,フジ設備管理,False
P023,品川区戸建て023号,品川区,戸建て,設備点検,2024-01-17,144767,ABC修繕,False
P024,目黒区マンション024号,目黒区,マンション,緊急修繕,2024-01-10,1147181,ミドリ建築,False
P024,目黒区マンション024号,目黒区,マンション,清掃費,2024-01-01,91894,ABC修繕,False
P024,目黒区マンション024号,目黒区,マンション,清掃費,2024-01-13,48958,ミドリ建築,False
P024,目黒区マンション024号,目黒区,マンション,定期修繕,2024-01-07,728492,関東メンテ,False
P024,目黒区マンション024号,目黒区,マンション,定期修繕,2024-01-27,173201,グリーン清掃,False
P024,目黒区マンション024号,目黒区,マンション,清掃費,2024-01-04,74548,ハウスケア,False
P024,目黒区マンション024号,目黒区,マンション,設備点検,2024-01-30,75018,ニッケン建設,False
P024,目黒区マンション024号,目黒区,マンション,管理費,2024-01-21,124144,東和修繕,False
P024,目黒区マンション024号,目黒区,マンション,緊急修繕,2024-01-05,1106850,サンライズ不動産管理,False
P025,渋谷区アパート025号,渋谷区,アパート,清掃費,2024-01-16,79968,ミドリ建築,False
P025,渋谷区アパート025号,渋谷区,アパート,定期修繕,2024-01-11,619389,山田建設,False
P025,渋谷区アパート025号,渋谷区,アパート,定期修繕,2024-01-24,626690,スターハウス,False
P025,渋谷区アパート025号,渋谷区,アパート,緊急修繕,2024-01-12,290479,サンライズ不動産管理,False
P025,渋谷区アパート025号,渋谷区,アパート,管理費,2024-01-29,187874,ハウスケア,False
P025,渋谷区アパート025号,渋谷区,アパート,清掃費,2024-01-27,32011,東和修繕,False
P025,渋谷区アパート025号,渋谷区,アパート,定期修繕,2024-01-31,529893,ニッケン建設,False
P025,渋谷区アパート025号,渋谷区,アパート,定期修繕,2024-01-08,178463,サンライズ不動産管理,False
P025,渋谷区アパート025号,渋谷区,アパート,緊急修繕,2024-01-12,790014,ミドリ建築,False
P025,渋谷区アパート025号,渋谷区,アパート,管理費,2024-01-27,136131,ニッケン建設,False
P025,渋谷区アパート025号,渋谷区,アパート,設備点検,2024-01-13,89808,田中設備,False
P025,渋谷区アパート025号,渋谷区,アパート,清掃費,2024-01-10,34705,スターハウス,False
P026,新宿区テナントビル026号,新宿区,テナントビル,管理費,2024-01-08,166307,東京管理サービス,False
P026,新宿区テナントビル026号,新宿区,テナントビル,緊急修繕,2024-01-22,140706,クリーンプロ,True
P026,新宿区テナントビル026号,新宿区,テナントビル,管理費,2024-01-09,126904,田中設備,False
P026,新宿区テナントビル026号,新宿区,テナントビル,緊急修繕,2024-01-08,983215,関東メンテ,True
P026,新宿区テナントビル026号,新宿区,テナントビル,清掃費,2024-01-03,53600,東京管理サービス,False
P026,新宿区テナントビル026号,新宿区,テナントビル,定期修繕,2024-01-31,182804,スターハウス,False
P026,新宿区テナントビル026号,新宿区,テナントビル,清掃費,2024-01-24,61566,サンライズ不動産管理,False
P026,新宿区テナントビル026号,新宿区,テナントビル,設備点検,2024-01-22,58758,ABC修繕,False
P027,港区戸建て027号,港区,戸建て,清掃費,2024-01-20,62780,サンライズ不動産管理,False
P027,港区戸建て027号,港区,戸建て,緊急修繕,2024-01-15,497788,ニッケン建設,False
P027,港区戸建て027号,港区,戸建て,清掃費,2024-01-21,43979,ABC修繕,False
P027,港区戸建て027号,港区,戸建て,清掃費,2024-01-28,77049,スターハウス,False
P027,港区戸建て027号,港区,戸建て,緊急修繕,2024-01-15,699143,ニッケン建設,True
P027,港区戸建て027号,港区,戸建て,清掃費,2024-01-09,65976,山田建設,False
P027,港区戸建て027号,港区,戸建て,設備点検,2024-01-17,129889,クリーンプロ,False
P027,港区戸建て027号,港区,戸建て,管理費,2024-01-03,180214,ニッケン建設,False
P027,港区戸建て027号,港区,戸建て,緊急修繕,2024-01-30,562593,田中設備,False
