管理番号,建物名,地区,種別,費目,計上日,金額,業者,緊急対応
P036,新宿区マンション036号,新宿区,マンション,定期修繕,2024年01月17日,347745,鈴木メンテナンス,False
P036,新宿区マンション036号,新宿区,マンション,定期修繕,2024年01月13日,368402,ABC修繕,False
P036,新宿区マンション036号,新宿区,マンション,定期修繕,2024年01月10日,731661,東京管理サービス,False
P036,新宿区マンション036号,新宿区,マンション,管理費,2024年01月11日,96437,クリーンプロ,False
P036,新宿区マンション036号,新宿区,マンション,清掃費,2024年01月11日,90811,クリーンプロ,False
P036,新宿区マンション036号,新宿区,マンション,設備点検,2024年01月06日,139598,スターハウス,False
P036,新宿区マンション036号,新宿区,マンション,清掃費,2024年01月16日,72363,ニッケン建設,False
P036,新宿区マンション036号,新宿区,マンション,緊急修繕,2024年01月04日,396580,サンライズ不動産管理,False
P036,新宿区マンション036号,新宿区,マンション,清掃費,2024年01月16日,69691,クリーンプロ,False
P036,新宿区マンション036号,新宿区,マンション,緊急修繕,2024年01月29日,197801,鈴木メンテナンス,False
P036,新宿区マンション036号,新宿区,マンション,緊急修繕,2024年01月11日,1048344,山田建設,False
P037,港区アパート037号,港区,アパート,清掃費,2024年01月26日,54672,田中設備,False
P037,港区アパート037号,港区,アパート,設備点検,2024年01月03日,102341,関東メンテ,False
P037,港区アパート037号,港区,アパート,定期修繕,2024年01月27日,164879,サンライズ不動産管理,False
P037,港区アパート037号,港区,アパート,管理費,2024年01月27日,140030,東和修繕,False
P037,港区アパート037号,港区,アパート,管理費,2024年01月20日,182264,フジ設備管理,False
P037,港区アパート037号,港区,アパート,定期修繕,2024年01月16日,141043,ABC修繕,False
P037,港区アパート037号,港区,アパート,清掃費,2024年01月15日,87595,関東メンテ,False
P037,港区アパート037号,港区,アパート,設備点検,2024年01月18日,119928,東京管理サービス,False
P037,港区アパート037号,港区,アパート,緊急修繕,2024年01月25日,861927,ミドリ建築,False
P037,港区アパート037号,港区,アパート,清掃費,2024年01月28日,74350,フジ設備管理,False
P038,品川区テナントビル038号,品川区,テナントビル,定期修繕,2024年01月02日,466813,グリーン清掃,False
P038,品川区テナントビル038号,品川区,テナントビル,清掃費,2024年01月20日,46901,スターハウス,False
P038,品川区テナントビル038号,品川区,テナントビル,管理費,2024年01月11日,131155,関東メンテ,False
P038,品川区テナントビル038号,品川区,テナントビル,清掃費,2024年01月11日,73054,ニッケン建設,False
P038,品川区テナントビル038号,品川区,テナントビル,定期修繕,2024年01月18日,651963,鈴木メンテナンス,False
P038,品川区テナントビル038号,品川区,テナントビル,清掃費,2024年01月12日,96648,田中設備,False
P038,品川区テナントビル038号,品川区,テナントビル,管理費,2024年01月08日,145052,グリーン清掃,False
P038,品川区テナントビル038号,品川区,テナントビル,定期修繕,2024年01月27日,324597,田中設備,False
P038,品川区テナントビル038号,品川区,テナントビル,清掃費,2024年01月30日,55166,ABC修繕,False
P038,品川区テナントビル038号,品川区,テナントビル,定期修繕,2024年01月19日,262471,鈴木メンテナンス,False
P038,品川区テナントビル038号,品川区,テナントビル,緊急修繕,2024年01月05日,292107,関東メンテ,False
P038,品川区テナントビル038号,品川区,テナントビル,設備点検,2024年01月03日,44947,フジ設備管理,False
P039,目黒区戸建て039号,目黒区,戸建て,緊急修繕,2024年01月28日,578136,スターハウス,False
P039,目黒区戸建て039号,目黒区,戸建て,緊急修繕,2024年01月20日,1021470,ABC修繕,False
P039,目黒区戸建て039号,目黒区,戸建て,緊急修繕,2024年01月19日,1063597,ABC修繕,False
P039,目黒区戸建て039号,目黒区,戸建て,緊急修繕,2024年01月05日,1003999,グリーン清掃,False
P039,目黒区戸建て039号,目黒区,戸建て,清掃費,2024年01月06日,95916,関東メンテ,False
P039,目黒区戸建て039号,目黒区,戸建て,清掃費,2024年01月22日,51241,ニッケン建設,False
P039,目黒区戸建て039号,目黒区,戸建て,定期修繕,2024年01月20日,734035,東京管理サービス,False
P039,目黒区戸建て039号,目黒区,戸建て,緊急修繕,2024年01月28日,189428,ニッケン建設,False
P039,目黒区戸建て039号,目黒区,戸建て,緊急修繕,2024年01月23日,295146,関東メンテ,False
P039,目黒区戸建て039号,目黒区,戸建て,管理費,2024年01月02日,124727,鈴木メンテナンス,False
P040,渋谷区マンション040号,渋谷区,マンション,管理費,2024年01月09日,153928,関東メンテ,False
P040,渋谷区マンション040号,渋谷区,マンション,緊急修繕,2024年01月29日,574462,鈴木メンテナンス,False
P040,渋谷区マンション040号,渋谷区,マンション,緊急修繕,2024年01月05日,550891,ハウスケア,True
P040,渋谷区マンション040号,渋谷区,マンション,管理費,2024年01月14日,137894,クリーンプロ,False
P040,渋谷区マンション040号,渋谷区,マンション,定期修繕,2024年01月30日,244283,山田建設,False
P040,渋谷区マンション040号,渋谷区,マンション,緊急修繕,2024年01月07日,1070809,東京管理サービス,False
P040,渋谷区マンション040号,渋谷区,マンション,清掃費,2024年01月14日,88799,スターハウス,False
P040,渋谷区マンション040号,渋谷区,マンション,管理費,2024年01月11日,70768,山田建設,False
P040,渋谷区マンション040号,渋谷区,マンション,緊急修繕,2024年01月01日,532260,関東メンテ,False
P041,新宿区アパート041号,新宿区,アパート,設備点検,2024年01月17日,115372,ABC修繕,False
P041,新宿区アパート041号,新宿区,アパート,定期修繕,2024年01月04日,405420,ミドリ建築,False
P041,新宿区アパート041号,新宿区,アパート,管理費,2024年01月09日,142488,ABC修繕,False
P041,新宿区アパート041号,新宿区,アパート,設備点検,2024年01月10日,94600,東京管理サービス,False
P041,新宿区アパート041号,新宿区,アパート,管理費,2024年01月02日,187228,田中設備,False
P041,新宿区アパート041号,新宿区,アパート,管理費,2024年01月14日,187903,関東メンテ,False
P041,新宿区アパート041号,新宿区,アパート,設備点検,2024年01月25日,143076,関東メンテ,False
P041,新宿区アパート041号,新宿区,アパート,設備点検,2024年01月15日,42665,ミドリ建築,False
P041,新宿区アパート041号,新宿区,アパート,清掃費,2024年01月04日,35706,フジ設備管理,False
P041,新宿区アパート041号,新宿区,アパート,清掃費,2024年01月29日,78929,グリーン清掃,False
P041,新宿区アパート041号,新宿区,アパート,管理費,2024年01月19日,143610,クリーンプロ,False
P041,新宿区アパート041号,新宿区,アパート,管理費,2024年01月01日,140387,ABC修繕,False
P042,港区テナントビル042号,港区,テナントビル,清掃費,2024年01月24日,92722,フジ設備管理,False
P042,港区テナントビル042号,港区,テナントビル,定期修繕,2024年01月23日,241403,鈴木メンテナンス,False
P042,港区テナントビル042号,港区,テナントビル,清掃費,2024年01月11日,34847,グリーン清掃,False
P042,港区テナントビル042号,港区,テナントビル,定期修繕,2024年01月02日,145934,クリーンプロ,False
P042,港区テナントビル042号,港区,テナントビル,定期修繕,2024年01月17日,143941,田中設備,False
P042,港区テナントビル042号,港区,テナントビル,緊急修繕,2024年01月26日,1160837,ニッケン建設,False
P042,港区テナントビル042号,港区,テナントビル,設備点検,2024年01月06日,102049,グリーン清掃,False
P042,港区テナントビル042号,港区,テナントビル,管理費,2024年01月25日,100096,グリーン清掃,False
P043,品川区戸建て043号,品川区,戸建て,定期修繕,2024年01月27日,620306,東和修繕,False
P043,品川区戸建て043号,品川区,戸建て,清掃費,2024年01月02日,78148,ハウスケア,False
P043,品川区戸建て043号,品川区,戸建て,設備点検,2024年01月21日,74959,クリーンプロ,False
P043,品川区戸建て043号,品川区,戸建て,管理費,2024年01月09日,161280,鈴木メンテナンス,False
