property_id,property_name,area,property_type,total_cost,record_count,avg_cost,repair_cost,urgent_count,high_cost_count
P047,港区戸建て047号,港区,戸建て,5262356,12,438530.0,4669095,0,5
P039,目黒区戸建て039号,目黒区,戸建て,5157695,10,515770.0,4885811,0,5
P015,渋谷区戸建て015号,渋谷区,戸建て,4651879,12,387657.0,4196699,0,5
P004,目黒区マンション004号,目黒区,マンション,4485918,10,448592.0,4117044,1,4
P011,新宿区戸建て011号,新宿区,戸建て,4467447,10,446745.0,4026855,0,5
P046,新宿区テナントビル046号,新宿区,テナントビル,4000589,11,363690.0,3567678,2,2
P035,渋谷区戸建て035号,渋谷区,戸建て,3863872,12,321989.0,3405801,0,4
P002,港区テナントビル002号,港区,テナントビル,3840328,10,384033.0,3618072,0,2
P014,目黒区テナントビル014号,目黒区,テナントビル,3786970,12,315581.0,3194476,0,4
P025,渋谷区アパート025号,渋谷区,アパート,3595425,12,299619.0,3034928,0,4
P024,目黒区マンション024号,目黒区,マンション,3570286,9,396698.0,3155724,0,3
P036,新宿区マンション036号,新宿区,マンション,3559433,11,323585.0,3090533,0,2
P010,渋谷区テナントビル010号,渋谷区,テナントビル,3546352,9,394039.0,3210183,0,3
P017,港区アパート017号,港区,アパート,3541775,9,393531.0,3200685,0,3
P030,渋谷区テナントビル030号,渋谷区,テナントビル,3523699,10,352370.0,3262301,1,3
P040,渋谷区マンション040号,渋谷区,マンション,3424094,9,380455.0,2972705,1,4
P016,新宿区マンション016号,新宿区,マンション,3212304,10,321230.0,2959516,1,3
P044,目黒区マンション044号,目黒区,マンション,3193409,11,290310.0,2721420,0,4
P027,港区戸建て027号,港区,戸建て,3159803,11,287255.0,2527066,1,3
P028,品川区マンション028号,品川区,マンション,3117913,9,346435.0,2886442,0,2
P009,目黒区アパート009号,目黒区,アパート,3010476,10,301048.0,2429702,0,3
P032,港区マンション032号,港区,マンション,2992414,10,299241.0,2382814,0,4
P005,渋谷区アパート005号,渋谷区,アパート,2969827,11,269984.0,2353000,0,2
P029,目黒区アパート029号,目黒区,アパート,2929216,12,244101.0,2006942,1,3
P033,品川区アパート033号,品川区,アパート,2882304,12,240192.0,2181501,1,3
P008,品川区マンション008号,品川区,マンション,2792309,8,349039.0,2246294,0,3
P043,品川区戸建て043号,品川区,戸建て,2735082,10,273508.0,2096703,1,3
P048,品川区マンション048号,品川区,マンション,2709966,8,338746.0,2312851,1,2
P038,品川区テナントビル038号,品川区,テナントビル,2590874,12,215906.0,1997951,0,1
P021,新宿区アパート021号,新宿区,アパート,2385313,10,238531.0,1899162,0,1
P018,品川区テナントビル018号,品川区,テナントビル,2303932,11,209448.0,1734115,0,2
P050,渋谷区テナントビル050号,渋谷区,テナントビル,2148669,12,179056.0,1054413,0,1
P034,目黒区テナントビル034号,目黒区,テナントビル,2106542,8,263318.0,1618828,1,2
P045,渋谷区アパート045号,渋谷区,アパート,2077519,10,207752.0,1681043,0,0
P042,港区テナントビル042号,港区,テナントビル,2021829,8,252729.0,1692115,0,1
P003,品川区戸建て003号,品川区,戸建て,1948925,12,162410.0,1146324,0,1
P037,港区アパート037号,港区,アパート,1929029,10,192903.0,1167849,0,1
P019,目黒区戸建て019号,目黒区,戸建て,1782011,11,162001.0,1262234,0,0
P013,品川区アパート013号,品川区,アパート,1779213,12,148268.0,934748,0,0
P006,新宿区テナントビル006号,新宿区,テナントビル,1775004,11,161364.0,829674,0,1
P026,新宿区テナントビル026号,新宿区,テナントビル,1773860,8,221732.0,1306725,2,1
P022,港区テナントビル022号,港区,テナントビル,1743174,10,174317.0,1100739,0,1
P041,新宿区アパート041号,新宿区,アパート,1717384,12,143115.0,405420,0,0
P012,港区マンション012号,港区,マンション,1592318,8,199040.0,1170212,1,0
P023,品川区戸建て023号,品川区,戸建て,1574125,8,196766.0,998796,0,1
P001,新宿区アパート001号,新宿区,アパート,1555263,8,194408.0,955675,0,1
P020,渋谷区マンション020号,渋谷区,マンション,1525216,8,190652.0,755900,0,1
P049,目黒区アパート049号,目黒区,アパート,1495870,8,186984.0,846732,0,1
P007,港区戸建て007号,港区,戸建て,1426053,8,178257.0,908284,1,1
P031,新宿区戸建て031号,新宿区,戸建て,1012350,10,101235.0,168872,0,0
