受付日,案件番号,物件名,部屋番号,クレーム区分,対応状況,対応日数,対応工数（時間）
2024/03/24,A-2024010001,ブルーC棟,0404,騒音,解決済,24,1.0
2024/03/18,A-2024010002,サンシャインA棟,1007,設備故障,対応中,8,1.0
2024/01/20,A-2024010003,サンシャインA棟,0904,その他,解決済,21,6.0
2024/02/19,A-2024010004,ブルーC棟,0103,その他,解決済,14,3.0
2024/02/25,A-2024010005,ブルーC棟,0202,害虫,解決済,4,3.0
2024/02/26,A-2024010006,サンシャインA棟,0802,害虫,解決済,3,6.0
2024/02/20,A-2024010007,ブルーC棟,1004,その他,対応中,13,0.5
2024/03/10,A-2024010008,サンシャインA棟,0402,害虫,解決済,9,5.0
2024/03/06,A-2024010009,ブルーC棟,0604,その他,対応中,39,8.0
2024/03/21,A-2024010010,グリーンB棟,0904,騒音,解決済,15,4.0
2024/02/21,A-2024010011,シルバーE棟,0406,設備故障,未対応,39,0.5
2024/02/03,A-2024010012,グリーンB棟,1006,騒音,解決済,21,5.0
2024/02/21,A-2024010013,ホワイトD棟,0305,騒音,対応中,36,6.0
2024/03/19,A-2024010014,ホワイトD棟,1007,水漏れ,解決済,8,1.5
2024/03/25,A-2024010015,サンシャインA棟,0203,その他,解決済,6,8.0
2024/02/13,A-2024010016,ホワイトD棟,1008,駐車,解決済,9,6.0
2024/01/04,A-2024010017,シルバーE棟,0506,設備故障,対応中,42,4.0
2024/01/24,A-2024010018,ブルーC棟,0903,駐車,解決済,30,1.0
2024/03/21,A-2024010019,シルバーE棟,1004,騒音,解決済,12,1.5
2024/03/17,A-2024010020,サンシャインA棟,1006,害虫,未対応,12,1.0
2024/02/27,A-2024010021,ブルーC棟,0401,騒音,対応中,77,1.0
2024/01/27,A-2024010022,サンシャインA棟,0903,騒音,対応中,89,5.0
2024/03/17,A-2024010023,シルバーE棟,0704,駐車,解決済,25,2.0
2024/03/22,A-2024010024,ブルーC棟,0808,設備故障,解決済,8,2.0
2024/01/19,A-2024010025,シルバーE棟,0404,設備故障,解決済,3,8.0
2024/01/02,A-2024010026,ブルーC棟,0204,水漏れ,解決済,22,5.0
2024/01/24,A-2024010027,シルバーE棟,1008,騒音,解決済,26,5.0
2024/02/04,A-2024010028,ホワイトD棟,0607,害虫,解決済,15,0.5
2024/03/21,A-2024010029,サンシャインA棟,0107,その他,対応中,48,1.0
2024/01/18,A-2024010030,ホワイトD棟,0307,騒音,解決済,9,5.0
2024/01/03,A-2024010031,ホワイトD棟,0902,設備故障,対応中,88,6.0
2024/01/25,A-2024010032,グリーンB棟,0307,害虫,未対応,71,2.0
2024/02/06,A-2024010033,ホワイトD棟,0107,水漏れ,未対応,110,5.0
2024/02/24,A-2024010034,シルバーE棟,0803,騒音,解決済,10,2.0
2024/01/18,A-2024010035,サンシャインA棟,0601,設備故障,解決済,19,5.0
2024/03/17,A-2024010036,グリーンB棟,0102,騒音,未対応,18,7.0
2024/01/08,A-2024010037,ホワイトD棟,0204,駐車,対応中,81,0.5
2024/03/22,A-2024010038,シルバーE棟,1006,水漏れ,解決済,7,8.0
2024/03/09,A-2024010039,ホワイトD棟,0305,害虫,解決済,11,1.0
2024/01/19,A-2024010040,サンシャインA棟,0204,駐車,解決済,9,1.5
2024/02/08,A-2024010041,ブルーC棟,0503,害虫,対応中,74,2.5
2024/03/26,A-2024010042,シルバーE棟,0105,その他,未対応,23,1.5
2024/02/04,A-2024010043,シルバーE棟,0305,水漏れ,解決済,20,2.0
