ReceiptDate,CaseNo,PropertyName,RoomNo,ClaimType,Status,ResponseDays,WorkHours
2024-02-27,B-2024010001,ブルーC棟,0204,害虫,解決済,1,7.0
2024-03-20,B-2024010002,グリーンB棟,0208,その他,解決済,10,8.0
2024-02-02,B-2024010003,サンシャインA棟,0508,設備故障,解決済,4,2.0
2024-03-15,B-2024010004,ブルーC棟,0907,駐車,解決済,24,1.5
2024-02-27,B-2024010005,ホワイトD棟,1007,水漏れ,対応中,9,3.0
2024-01-08,B-2024010006,ブルーC棟,0206,駐車,解決済,29,8.0
2024-02-09,B-2024010007,グリーンB棟,0208,設備故障,解決済,22,2.0
2024-03-01,B-2024010008,サンシャインA棟,0604,騒音,解決済,26,7.0
2024-01-25,B-2024010009,シルバーE棟,0404,騒音,解決済,11,1.5
2024-03-28,B-2024010010,グリーンB棟,0305,騒音,解決済,4,8.0
2024-01-12,B-2024010011,グリーンB棟,1006,設備故障,解決済,6,2.5
2024-01-14,B-2024010012,シルバーE棟,0202,害虫,解決済,15,3.0
2024-03-15,B-2024010013,シルバーE棟,0401,その他,解決済,26,8.0
2024-03-21,B-2024010014,サンシャインA棟,0108,害虫,解決済,14,8.0
2024-01-15,B-2024010015,サンシャインA棟,0206,駐車,解決済,5,1.0
2024-01-21,B-2024010016,シルバーE棟,0906,害虫,解決済,20,6.0
2024-02-20,B-2024010017,ホワイトD棟,0202,その他,解決済,21,6.0
2024-03-14,B-2024010018,ホワイトD棟,0407,水漏れ,対応中,63,4.0
2024-02-11,B-2024010019,ホワイトD棟,0605,水漏れ,対応中,24,8.0
2024-02-27,B-2024010020,サンシャインA棟,0207,設備故障,解決済,24,3.0
2024-01-19,B-2024010021,シルバーE棟,0906,その他,解決済,4,4.0
2024-02-25,B-2024010022,ホワイトD棟,0105,駐車,対応中,44,3.0
2024-01-07,B-2024010023,グリーンB棟,0804,設備故障,解決済,12,6.0
2024-02-09,B-2024010024,シルバーE棟,0407,駐車,解決済,25,7.0
2024-03-18,B-2024010025,サンシャインA棟,1005,設備故障,対応中,28,2.5
2024-03-11,B-2024010026,ブルーC棟,0103,騒音,対応中,77,8.0
2024-02-24,B-2024010027,サンシャインA棟,0204,害虫,解決済,14,5.0
