日付,管理番号,建物名,号室,種別,状況,処理日数,工数
2024/01/17,C-2024010001,ホワイトD棟,0204,その他,解決済,19,5.0
2024/01/15,C-2024010002,サンシャインA棟,0803,駐車,対応中,58,5.0
2024/03/15,C-2024010003,ブルーC棟,0107,水漏れ,解決済,27,0.5
2024/03/03,C-2024010004,サンシャインA棟,0706,その他,解決済,3,6.0
2024/01/03,C-2024010005,ホワイトD棟,0105,害虫,未対応,33,1.5
2024/03/21,C-2024010006,ホワイトD棟,0607,害虫,未対応,58,4.0
2024/01/22,C-2024010007,シルバーE棟,0306,設備故障,対応中,27,6.0
2024/02/24,C-2024010008,グリーンB棟,0101,水漏れ,解決済,15,8.0
2024/03/18,C-2024010009,ホワイトD棟,0404,害虫,解決済,12,1.5
2024/02/24,C-2024010010,サンシャインA棟,0107,駐車,解決済,25,0.5
2024/01/04,C-2024010011,シルバーE棟,0108,駐車,解決済,22,0.5
2024/01/13,C-2024010012,ホワイトD棟,0404,設備故障,対応中,22,6.0
2024/02/24,C-2024010013,シルバーE棟,0606,騒音,解決済,10,1.5
2024/03/14,C-2024010014,ブルーC棟,0501,駐車,解決済,19,1.5
2024/03/18,C-2024010015,ホワイトD棟,0106,その他,対応中,90,4.0
2024/03/14,C-2024010016,ホワイトD棟,0305,害虫,解決済,6,6.0
2024/02/08,C-2024010017,ブルーC棟,0308,設備故障,解決済,18,4.0
2024/02/05,C-2024010018,ホワイトD棟,0405,騒音,解決済,11,8.0
2024/01/28,C-2024010019,ブルーC棟,0204,設備故障,未対応,44,4.0
2024/03/02,C-2024010020,サンシャインA棟,0404,害虫,解決済,7,3.0
2024/02/01,C-2024010021,グリーンB棟,0402,その他,未対応,106,5.0
2024/01/23,C-2024010022,グリーンB棟,0704,駐車,対応中,46,2.5
2024/02/21,C-2024010023,ブルーC棟,0505,水漏れ,解決済,17,5.0
2024/02/24,C-2024010024,ホワイトD棟,0604,水漏れ,解決済,11,4.0
2024/01/08,C-2024010025,グリーンB棟,0105,駐車,解決済,30,7.0
2024/03/10,C-2024010026,グリーンB棟,0406,騒音,対応中,53,7.0
2024/01/21,C-2024010027,ブルーC棟,0508,その他,解決済,21,5.0
2024/02/26,C-2024010028,ブルーC棟,0303,その他,解決済,18,5.0
2024/01/18,C-2024010029,サンシャインA棟,0901,設備故障,未対応,114,8.0
2024/01/14,C-2024010030,グリーンB棟,0402,その他,対応中,24,0.5
2024/01/12,C-2024010031,サンシャインA棟,1008,その他,解決済,16,0.5
2024/01/14,C-2024010032,サンシャインA棟,0105,駐車,解決済,10,0.5
2024/03/22,C-2024010033,ホワイトD棟,0302,設備故障,対応中,72,1.5
2024/01/17,C-2024010034,ブルーC棟,0605,害虫,解決済,3,3.0
2024/02/08,C-2024010035,グリーンB棟,0502,その他,解決済,28,8.0
2024/01/13,C-2024010036,ホワイトD棟,0908,設備故障,解決済,21,0.5
2024/03/16,C-2024010037,ホワイトD棟,0602,駐車,解決済,30,0.5
2024/01/28,C-2024010038,シルバーE棟,0805,設備故障,解決済,30,1.0
2024/03/18,C-2024010039,シルバーE棟,0103,水漏れ,未対応,12,2.0
2024/03/27,C-2024010040,ホワイトD棟,0205,騒音,解決済,19,2.0
2024/03/13,C-2024010041,シルバーE棟,0607,その他,対応中,22,1.0
2024/03/12,C-2024010042,サンシャインA棟,0207,騒音,対応中,14,3.0
2024/03/20,C-2024010043,ホワイトD棟,0601,その他,対応中,39,5.0
2024/02/18,C-2024010044,ホワイトD棟,0703,その他,解決済,19,8.0
2024/02/20,C-2024010045,ブルーC棟,0402,設備故障,解決済,9,1.5
2024/02/21,C-2024010046,グリーンB棟,0706,水漏れ,対応中,18,1.0
2024/01/15,C-2024010047,ブルーC棟,0502,騒音,未対応,21,1.5
2024/02/18,C-2024010048,シルバーE棟,0702,設備故障,解決済,3,3.0
2024/03/20,C-2024010049,ブルーC棟,0701,水漏れ,解決済,14,4.0
2024/01/18,C-2024010050,グリーンB棟,1003,その他,対応中,53,1.5
2024/01/09,C-2024010051,ホワイトD棟,0302,騒音,解決済,14,2.5
2024/02/26,C-2024010052,サンシャインA棟,0605,騒音,解決済,24,8.0
2024/02/07,C-2024010053,ホワイトD棟,0203,水漏れ,解決済,1,4.0
2024/02/13,C-2024010054,ブルーC棟,0806,害虫,対応中,88,7.0
2024/01/20,C-2024010055,グリーンB棟,0806,騒音,解決済,13,3.0
