VisitDate,VisitID,PropertyType,Area,StaffID,AskingPrice,VisitCountCumulative,DaysToContract,IsContracted
2024-01-08,VIS-0161,3LDK,渋谷,STAFF-06,5009,9,,0
2024-01-12,VIS-0162,1LDK,池袋,STAFF-03,3554,2,,0
2024-01-15,VIS-0163,1LDK,新宿,STAFF-06,7238,10,,0
2024-01-02,VIS-0164,3LDK,新宿,STAFF-02,6625,4,53.0,1
2024-01-18,VIS-0165,2LDK,新宿,STAFF-02,4691,3,,0
2024-01-20,VIS-0166,1LDK,品川,STAFF-02,3064,9,16.0,1
2024-01-04,VIS-0167,1LDK,新宿,STAFF-01,4934,4,,0
2024-01-01,VIS-0168,2LDK,品川,STAFF-01,3038,7,,0
2024-01-03,VIS-0169,一戸建て,池袋,STAFF-03,6204,10,37.0,1
2024-01-08,VIS-0170,1LDK,品川,STAFF-04,7270,1,35.0,1
2024-01-13,VIS-0171,一戸建て,渋谷,STAFF-04,7835,8,10.0,1
2024-01-11,VIS-0172,2LDK,渋谷,STAFF-02,4252,10,,0
2024-01-18,VIS-0173,3LDK,池袋,STAFF-05,6346,5,,0
2024-01-20,VIS-0174,一戸建て,渋谷,STAFF-06,2937,9,,0
2024-01-07,VIS-0175,一戸建て,池袋,STAFF-02,5389,6,,0
2024-01-13,VIS-0176,一戸建て,渋谷,STAFF-03,5496,6,,0
2024-01-12,VIS-0177,2LDK,池袋,STAFF-01,2747,2,11.0,1
2024-01-12,VIS-0178,2LDK,渋谷,STAFF-05,6600,9,,0
2024-01-04,VIS-0179,一戸建て,品川,STAFF-06,5464,1,,0
2024-01-20,VIS-0180,3LDK,品川,STAFF-01,6734,9,47.0,1
2024-01-16,VIS-0181,2LDK,渋谷,STAFF-03,6556,6,22.0,1
2024-01-19,VIS-0182,2LDK,池袋,STAFF-05,7093,10,,0
2024-01-18,VIS-0183,1LDK,品川,STAFF-01,3477,5,,0
2024-01-10,VIS-0184,3LDK,品川,STAFF-01,3486,3,,0
2024-01-13,VIS-0185,1LDK,新宿,STAFF-06,7186,1,38.0,1
2024-01-07,VIS-0186,一戸建て,池袋,STAFF-04,4792,3,,0
2024-01-11,VIS-0187,1LDK,渋谷,STAFF-02,3289,10,10.0,1
2024-01-09,VIS-0188,一戸建て,池袋,STAFF-04,6973,8,,0
2024-01-07,VIS-0189,1LDK,品川,STAFF-04,2908,5,,0
2024-01-19,VIS-0190,一戸建て,品川,STAFF-01,3806,7,,0
2024-01-02,VIS-0191,1LDK,新宿,STAFF-03,3730,3,,0
2024-01-10,VIS-0192,3LDK,渋谷,STAFF-01,6074,7,29.0,1
2024-01-18,VIS-0193,2LDK,品川,STAFF-01,5252,1,,0
2024-01-15,VIS-0194,1LDK,品川,STAFF-05,5516,10,,0
2024-01-14,VIS-0195,3LDK,渋谷,STAFF-04,2170,6,44.0,1
2024-01-15,VIS-0196,3LDK,渋谷,STAFF-04,2867,4,,0
2024-01-13,VIS-0197,1LDK,池袋,STAFF-03,4781,4,,0
2024-01-06,VIS-0198,1LDK,渋谷,STAFF-05,6177,4,,0
2024-01-12,VIS-0199,3LDK,新宿,STAFF-02,2842,3,16.0,1
2024-01-20,VIS-0200,2LDK,渋谷,STAFF-02,7144,8,,0
2024-01-19,VIS-0201,一戸建て,品川,STAFF-06,4589,3,,0
2024-01-16,VIS-0202,一戸建て,品川,STAFF-03,6844,1,,0
2024-01-03,VIS-0203,3LDK,池袋,STAFF-04,2308,1,,0
2024-01-10,VIS-0204,1LDK,渋谷,STAFF-05,6866,9,,0
2024-01-19,VIS-0205,1LDK,池袋,STAFF-05,7339,4,,0
2024-01-16,VIS-0206,2LDK,渋谷,STAFF-04,2847,6,,0
2024-01-03,VIS-0207,2LDK,渋谷,STAFF-02,7796,8,,0
2024-01-17,VIS-0208,2LDK,品川,STAFF-03,4317,7,,0
2024-01-11,VIS-0209,1LDK,品川,STAFF-01,4700,2,,0
2024-01-13,VIS-0210,3LDK,品川,STAFF-06,7378,10,,0
2024-01-11,VIS-0211,1LDK,新宿,STAFF-03,4541,7,50.0,1
2024-01-03,VIS-0212,3LDK,池袋,STAFF-06,4690,3,,0
2024-01-17,VIS-0213,1LDK,池袋,STAFF-05,4964,1,,0
2024-01-06,VIS-0214,2LDK,品川,STAFF-04,3572,4,,0
2024-01-05,VIS-0215,1LDK,品川,STAFF-01,6158,9,,0
2024-01-17,VIS-0216,1LDK,品川,STAFF-05,3073,10,,0
