見学日,見学番号,部屋タイプ,地域,担当ID,価格,見学累計回数,成約所要日,成約
2024/01/18,VIS-0321,一戸建て,池袋,STAFF-02,4027,8,,0
2024/01/09,VIS-0322,2LDK,渋谷,STAFF-01,7408,7,,0
2024/01/01,VIS-0323,2LDK,新宿,STAFF-01,2826,10,43.0,1
2024/01/02,VIS-0324,2LDK,渋谷,STAFF-04,5595,4,,0
2024/01/02,VIS-0325,2LDK,品川,STAFF-02,7992,10,,0
2024/01/20,VIS-0326,3LDK,新宿,STAFF-03,3173,9,24.0,1
2024/01/09,VIS-0327,1LDK,新宿,STAFF-06,7560,7,,0
2024/01/02,VIS-0328,3LDK,池袋,STAFF-05,4611,7,,0
2024/01/10,VIS-0329,一戸建て,新宿,STAFF-05,5879,4,,0
2024/01/10,VIS-0330,2LDK,池袋,STAFF-01,6607,7,,0
2024/01/18,VIS-0331,2LDK,池袋,STAFF-02,4088,4,,0
2024/01/03,VIS-0332,一戸建て,品川,STAFF-01,6387,4,29.0,1
2024/01/20,VIS-0333,1LDK,渋谷,STAFF-02,6813,9,18.0,1
2024/01/11,VIS-0334,3LDK,渋谷,STAFF-02,3556,2,,0
2024/01/16,VIS-0335,2LDK,新宿,STAFF-04,3960,9,,0
2024/01/10,VIS-0336,一戸建て,池袋,STAFF-05,7314,6,,0
2024/01/12,VIS-0337,一戸建て,池袋,STAFF-01,7918,8,,0
2024/01/11,VIS-0338,2LDK,品川,STAFF-03,5390,1,,0
2024/01/08,VIS-0339,2LDK,渋谷,STAFF-03,6532,10,,0
2024/01/14,VIS-0340,3LDK,新宿,STAFF-02,4702,4,,0
2024/01/08,VIS-0341,一戸建て,品川,STAFF-03,6002,8,,0
2024/01/12,VIS-0342,2LDK,新宿,STAFF-06,6477,8,39.0,1
2024/01/02,VIS-0343,1LDK,渋谷,STAFF-06,2397,1,,0
2024/01/08,VIS-0344,1LDK,新宿,STAFF-01,3791,9,,0
2024/01/02,VIS-0345,一戸建て,池袋,STAFF-01,2054,9,,0
2024/01/01,VIS-0346,1LDK,品川,STAFF-05,4348,1,,0
2024/01/14,VIS-0347,2LDK,渋谷,STAFF-01,6295,3,44.0,1
2024/01/17,VIS-0348,3LDK,品川,STAFF-03,5251,2,,0
2024/01/13,VIS-0349,一戸建て,新宿,STAFF-06,3850,5,,0
2024/01/03,VIS-0350,1LDK,渋谷,STAFF-04,5106,7,,0
2024/01/02,VIS-0351,1LDK,新宿,STAFF-01,6094,7,,0
2024/01/11,VIS-0352,1LDK,渋谷,STAFF-02,3731,10,,0
2024/01/02,VIS-0353,1LDK,品川,STAFF-05,6616,1,59.0,1
2024/01/11,VIS-0354,1LDK,新宿,STAFF-05,3181,7,,0
2024/01/10,VIS-0355,2LDK,新宿,STAFF-05,5187,9,,0
2024/01/05,VIS-0356,1LDK,品川,STAFF-01,2800,7,9.0,1
2024/01/11,VIS-0357,一戸建て,品川,STAFF-01,7194,5,,0
2024/01/15,VIS-0358,一戸建て,新宿,STAFF-03,6530,7,,0
2024/01/19,VIS-0359,一戸建て,渋谷,STAFF-05,4419,4,,0
2024/01/03,VIS-0360,3LDK,新宿,STAFF-04,7830,3,,0
2024/01/11,VIS-0361,3LDK,渋谷,STAFF-01,2042,5,,0
2024/01/09,VIS-0362,1LDK,新宿,STAFF-01,3535,7,,0
2024/01/18,VIS-0363,一戸建て,渋谷,STAFF-01,2734,6,,0
2024/01/20,VIS-0364,3LDK,池袋,STAFF-01,4390,7,,0
2024/01/03,VIS-0365,2LDK,新宿,STAFF-06,5118,3,24.0,1
2024/01/09,VIS-0366,一戸建て,新宿,STAFF-01,3369,7,24.0,1
2024/01/16,VIS-0367,1LDK,品川,STAFF-03,4020,8,,0
2024/01/07,VIS-0368,一戸建て,渋谷,STAFF-02,4495,1,,0
2024/01/11,VIS-0369,一戸建て,品川,STAFF-04,4742,7,,0
2024/01/20,VIS-0370,2LDK,品川,STAFF-03,6941,4,,0
2024/01/06,VIS-0371,一戸建て,品川,STAFF-03,7693,8,,0
2024/01/08,VIS-0372,3LDK,池袋,STAFF-03,5218,6,41.0,1
2024/01/07,VIS-0373,2LDK,渋谷,STAFF-06,5781,4,,0
2024/01/10,VIS-0374,1LDK,池袋,STAFF-06,6090,3,,0
2024/01/08,VIS-0375,3LDK,新宿,STAFF-06,5466,7,43.0,1
2024/01/16,VIS-0376,一戸建て,池袋,STAFF-05,2301,6,,0
2024/01/18,VIS-0377,1LDK,渋谷,STAFF-02,7387,6,44.0,1
2024/01/02,VIS-0378,一戸建て,品川,STAFF-04,2867,1,19.0,1
2024/01/17,VIS-0379,2LDK,池袋,STAFF-03,5204,8,,0
2024/01/19,VIS-0380,2LDK,品川,STAFF-01,5954,2,10.0,1
2024/01/04,VIS-0381,2LDK,品川,STAFF-03,4810,8,,0
2024/01/17,VIS-0382,一戸建て,品川,STAFF-04,2799,8,,0
2024/01/15,VIS-0383,3LDK,渋谷,STAFF-03,2366,2,26.0,1
2024/01/04,VIS-0384,2LDK,新宿,STAFF-05,3429,9,40.0,1
2024/01/14,VIS-0385,一戸建て,新宿,STAFF-04,7158,3,47.0,1
2024/01/14,VIS-0386,一戸建て,渋谷,STAFF-06,7030,4,,0
2024/01/14,VIS-0387,一戸建て,渋谷,STAFF-06,3759,4,50.0,1
2024/01/03,VIS-0388,1LDK,新宿,STAFF-03,4670,4,,0
2024/01/09,VIS-0389,一戸建て,品川,STAFF-05,5183,10,,0
2024/01/04,VIS-0390,3LDK,品川,STAFF-04,7057,3,,0
2024/01/10,VIS-0391,1LDK,新宿,STAFF-03,2965,4,,0
2024/01/06,VIS-0392,3LDK,新宿,STAFF-05,5182,7,,0
2024/01/19,VIS-0393,一戸建て,池袋,STAFF-02,5986,9,,0
2024/01/06,VIS-0394,2LDK,池袋,STAFF-03,3149,3,,0
2024/01/15,VIS-0395,1LDK,品川,STAFF-01,5969,3,29.0,1
2024/01/18,VIS-0396,一戸建て,池袋,STAFF-06,6028,7,,0
2024/01/15,VIS-0397,一戸建て,新宿,STAFF-01,6631,1,,0
2024/01/08,VIS-0398,3LDK,渋谷,STAFF-03,3841,9,54.0,1
2024/01/15,VIS-0399,一戸建て,渋谷,STAFF-05,2935,5,,0
2024/01/12,VIS-0400,1LDK,池袋,STAFF-05,3790,7,58.0,1
2024/01/08,VIS-0401,3LDK,渋谷,STAFF-04,4152,6,,0
2024/01/03,VIS-0402,一戸建て,渋谷,STAFF-02,3719,10,,0
2024/01/20,VIS-0403,一戸建て,新宿,STAFF-05,3140,4,,0
2024/01/02,VIS-0404,3LDK,品川,STAFF-05,6413,3,,0
2024/01/10,VIS-0405,3LDK,品川,STAFF-05,7564,2,53.0,1
2024/01/14,VIS-0406,1LDK,品川,STAFF-06,3039,3,50.0,1
2024/01/11,VIS-0407,2LDK,池袋,STAFF-04,3164,10,,0
2024/01/14,VIS-0408,一戸建て,池袋,STAFF-01,7190,2,,0
2024/01/09,VIS-0409,3LDK,池袋,STAFF-04,4681,10,54.0,1
2024/01/03,VIS-0410,一戸建て,品川,STAFF-01,6378,7,32.0,1
2024/01/07,VIS-0411,一戸建て,品川,STAFF-03,4323,6,,0
2024/01/05,VIS-0412,一戸建て,品川,STAFF-06,2396,1,55.0,1
2024/01/15,VIS-0413,1LDK,渋谷,STAFF-02,5615,8,32.0,1
2024/01/07,VIS-0414,2LDK,品川,STAFF-02,4244,2,,0
2024/01/09,VIS-0415,1LDK,品川,STAFF-06,7315,3,45.0,1
2024/01/10,VIS-0416,2LDK,池袋,STAFF-06,2747,2,35.0,1
2024/01/03,VIS-0417,2LDK,新宿,STAFF-05,7570,8,49.0,1
2024/01/11,VIS-0418,1LDK,池袋,STAFF-06,3082,8,29.0,1
2024/01/03,VIS-0419,1LDK,渋谷,STAFF-03,5011,5,54.0,1
2024/01/05,VIS-0420,2LDK,渋谷,STAFF-05,6614,1,,0
2024/01/06,VIS-0421,一戸建て,品川,STAFF-06,3745,3,,0
2024/01/20,VIS-0422,一戸建て,新宿,STAFF-01,2823,3,,0
2024/01/19,VIS-0423,一戸建て,品川,STAFF-04,4576,3,46.0,1
2024/01/03,VIS-0424,2LDK,品川,STAFF-06,2219,5,43.0,1
2024/01/17,VIS-0425,2LDK,池袋,STAFF-03,7293,1,,0
2024/01/08,VIS-0426,一戸建て,池袋,STAFF-01,3974,8,,0
2024/01/03,VIS-0427,1LDK,品川,STAFF-03,3081,7,,0
2024/01/19,VIS-0428,一戸建て,品川,STAFF-05,7594,3,,0
2024/01/03,VIS-0429,1LDK,渋谷,STAFF-01,4147,4,8.0,1
2024/01/13,VIS-0430,3LDK,池袋,STAFF-04,7749,7,39.0,1
2024/01/18,VIS-0431,2LDK,品川,STAFF-01,4538,2,,0
2024/01/07,VIS-0432,2LDK,品川,STAFF-04,6804,2,,0
2024/01/14,VIS-0433,2LDK,渋谷,STAFF-02,2706,7,44.0,1
2024/01/20,VIS-0434,1LDK,品川,STAFF-06,7390,3,50.0,1
2024/01/05,VIS-0435,1LDK,新宿,STAFF-04,4840,9,,0
2024/01/09,VIS-0436,2LDK,品川,STAFF-02,4201,2,,0
2024/01/01,VIS-0437,3LDK,池袋,STAFF-03,6291,2,41.0,1
2024/01/03,VIS-0438,一戸建て,池袋,STAFF-05,4950,1,,0
2024/01/19,VIS-0439,2LDK,品川,STAFF-02,4089,2,,0
2024/01/04,VIS-0440,2LDK,渋谷,STAFF-01,2100,4,28.0,1
2024/01/13,VIS-0441,2LDK,新宿,STAFF-01,6529,7,20.0,1
2024/01/14,VIS-0442,3LDK,品川,STAFF-01,6682,6,48.0,1
2024/01/02,VIS-0443,2LDK,新宿,STAFF-05,2376,7,34.0,1
