visit_date,visit_id,property_type,area,staff_id,asking_price,visit_count_cumulative,days_to_contract,is_contracted,price_tier,conversion_speed,source_file
2024-01-04,VIS-0001,1LDK,品川,STAFF-02,3828,3,,0,中価格帯,未成約,visits_styleA.csv
2024-01-18,VIS-0002,1LDK,池袋,STAFF-01,2244,2,37.0,1,低価格帯,通常成約,visits_styleA.csv
2024-01-20,VIS-0003,1LDK,新宿,STAFF-06,7323,9,,0,高価格帯,未成約,visits_styleA.csv
2024-01-15,VIS-0004,3LDK,渋谷,STAFF-02,7719,7,,0,高価格帯,未成約,visits_styleA.csv
2024-01-05,VIS-0005,2LDK,品川,STAFF-01,2759,7,59.0,1,低価格帯,通常成約,visits_styleA.csv
2024-01-12,VIS-0006,3LDK,渋谷,STAFF-06,5763,9,29.0,1,高価格帯,通常成約,visits_styleA.csv
2024-01-03,VIS-0007,3LDK,品川,STAFF-05,3575,2,19.0,1,中価格帯,通常成約,visits_styleA.csv
2024-01-10,VIS-0008,1LDK,新宿,STAFF-01,5113,5,,0,高価格帯,未成約,visits_styleA.csv
2024-01-12,VIS-0009,2LDK,品川,STAFF-03,3716,5,,0,中価格帯,未成約,visits_styleA.csv
2024-01-03,VIS-0010,2LDK,新宿,STAFF-02,5786,7,45.0,1,高価格帯,通常成約,visits_styleA.csv
2024-01-18,VIS-0011,2LDK,品川,STAFF-01,3876,1,,0,中価格帯,未成約,visits_styleA.csv
2024-01-13,VIS-0012,3LDK,渋谷,STAFF-02,6646,6,36.0,1,高価格帯,通常成約,visits_styleA.csv
2024-01-13,VIS-0013,一戸建て,新宿,STAFF-03,3143,4,,0,中価格帯,未成約,visits_styleA.csv
2024-01-18,VIS-0014,3LDK,池袋,STAFF-05,5271,6,13.0,1,高価格帯,早期成約,visits_styleA.csv
2024-01-17,VIS-0015,一戸建て,渋谷,STAFF-01,2898,3,,0,低価格帯,未成約,visits_styleA.csv
2024-01-14,VIS-0016,1LDK,池袋,STAFF-04,6881,8,,0,高価格帯,未成約,visits_styleA.csv
2024-01-18,VIS-0017,1LDK,渋谷,STAFF-06,6398,5,,0,高価格帯,未成約,visits_styleA.csv
2024-01-11,VIS-0018,1LDK,品川,STAFF-04,3295,8,51.0,1,中価格帯,通常成約,visits_styleA.csv
2024-01-09,VIS-0019,2LDK,渋谷,STAFF-06,4444,9,,0,中価格帯,未成約,visits_styleA.csv
2024-01-05,VIS-0020,3LDK,新宿,STAFF-05,6344,1,,0,高価格帯,未成約,visits_styleA.csv
2024-01-16,VIS-0021,1LDK,渋谷,STAFF-03,4519,4,41.0,1,中価格帯,通常成約,visits_styleA.csv
2024-01-03,VIS-0022,1LDK,池袋,STAFF-01,6363,3,35.0,1,高価格帯,通常成約,visits_styleA.csv
