日付,社員ID,氏名,部門,出勤時刻,退勤時刻,休憩(分),有給フラグ
2024/01/01,EMP-340,社員001,営業部,08:47,18:15,60,0
2024/01/02,EMP-340,社員001,営業部,09:00,17:30,60,1
2024/01/03,EMP-340,社員001,営業部,08:35,17:45,60,0
2024/01/04,EMP-340,社員001,営業部,08:28,19:17,60,0
2024/01/08,EMP-340,社員001,営業部,09:10,18:09,60,0
2024/01/09,EMP-340,社員001,営業部,08:05,18:06,60,0
2024/01/10,EMP-340,社員001,営業部,09:25,17:46,60,0
2024/01/11,EMP-340,社員001,営業部,09:02,19:18,60,0
2024/01/12,EMP-340,社員001,営業部,09:18,17:45,60,0
2024/01/15,EMP-340,社員001,営業部,09:02,17:55,60,0
2024/01/16,EMP-340,社員001,営業部,09:05,18:22,60,0
2024/01/17,EMP-340,社員001,営業部,08:38,19:10,60,0
2024/01/18,EMP-340,社員001,営業部,09:12,18:59,60,0
2024/01/19,EMP-340,社員001,営業部,09:26,17:14,60,0
2024/01/22,EMP-340,社員001,営業部,09:08,17:13,60,0
2024/01/23,EMP-340,社員001,営業部,09:06,19:31,60,0
2024/01/24,EMP-340,社員001,営業部,09:04,18:08,60,0
2024/01/25,EMP-340,社員001,営業部,09:23,19:27,60,0
2024/01/26,EMP-340,社員001,営業部,08:08,19:31,60,0
2024/01/29,EMP-340,社員001,営業部,08:09,19:10,60,0
2024/01/30,EMP-340,社員001,営業部,08:24,18:38,60,0
2024/01/31,EMP-340,社員001,営業部,08:43,19:07,60,0
2024/01/01,EMP-466,社員002,営業部,09:24,19:21,60,0
2024/01/02,EMP-466,社員002,営業部,09:00,19:56,60,0
2024/01/03,EMP-466,社員002,営業部,08:32,17:55,60,0
2024/01/04,EMP-466,社員002,営業部,08:09,18:48,60,0
2024/01/05,EMP-466,社員002,営業部,09:00,17:30,60,1
2024/01/08,EMP-466,社員002,営業部,09:07,17:15,60,0
2024/01/09,EMP-466,社員002,営業部,08:46,18:52,60,0
2024/01/10,EMP-466,社員002,営業部,08:08,19:30,60,0
2024/01/11,EMP-466,社員002,営業部,09:30,17:59,60,0
2024/01/12,EMP-466,社員002,営業部,08:45,18:25,60,0
2024/01/15,EMP-466,社員002,営業部,09:28,19:28,60,0
2024/01/16,EMP-466,社員002,営業部,09:00,19:35,60,0
2024/01/17,EMP-466,社員002,営業部,08:45,19:03,60,0
2024/01/18,EMP-466,社員002,営業部,09:02,19:15,60,0
2024/01/19,EMP-466,社員002,営業部,08:46,19:36,60,0
2024/01/22,EMP-466,社員002,営業部,09:06,17:06,60,0
2024/01/23,EMP-466,社員002,営業部,09:14,19:03,60,0
2024/01/24,EMP-466,社員002,営業部,08:03,18:46,60,0
2024/01/25,EMP-466,社員002,営業部,08:12,17:34,60,0
2024/01/26,EMP-466,社員002,営業部,09:14,17:55,60,0
2024/01/29,EMP-466,社員002,営業部,08:03,19:34,60,0
2024/01/30,EMP-466,社員002,営業部,08:10,18:31,60,0
2024/01/31,EMP-466,社員002,営業部,08:10,18:00,60,0
2024/01/01,EMP-655,社員003,営業部,09:09,18:44,60,0
2024/01/02,EMP-655,社員003,営業部,09:04,17:18,60,0
2024/01/03,EMP-655,社員003,営業部,08:47,18:03,60,0
2024/01/04,EMP-655,社員003,営業部,08:03,19:05,60,0
2024/01/05,EMP-655,社員003,営業部,08:43,17:25,60,0
2024/01/08,EMP-655,社員003,営業部,08:37,19:02,60,0
2024/01/09,EMP-655,社員003,営業部,09:29,18:13,60,0
2024/01/10,EMP-655,社員003,営業部,09:12,17:42,60,0
2024/01/11,EMP-655,社員003,営業部,08:00,18:39,60,0
2024/01/12,EMP-655,社員003,営業部,08:34,17:32,60,0
2024/01/15,EMP-655,社員003,営業部,08:56,17:23,60,0
2024/01/16,EMP-655,社員003,営業部,09:00,17:30,60,1
2024/01/17,EMP-655,社員003,営業部,09:29,19:06,60,0
2024/01/18,EMP-655,社員003,営業部,08:56,17:47,60,0
2024/01/19,EMP-655,社員003,営業部,08:45,18:13,60,0
2024/01/22,EMP-655,社員003,営業部,09:08,17:05,60,0
2024/01/23,EMP-655,社員003,営業部,08:00,18:49,60,0
2024/01/24,EMP-655,社員003,営業部,08:47,18:35,60,0
2024/01/25,EMP-655,社員003,営業部,08:04,19:57,60,0
2024/01/26,EMP-655,社員003,営業部,09:18,19:09,60,0
2024/01/29,EMP-655,社員003,営業部,09:28,17:57,60,0
2024/01/30,EMP-655,社員003,営業部,08:22,19:56,60,0
2024/01/31,EMP-655,社員003,営業部,08:59,17:55,60,0
2024/01/01,EMP-516,社員004,営業部,08:56,18:01,60,0
2024/01/02,EMP-516,社員004,営業部,09:25,19:55,60,0
2024/01/03,EMP-516,社員004,営業部,08:50,19:06,60,0
2024/01/04,EMP-516,社員004,営業部,09:07,17:52,60,0
2024/01/05,EMP-516,社員004,営業部,08:14,17:42,60,0
2024/01/08,EMP-516,社員004,営業部,08:49,18:22,60,0
2024/01/09,EMP-516,社員004,営業部,09:30,17:07,60,0
2024/01/10,EMP-516,社員004,営業部,09:01,17:38,60,0
2024/01/11,EMP-516,社員004,営業部,09:13,19:32,60,0
2024/01/12,EMP-516,社員004,営業部,08:16,17:45,60,0
2024/01/15,EMP-516,社員004,営業部,08:23,18:04,60,0
2024/01/16,EMP-516,社員004,営業部,09:21,17:46,60,0
