日付,社員ID,氏名,部門,出勤時刻,退勤時刻,休憩(分),有給フラグ
2024/01/01,EMP-288,社員001,開発部,08:54,19:43,60,0
2024/01/02,EMP-288,社員001,開発部,09:05,20:47,60,0
2024/01/03,EMP-288,社員001,開発部,08:14,17:04,60,0
2024/01/04,EMP-288,社員001,開発部,08:33,18:24,60,0
2024/01/05,EMP-288,社員001,開発部,08:02,18:06,60,0
2024/01/08,EMP-288,社員001,開発部,09:26,19:34,60,0
2024/01/09,EMP-288,社員001,開発部,09:11,19:33,60,0
2024/01/10,EMP-288,社員001,開発部,08:33,21:31,60,0
2024/01/11,EMP-288,社員001,開発部,08:32,18:10,60,0
2024/01/12,EMP-288,社員001,開発部,09:06,20:23,60,0
2024/01/15,EMP-288,社員001,開発部,08:26,19:07,60,0
2024/01/16,EMP-288,社員001,開発部,08:37,22:01,60,0
2024/01/17,EMP-288,社員001,開発部,08:08,17:57,60,0
2024/01/18,EMP-288,社員001,開発部,09:29,22:38,60,0
2024/01/19,EMP-288,社員001,開発部,09:30,22:38,60,0
2024/01/22,EMP-288,社員001,開発部,08:14,19:09,60,0
2024/01/23,EMP-288,社員001,開発部,08:39,18:10,60,0
2024/01/24,EMP-288,社員001,開発部,09:19,20:24,60,0
2024/01/25,EMP-288,社員001,開発部,08:33,19:43,60,0
2024/01/26,EMP-288,社員001,開発部,08:11,19:56,60,0
2024/01/29,EMP-288,社員001,開発部,08:05,20:57,60,0
2024/01/30,EMP-288,社員001,開発部,09:16,19:44,60,0
2024/01/31,EMP-288,社員001,開発部,09:25,18:37,60,0
2024/01/01,EMP-444,社員002,開発部,08:27,17:16,60,0
2024/01/02,EMP-444,社員002,開発部,08:18,19:56,60,0
2024/01/03,EMP-444,社員002,開発部,09:00,17:30,60,1
2024/01/04,EMP-444,社員002,開発部,08:24,19:13,60,0
2024/01/05,EMP-444,社員002,開発部,09:03,17:27,60,0
2024/01/08,EMP-444,社員002,開発部,09:18,18:39,60,0
2024/01/09,EMP-444,社員002,開発部,08:26,19:50,60,0
2024/01/10,EMP-444,社員002,開発部,09:08,18:36,60,0
2024/01/11,EMP-444,社員002,開発部,08:54,19:07,60,0
2024/01/12,EMP-444,社員002,開発部,08:06,17:32,60,0
2024/01/15,EMP-444,社員002,開発部,09:00,17:30,60,1
2024/01/16,EMP-444,社員002,開発部,08:30,19:27,60,0
2024/01/17,EMP-444,社員002,開発部,09:02,19:02,60,0
2024/01/18,EMP-444,社員002,開発部,09:19,19:33,60,0
2024/01/19,EMP-444,社員002,開発部,08:49,17:40,60,0
2024/01/23,EMP-444,社員002,開発部,09:06,17:50,60,0
2024/01/24,EMP-444,社員002,開発部,09:00,17:30,60,1
2024/01/25,EMP-444,社員002,開発部,08:10,17:17,60,0
2024/01/26,EMP-444,社員002,開発部,09:12,19:12,60,0
2024/01/29,EMP-444,社員002,開発部,08:58,17:35,60,0
2024/01/30,EMP-444,社員002,開発部,09:11,18:14,60,0
2024/01/31,EMP-444,社員002,開発部,09:18,17:16,60,0
2024/01/01,EMP-142,社員003,開発部,09:10,17:51,60,0
2024/01/02,EMP-142,社員003,開発部,09:22,18:24,60,0
2024/01/03,EMP-142,社員003,開発部,09:30,18:43,60,0
2024/01/04,EMP-142,社員003,開発部,08:30,17:16,60,0
2024/01/05,EMP-142,社員003,開発部,08:43,19:14,60,0
2024/01/08,EMP-142,社員003,開発部,09:16,19:00,60,0
2024/01/09,EMP-142,社員003,開発部,09:02,18:43,60,0
2024/01/10,EMP-142,社員003,開発部,08:30,18:22,60,0
2024/01/11,EMP-142,社員003,開発部,08:47,19:59,60,0
2024/01/12,EMP-142,社員003,開発部,08:15,19:15,60,0
2024/01/15,EMP-142,社員003,開発部,08:53,17:53,60,0
2024/01/16,EMP-142,社員003,開発部,08:07,17:43,60,0
2024/01/17,EMP-142,社員003,開発部,08:48,19:02,60,0
2024/01/18,EMP-142,社員003,開発部,09:15,19:55,60,0
2024/01/19,EMP-142,社員003,開発部,09:12,17:48,60,0
2024/01/22,EMP-142,社員003,開発部,09:15,19:02,60,0
2024/01/23,EMP-142,社員003,開発部,08:29,17:44,60,0
2024/01/24,EMP-142,社員003,開発部,08:00,19:13,60,0
2024/01/25,EMP-142,社員003,開発部,09:19,18:11,60,0
