日付,社員ID,氏名,部門,出勤時刻,退勤時刻,休憩(分),有給フラグ
2024/01/01,EMP-429,社員001,総務部,09:20,19:18,60,0
2024/01/02,EMP-429,社員001,総務部,08:51,19:46,60,0
2024/01/03,EMP-429,社員001,総務部,09:00,17:30,60,1
2024/01/04,EMP-429,社員001,総務部,08:19,17:25,60,0
2024/01/05,EMP-429,社員001,総務部,09:02,18:03,60,0
2024/01/08,EMP-429,社員001,総務部,09:00,17:30,60,1
2024/01/09,EMP-429,社員001,総務部,09:21,19:05,60,0
2024/01/10,EMP-429,社員001,総務部,09:10,19:38,60,0
2024/01/11,EMP-429,社員001,総務部,09:12,17:45,60,0
2024/01/12,EMP-429,社員001,総務部,09:00,18:22,60,0
2024/01/15,EMP-429,社員001,総務部,08:13,19:56,60,0
2024/01/16,EMP-429,社員001,総務部,09:09,17:51,60,0
2024/01/17,EMP-429,社員001,総務部,09:04,19:38,60,0
2024/01/18,EMP-429,社員001,総務部,09:27,19:21,60,0
2024/01/19,EMP-429,社員001,総務部,09:02,17:26,60,0
2024/01/22,EMP-429,社員001,総務部,08:35,18:45,60,0
2024/01/23,EMP-429,社員001,総務部,08:11,18:18,60,0
2024/01/24,EMP-429,社員001,総務部,09:26,19:19,60,0
2024/01/25,EMP-429,社員001,総務部,08:01,17:09,60,0
2024/01/26,EMP-429,社員001,総務部,09:03,19:42,60,0
2024/01/29,EMP-429,社員001,総務部,09:29,19:41,60,0
2024/01/30,EMP-429,社員001,総務部,09:15,17:38,60,0
2024/01/31,EMP-429,社員001,総務部,09:27,18:40,60,0
2024/01/01,EMP-178,社員002,総務部,08:23,19:46,60,0
2024/01/02,EMP-178,社員002,総務部,08:37,17:09,60,0
2024/01/03,EMP-178,社員002,総務部,08:22,17:03,60,0
2024/01/04,EMP-178,社員002,総務部,09:01,18:18,60,0
2024/01/05,EMP-178,社員002,総務部,08:49,19:11,60,0
2024/01/08,EMP-178,社員002,総務部,08:34,18:55,60,0
2024/01/09,EMP-178,社員002,総務部,09:08,19:44,60,0
2024/01/10,EMP-178,社員002,総務部,09:26,17:00,60,0
2024/01/11,EMP-178,社員002,総務部,09:13,18:58,60,0
2024/01/12,EMP-178,社員002,総務部,08:32,17:53,60,0
2024/01/15,EMP-178,社員002,総務部,08:26,18:58,60,0
2024/01/16,EMP-178,社員002,総務部,08:30,18:19,60,0
2024/01/17,EMP-178,社員002,総務部,09:28,19:33,60,0
2024/01/18,EMP-178,社員002,総務部,09:00,19:52,60,0
2024/01/19,EMP-178,社員002,総務部,08:44,17:19,60,0
2024/01/22,EMP-178,社員002,総務部,08:27,19:48,60,0
2024/01/23,EMP-178,社員002,総務部,09:24,18:02,60,0
2024/01/24,EMP-178,社員002,総務部,08:30,17:58,60,0
2024/01/25,EMP-178,社員002,総務部,08:48,17:50,60,0
2024/01/26,EMP-178,社員002,総務部,09:00,17:30,60,1
2024/01/29,EMP-178,社員002,総務部,09:30,19:22,60,0
2024/01/30,EMP-178,社員002,総務部,08:32,19:04,60,0
2024/01/31,EMP-178,社員002,総務部,08:33,17:45,60,0
2024/01/01,EMP-321,社員003,総務部,08:46,17:59,60,0
2024/01/02,EMP-321,社員003,総務部,09:11,19:37,60,0
2024/01/03,EMP-321,社員003,総務部,08:11,18:24,60,0
