対象年月,部門,雇用区分,社員数,予算人件費,実績人件費,残業代
2024/01,営業部,正社員,10,5000000,4287516,391254
2024/01,営業部,契約社員,5,1500000,1606412,243379
2024/01,営業部,パート,8,800000,700865,79399
2024/01,製造部,正社員,15,6000000,7096774,892797
2024/01,製造部,契約社員,8,2000000,2359651,348007
2024/01,製造部,パート,12,1200000,1099358,152139
2024/01,管理部,正社員,8,3000000,2555848,436725
2024/01,管理部,契約社員,3,900000,856867,62827
2024/01,管理部,パート,4,400000,380391,24311
2024/01,開発部,正社員,18,7000000,8939869,1256578
2024/01,開発部,契約社員,7,2500000,2672298,348559
2024/01,開発部,パート,3,300000,289068,38389
2024/01,物流部,正社員,10,4000000,4142223,742518
2024/01,物流部,契約社員,6,1800000,1910468,108655
2024/01,物流部,パート,15,1500000,1405224,87080
2024/02,営業部,正社員,10,5000000,4401502,403600
2024/02,営業部,契約社員,5,1500000,1439174,151871
2024/02,営業部,パート,8,800000,744074,141744
2024/02,製造部,正社員,15,6000000,6196435,468889
2024/02,製造部,契約社員,8,2000000,1798041,192243
2024/02,製造部,パート,12,1200000,1250399,166981
2024/02,管理部,正社員,8,3000000,3308566,550545
2024/02,管理部,契約社員,3,900000,773667,75291
2024/02,管理部,パート,4,400000,365317,69934
2024/02,開発部,正社員,18,7000000,6610823,980489
2024/02,開発部,契約社員,7,2500000,2810910,334014
2024/02,開発部,パート,3,300000,277196,37201
2024/02,物流部,正社員,10,4000000,4101503,757438
2024/02,物流部,契約社員,6,1800000,1648433,329077
2024/02,物流部,パート,15,1500000,1315909,75095
2024/03,営業部,正社員,10,5000000,5191169,876331
2024/03,営業部,契約社員,5,1500000,1303587,139800
2024/03,営業部,パート,8,800000,806987,157896
2024/03,製造部,正社員,15,6000000,5120665,809619
2024/03,製造部,契約社員,8,2000000,2022182,182044
2024/03,製造部,パート,12,1200000,1060158,122145
2024/03,管理部,正社員,8,3000000,3408434,618214
2024/03,管理部,契約社員,3,900000,900158,69130
2024/03,管理部,パート,4,400000,444462,42120
2024/03,開発部,正社員,18,7000000,7228837,527169
2024/03,開発部,契約社員,7,2500000,2529534,421911
2024/03,開発部,パート,3,300000,255051,25153
2024/03,物流部,正社員,10,4000000,5157459,937668
2024/03,物流部,契約社員,6,1800000,1696057,99539
2024/03,物流部,パート,15,1500000,1701127,106912
2024/04,営業部,正社員,10,5000000,4353818,714419
2024/04,営業部,契約社員,5,1500000,1332776,161655
2024/04,営業部,パート,8,800000,743613,134493
2024/04,製造部,正社員,15,6000000,5481236,717463
