YearMonth,Department,EmploymentType,HeadCount,BudgetLaborCost,ActualLaborCost,OvertimeCost
2024-01,営業部,正社員,10,5000000,5697081,377231
2024-01,営業部,契約社員,5,1500000,1795190,272154
2024-01,営業部,パート,8,800000,775197,121901
2024-01,製造部,正社員,15,6000000,7521552,1083753
2024-01,製造部,契約社員,8,2000000,2163488,384114
2024-01,製造部,パート,12,1200000,1063579,210138
2024-01,管理部,正社員,8,3000000,2862483,327057
2024-01,管理部,契約社員,3,900000,901609,91229
2024-01,管理部,パート,4,400000,438679,28878
2024-01,開発部,正社員,18,7000000,7284728,1269772
2024-01,開発部,契約社員,7,2500000,2451615,392428
2024-01,開発部,パート,3,300000,279307,47825
2024-01,物流部,正社員,10,4000000,3980197,459060
2024-01,物流部,契約社員,6,1800000,1674933,297731
2024-01,物流部,パート,15,1500000,1313998,239469
2024-02,営業部,正社員,10,5000000,4947062,700255
2024-02,営業部,契約社員,5,1500000,1287914,228788
2024-02,営業部,パート,8,800000,730908,124016
2024-02,製造部,正社員,15,6000000,6684575,1037296
2024-02,製造部,契約社員,8,2000000,1706090,327926
2024-02,製造部,パート,12,1200000,1509613,186115
2024-02,管理部,正社員,8,3000000,3171548,465854
2024-02,管理部,契約社員,3,900000,979091,62620
2024-02,管理部,パート,4,400000,423014,40580
2024-02,開発部,正社員,18,7000000,6943847,900188
2024-02,開発部,契約社員,7,2500000,2684451,267421
2024-02,開発部,パート,3,300000,279382,24504
2024-02,物流部,正社員,10,4000000,3631101,246672
2024-02,物流部,契約社員,6,1800000,1941582,151001
2024-02,物流部,パート,15,1500000,1492889,236903
2024-03,営業部,正社員,10,5000000,5036955,465665
2024-03,営業部,契約社員,5,1500000,1362352,114604
2024-03,営業部,パート,8,800000,683395,88923
2024-03,製造部,正社員,15,6000000,6853730,911572
2024-03,製造部,契約社員,8,2000000,1775767,320116
2024-03,製造部,パート,12,1200000,1334179,181594
2024-03,管理部,正社員,8,3000000,2946421,228802
2024-03,管理部,契約社員,3,900000,1162043,141373
2024-03,管理部,パート,4,400000,388084,23716
2024-03,開発部,正社員,18,7000000,6062579,438807
2024-03,開発部,契約社員,7,2500000,2352876,468428
2024-03,開発部,パート,3,300000,323799,45638
2024-03,物流部,正社員,10,4000000,3670824,471281
2024-03,物流部,契約社員,6,1800000,1769069,316707
2024-03,物流部,パート,15,1500000,1412421,202193
2024-04,営業部,正社員,10,5000000,5360133,1029888
2024-04,営業部,契約社員,5,1500000,1369961,204212
2024-04,営業部,パート,8,800000,721715,44212
2024-04,製造部,正社員,15,6000000,7305453,1015981
2024-04,製造部,契約社員,8,2000000,1838885,286945
2024-04,製造部,パート,12,1200000,1183451,181195
2024-04,管理部,正社員,8,3000000,3259045,468516
2024-04,管理部,契約社員,3,900000,1017090,115715
2024-04,管理部,パート,4,400000,417716,77804
2024-04,開発部,正社員,18,7000000,6099960,456816
2024-04,開発部,契約社員,7,2500000,2686718,363730
2024-04,開発部,パート,3,300000,266191,40807
2024-04,物流部,正社員,10,4000000,4531211,566722
2024-04,物流部,契約社員,6,1800000,1573438,88079
2024-04,物流部,パート,15,1500000,1420044,124332
2024-05,営業部,正社員,10,5000000,6471433,1135049
2024-05,営業部,契約社員,5,1500000,1702853,340461
2024-05,営業部,パート,8,800000,744682,41728
2024-05,製造部,正社員,15,6000000,5946901,878514
2024-05,製造部,契約社員,8,2000000,1808893,249264
2024-05,製造部,パート,12,1200000,1197021,76233
2024-05,管理部,正社員,8,3000000,2849977,428978
2024-05,管理部,契約社員,3,900000,854046,131566
2024-05,管理部,パート,4,400000,453423,78004
2024-05,開発部,正社員,18,7000000,6905134,671024
2024-05,開発部,契約社員,7,2500000,2852638,315576
2024-05,開発部,パート,3,300000,343930,51124
2024-05,物流部,正社員,10,4000000,3895897,304415
2024-05,物流部,契約社員,6,1800000,1938479,278775
2024-05,物流部,パート,15,1500000,1366601,180914
2024-06,営業部,正社員,10,5000000,4907174,759323
