集計月,所属部門,雇用形態,人員数,人件費予算,人件費実績,時間外手当
2024/01,営業部,正社員,10,5000000,4592740,463130
2024/01,営業部,契約社員,5,1500000,1462195,93964
2024/01,営業部,パート,8,800000,839625,89122
2024/01,製造部,正社員,15,6000000,6761373,406155
2024/01,製造部,契約社員,8,2000000,1755938,113231
2024/01,製造部,パート,12,1200000,1312236,175125
2024/01,管理部,正社員,8,3000000,3055427,303852
2024/01,管理部,契約社員,3,900000,860471,128899
2024/01,管理部,パート,4,400000,444171,70249
2024/01,開発部,正社員,18,7000000,7210861,740893
2024/01,開発部,契約社員,7,2500000,2284554,339280
2024/01,開発部,パート,3,300000,264739,46807
2024/01,物流部,正社員,10,4000000,4315126,587353
2024/01,物流部,契約社員,6,1800000,1986383,389692
2024/01,物流部,パート,15,1500000,1551107,227089
2024/02,営業部,正社員,10,5000000,6446813,1124447
2024/02,営業部,契約社員,5,1500000,1356187,210757
2024/02,営業部,パート,8,800000,761557,38775
2024/02,製造部,正社員,15,6000000,6119377,673851
2024/02,製造部,契約社員,8,2000000,2079903,113559
2024/02,製造部,パート,12,1200000,1097447,123983
2024/02,管理部,正社員,8,3000000,2883047,456211
2024/02,管理部,契約社員,3,900000,918250,57614
2024/02,管理部,パート,4,400000,469444,66978
2024/02,開発部,正社員,18,7000000,6521415,973587
2024/02,開発部,契約社員,7,2500000,2456533,223483
2024/02,開発部,パート,3,300000,265243,30366
2024/02,物流部,正社員,10,4000000,4214183,518323
2024/02,物流部,契約社員,6,1800000,1554525,169893
2024/02,物流部,パート,15,1500000,1278459,121725
2024/03,営業部,正社員,10,5000000,4455852,393576
2024/03,営業部,契約社員,5,1500000,1278478,207180
2024/03,営業部,パート,8,800000,771249,119968
2024/03,製造部,正社員,15,6000000,6600037,1128144
2024/03,製造部,契約社員,8,2000000,2558529,144161
2024/03,製造部,パート,12,1200000,1545809,277189
2024/03,管理部,正社員,8,3000000,3066059,479607
2024/03,管理部,契約社員,3,900000,796096,42295
2024/03,管理部,パート,4,400000,436158,62247
2024/03,開発部,正社員,18,7000000,7881516,498265
2024/03,開発部,契約社員,7,2500000,2307487,319196
2024/03,開発部,パート,3,300000,290619,28056
2024/03,物流部,正社員,10,4000000,3799682,285811
2024/03,物流部,契約社員,6,1800000,1591574,201322
2024/03,物流部,パート,15,1500000,1432218,227875
2024/04,営業部,正社員,10,5000000,5472555,467576
2024/04,営業部,契約社員,5,1500000,1363772,191418
2024/04,営業部,パート,8,800000,837322,64115
