year_month,department,employment_type,head_count,budget_cost,actual_cost,overtime_cost,variance_amount,variance_rate,cost_per_person,variance_flag,source_file
2024-01,営業部,正社員,10,5000000,4287516,391254,-712484,-0.1424968,428751.6,正常,labor_cost_styleA_202401.csv
2024-01,営業部,契約社員,5,1500000,1606412,243379,106412,0.07094133333333333,321282.4,正常,labor_cost_styleA_202401.csv
2024-01,営業部,パート,8,800000,700865,79399,-99135,-0.12391875,87608.125,正常,labor_cost_styleA_202401.csv
2024-01,製造部,正社員,15,6000000,7096774,892797,1096774,0.18279566666666666,473118.26666666666,超過,labor_cost_styleA_202401.csv
2024-01,製造部,契約社員,8,2000000,2359651,348007,359651,0.1798255,294956.375,超過,labor_cost_styleA_202401.csv
2024-01,製造部,パート,12,1200000,1099358,152139,-100642,-0.08386833333333334,91613.16666666667,正常,labor_cost_styleA_202401.csv
2024-01,管理部,正社員,8,3000000,2555848,436725,-444152,-0.14805066666666666,319481.0,正常,labor_cost_styleA_202401.csv
2024-01,管理部,契約社員,3,900000,856867,62827,-43133,-0.047925555555555555,285622.3333333333,正常,labor_cost_styleA_202401.csv
2024-01,管理部,パート,4,400000,380391,24311,-19609,-0.0490225,95097.75,正常,labor_cost_styleA_202401.csv
2024-01,開発部,正社員,18,7000000,8939869,1256578,1939869,0.2771241428571429,496659.3888888889,超過,labor_cost_styleA_202401.csv
2024-01,開発部,契約社員,7,2500000,2672298,348559,172298,0.0689192,381756.85714285716,正常,labor_cost_styleA_202401.csv
2024-01,開発部,パート,3,300000,289068,38389,-10932,-0.03644,96356.0,正常,labor_cost_styleA_202401.csv
2024-01,物流部,正社員,10,4000000,4142223,742518,142223,0.03555575,414222.3,正常,labor_cost_styleA_202401.csv
2024-01,物流部,契約社員,6,1800000,1910468,108655,110468,0.06137111111111111,318411.3333333333,正常,labor_cost_styleA_202401.csv
2024-01,物流部,パート,15,1500000,1405224,87080,-94776,-0.063184,93681.6,正常,labor_cost_styleA_202401.csv
2024-02,営業部,正社員,10,5000000,4401502,403600,-598498,-0.1196996,440150.2,正常,labor_cost_styleA_202401.csv
2024-02,営業部,契約社員,5,1500000,1439174,151871,-60826,-0.040550666666666665,287834.8,正常,labor_cost_styleA_202401.csv
2024-02,営業部,パート,8,800000,744074,141744,-55926,-0.0699075,93009.25,正常,labor_cost_styleA_202401.csv
2024-02,製造部,正社員,15,6000000,6196435,468889,196435,0.032739166666666666,413095.6666666667,正常,labor_cost_styleA_202401.csv
2024-02,製造部,契約社員,8,2000000,1798041,192243,-201959,-0.1009795,224755.125,正常,labor_cost_styleA_202401.csv
2024-02,製造部,パート,12,1200000,1250399,166981,50399,0.041999166666666664,104199.91666666667,正常,labor_cost_styleA_202401.csv
2024-02,管理部,正社員,8,3000000,3308566,550545,308566,0.10285533333333333,413570.75,正常,labor_cost_styleA_202401.csv
2024-02,管理部,契約社員,3,900000,773667,75291,-126333,-0.14037,257889.0,正常,labor_cost_styleA_202401.csv
2024-02,管理部,パート,4,400000,365317,69934,-34683,-0.0867075,91329.25,正常,labor_cost_styleA_202401.csv
2024-02,開発部,正社員,18,7000000,6610823,980489,-389177,-0.055596714285714284,367267.94444444444,正常,labor_cost_styleA_202401.csv
2024-02,開発部,契約社員,7,2500000,2810910,334014,310910,0.124364,401558.5714285714,正常,labor_cost_styleA_202401.csv
2024-02,開発部,パート,3,300000,277196,37201,-22804,-0.07601333333333334,92398.66666666667,正常,labor_cost_styleA_202401.csv
2024-02,物流部,正社員,10,4000000,4101503,757438,101503,0.02537575,410150.3,正常,labor_cost_styleA_202401.csv
2024-02,物流部,契約社員,6,1800000,1648433,329077,-151567,-0.08420388888888888,274738.8333333333,正常,labor_cost_styleA_202401.csv
2024-02,物流部,パート,15,1500000,1315909,75095,-184091,-0.12272733333333333,87727.26666666666,正常,labor_cost_styleA_202401.csv
2024-03,営業部,正社員,10,5000000,5191169,876331,191169,0.0382338,519116.9,正常,labor_cost_styleA_202401.csv
2024-03,営業部,契約社員,5,1500000,1303587,139800,-196413,-0.130942,260717.4,正常,labor_cost_styleA_202401.csv
2024-03,営業部,パート,8,800000,806987,157896,6987,0.00873375,100873.375,正常,labor_cost_styleA_202401.csv
2024-03,製造部,正社員,15,6000000,5120665,809619,-879335,-0.14655583333333333,341377.6666666667,正常,labor_cost_styleA_202401.csv
2024-03,製造部,契約社員,8,2000000,2022182,182044,22182,0.011091,252772.75,正常,labor_cost_styleA_202401.csv
2024-03,製造部,パート,12,1200000,1060158,122145,-139842,-0.116535,88346.5,正常,labor_cost_styleA_202401.csv
2024-03,管理部,正社員,8,3000000,3408434,618214,408434,0.13614466666666666,426054.25,正常,labor_cost_styleA_202401.csv
2024-03,管理部,契約社員,3,900000,900158,69130,158,0.00017555555555555556,300052.6666666667,正常,labor_cost_styleA_202401.csv
2024-03,管理部,パート,4,400000,444462,42120,44462,0.111155,111115.5,正常,labor_cost_styleA_202401.csv
2024-03,開発部,正社員,18,7000000,7228837,527169,228837,0.032691,401602.05555555556,正常,labor_cost_styleA_202401.csv
2024-03,開発部,契約社員,7,2500000,2529534,421911,29534,0.0118136,361362.0,正常,labor_cost_styleA_202401.csv
2024-03,開発部,パート,3,300000,255051,25153,-44949,-0.14983,85017.0,正常,labor_cost_styleA_202401.csv
2024-03,物流部,正社員,10,4000000,5157459,937668,1157459,0.28936475,515745.9,超過,labor_cost_styleA_202401.csv
2024-03,物流部,契約社員,6,1800000,1696057,99539,-103943,-0.05774611111111111,282676.1666666667,正常,labor_cost_styleA_202401.csv
2024-03,物流部,パート,15,1500000,1701127,106912,201127,0.13408466666666666,113408.46666666666,正常,labor_cost_styleA_202401.csv
2024-04,営業部,正社員,10,5000000,4353818,714419,-646182,-0.1292364,435381.8,正常,labor_cost_styleA_202401.csv
2024-04,営業部,契約社員,5,1500000,1332776,161655,-167224,-0.11148266666666666,266555.2,正常,labor_cost_styleA_202401.csv
2024-04,営業部,パート,8,800000,743613,134493,-56387,-0.07048375,92951.625,正常,labor_cost_styleA_202401.csv
2024-04,製造部,正社員,15,6000000,5481236,717463,-518764,-0.08646066666666667,365415.73333333334,正常,labor_cost_styleA_202401.csv
2024-04,製造部,契約社員,8,2000000,1820690,176165,-179310,-0.089655,227586.25,正常,labor_cost_styleA_202401.csv
2024-04,製造部,パート,12,1200000,1253956,145101,53956,0.044963333333333334,104496.33333333333,正常,labor_cost_styleA_202401.csv
2024-04,管理部,正社員,8,3000000,2658903,222562,-341097,-0.113699,332362.875,正常,labor_cost_styleA_202401.csv
2024-04,管理部,契約社員,3,900000,923843,78080,23843,0.026492222222222223,307947.6666666667,正常,labor_cost_styleA_202401.csv
2024-04,管理部,パート,4,400000,348519,50418,-51481,-0.1287025,87129.75,正常,labor_cost_styleA_202401.csv
2024-04,開発部,正社員,18,7000000,7851382,1404967,851382,0.121626,436187.8888888889,正常,labor_cost_styleA_202401.csv
2024-04,開発部,契約社員,7,2500000,2964251,445665,464251,0.1857004,423464.4285714286,超過,labor_cost_styleA_202401.csv
