応募日,応募者ID,職種,採用チャネル,到達フェーズ,採用結果,選考日数
2024/03/04,1,エンジニア,リファラル,二次面接,不採用,26
2024/01/19,2,マーケティング,転職サイト,内定,採用,42
2024/03/18,3,マーケティング,エージェント,一次面接,不採用,13
2024/03/14,4,事務,リファラル,書類選考,不採用,9
2024/01/03,5,マーケティング,転職サイト,内定,採用,33
2024/02/03,6,製造,リファラル,書類選考,不採用,13
2024/02/19,7,営業,転職サイト,内定,採用,33
2024/02/09,8,マーケティング,リファラル,一次面接,不採用,21
2024/03/03,9,製造,エージェント,最終面接,不採用,33
2024/01/22,10,事務,転職サイト,内定,採用,41
2024/03/11,11,営業,自社HP,書類選考,不採用,11
2024/01/09,12,営業,エージェント,書類選考,不採用,12
2024/02/24,13,製造,自社HP,書類選考,不採用,10
2024/02/08,14,営業,自社HP,内定,採用,38
2024/03/03,15,マーケティング,自社HP,最終面接,不採用,35
2024/03/04,16,製造,リファラル,書類選考,不採用,9
2024/01/10,17,マーケティング,エージェント,書類選考,不採用,8
2024/03/25,18,営業,転職サイト,書類選考,不採用,8
2024/03/17,19,製造,エージェント,書類選考,不採用,12
2024/03/01,20,製造,リファラル,二次面接,不採用,22
2024/01/02,21,営業,転職サイト,二次面接,不採用,20
2024/01/22,22,マーケティング,エージェント,書類選考,不採用,10
2024/01/18,23,営業,リファラル,書類選考,不採用,9
2024/02/17,24,マーケティング,転職サイト,内定,採用,32
2024/01/23,25,エンジニア,エージェント,内定,採用,39
2024/01/18,26,営業,自社HP,内定,採用,37
2024/02/14,27,マーケティング,転職サイト,書類選考,不採用,14
2024/01/02,28,マーケティング,リファラル,書類選考,不採用,5
2024/01/07,29,営業,自社HP,二次面接,不採用,19
2024/02/26,30,製造,転職サイト,書類選考,不採用,4
2024/01/25,31,営業,エージェント,一次面接,不採用,11
2024/01/13,32,エンジニア,自社HP,書類選考,不採用,11
2024/02/14,33,製造,自社HP,一次面接,不採用,20
2024/03/18,34,エンジニア,リファラル,書類選考,不採用,12
2024/03/06,35,エンジニア,転職サイト,書類選考,不採用,5
2024/03/03,36,営業,自社HP,書類選考,不採用,7
2024/03/20,37,エンジニア,転職サイト,書類選考,不採用,12
2024/02/09,38,営業,リファラル,一次面接,不採用,15
2024/02/11,39,エンジニア,転職サイト,書類選考,不採用,5
2024/01/18,40,営業,リファラル,内定,採用,39
2024/03/23,41,事務,転職サイト,書類選考,不採用,12
2024/02/22,42,エンジニア,エージェント,書類選考,不採用,12
2024/01/09,43,事務,エージェント,書類選考,不採用,7
2024/03/21,44,事務,自社HP,書類選考,不採用,4
2024/01/21,45,マーケティング,リファラル,二次面接,不採用,20
2024/03/15,46,製造,自社HP,一次面接,不採用,13
2024/03/02,47,事務,エージェント,二次面接,不採用,18
2024/02/07,48,営業,転職サイト,書類選考,不採用,10
2024/03/24,49,営業,エージェント,書類選考,不採用,6
2024/02/01,50,営業,リファラル,書類選考,不採用,10
2024/03/28,51,営業,リファラル,書類選考,不採用,10
2024/01/28,52,マーケティング,エージェント,書類選考,不採用,9
2024/02/27,53,営業,エージェント,二次面接,不採用,22
2024/02/21,54,製造,自社HP,書類選考,不採用,12
2024/02/01,55,エンジニア,リファラル,書類選考,不採用,8
2024/01/04,56,製造,自社HP,書類選考,不採用,10
2024/03/17,57,エンジニア,自社HP,書類選考,不採用,7
2024/02/02,58,マーケティング,転職サイト,書類選考,不採用,14
2024/03/24,59,営業,リファラル,書類選考,不採用,9
2024/03/11,60,エンジニア,リファラル,書類選考,不採用,9
2024/02/23,61,事務,エージェント,書類選考,不採用,10
2024/03/24,62,営業,リファラル,書類選考,不採用,8
2024/02/07,63,マーケティング,リファラル,最終面接,不採用,27
2024/03/03,64,事務,リファラル,書類選考,不採用,7
2024/03/10,65,営業,エージェント,一次面接,不採用,20
2024/01/15,66,マーケティング,エージェント,書類選考,不採用,10
2024/02/13,67,営業,エージェント,書類選考,不採用,4
2024/01/25,68,マーケティング,エージェント,書類選考,不採用,12
2024/02/02,69,製造,エージェント,書類選考,不採用,5
2024/02/05,70,マーケティング,リファラル,書類選考,不採用,11
2024/03/27,71,製造,自社HP,書類選考,不採用,12
2024/02/06,72,マーケティング,自社HP,一次面接,不採用,19
2024/02/21,73,営業,リファラル,書類選考,不採用,7
2024/02/11,74,事務,転職サイト,一次面接,不採用,14
2024/01/14,75,マーケティング,リファラル,最終面接,不採用,34
2024/03/01,76,製造,自社HP,書類選考,不採用,8
2024/02/28,77,マーケティング,エージェント,内定,採用,38
2024/03/06,78,マーケティング,エージェント,書類選考,不採用,12
