apply_date,applicant_id,job_type,channel,reached_phase,hire_result,screening_days,is_hired,phase_order,passed_first_screen,source_file
2024-03-04,1,エンジニア,リファラル,二次面接,不採用,26,0,3,1,recruitment_styleA_202401.csv
2024-01-19,2,マーケティング,転職サイト,内定,採用,42,1,5,1,recruitment_styleA_202401.csv
2024-03-18,3,マーケティング,エージェント,一次面接,不採用,13,0,2,1,recruitment_styleA_202401.csv
2024-03-14,4,事務,リファラル,書類選考,不採用,9,0,1,0,recruitment_styleA_202401.csv
2024-01-03,5,マーケティング,転職サイト,内定,採用,33,1,5,1,recruitment_styleA_202401.csv
2024-02-03,6,製造,リファラル,書類選考,不採用,13,0,1,0,recruitment_styleA_202401.csv
2024-02-19,7,営業,転職サイト,内定,採用,33,1,5,1,recruitment_styleA_202401.csv
2024-02-09,8,マーケティング,リファラル,一次面接,不採用,21,0,2,1,recruitment_styleA_202401.csv
2024-03-03,9,製造,エージェント,最終面接,不採用,33,0,4,1,recruitment_styleA_202401.csv
2024-01-22,10,事務,転職サイト,内定,採用,41,1,5,1,recruitment_styleA_202401.csv
2024-03-11,11,営業,自社HP,書類選考,不採用,11,0,1,0,recruitment_styleA_202401.csv
2024-01-09,12,営業,エージェント,書類選考,不採用,12,0,1,0,recruitment_styleA_202401.csv
2024-02-24,13,製造,自社HP,書類選考,不採用,10,0,1,0,recruitment_styleA_202401.csv
2024-02-08,14,営業,自社HP,内定,採用,38,1,5,1,recruitment_styleA_202401.csv
2024-03-03,15,マーケティング,自社HP,最終面接,不採用,35,0,4,1,recruitment_styleA_202401.csv
2024-03-04,16,製造,リファラル,書類選考,不採用,9,0,1,0,recruitment_styleA_202401.csv
2024-01-10,17,マーケティング,エージェント,書類選考,不採用,8,0,1,0,recruitment_styleA_202401.csv
2024-03-25,18,営業,転職サイト,書類選考,不採用,8,0,1,0,recruitment_styleA_202401.csv
2024-03-17,19,製造,エージェント,書類選考,不採用,12,0,1,0,recruitment_styleA_202401.csv
2024-03-01,20,製造,リファラル,二次面接,不採用,22,0,3,1,recruitment_styleA_202401.csv
2024-01-02,21,営業,転職サイト,二次面接,不採用,20,0,3,1,recruitment_styleA_202401.csv
2024-01-22,22,マーケティング,エージェント,書類選考,不採用,10,0,1,0,recruitment_styleA_202401.csv
2024-01-18,23,営業,リファラル,書類選考,不採用,9,0,1,0,recruitment_styleA_202401.csv
2024-02-17,24,マーケティング,転職サイト,内定,採用,32,1,5,1,recruitment_styleA_202401.csv
2024-01-23,25,エンジニア,エージェント,内定,採用,39,1,5,1,recruitment_styleA_202401.csv
2024-01-18,26,営業,自社HP,内定,採用,37,1,5,1,recruitment_styleA_202401.csv
2024-02-14,27,マーケティング,転職サイト,書類選考,不採用,14,0,1,0,recruitment_styleA_202401.csv
2024-01-02,28,マーケティング,リファラル,書類選考,不採用,5,0,1,0,recruitment_styleA_202401.csv
2024-01-07,29,営業,自社HP,二次面接,不採用,19,0,3,1,recruitment_styleA_202401.csv
2024-02-26,30,製造,転職サイト,書類選考,不採用,4,0,1,0,recruitment_styleA_202401.csv
2024-01-25,31,営業,エージェント,一次面接,不採用,11,0,2,1,recruitment_styleA_202401.csv
