応募日,応募番号,採用チャネル,職種,採用コスト,選考フェーズ,採用可否,内定承諾
2024/03/04,1,求人サイト,事務,132098,一次面接,0,
2024/01/24,2,求人サイト,デザイン,111395,内定,1,1.0
2024/01/03,3,SNS採用,営業,63118,内定,1,1.0
2024/01/23,4,合同説明会,マーケ,78893,最終面接,0,
2024/01/25,5,SNS採用,マーケ,52298,二次面接,0,
2024/01/07,6,リファラル,エンジニア,16078,最終面接,1,0.0
2024/03/09,7,求人サイト,マーケ,170284,書類選考,0,
2024/02/03,8,合同説明会,事務,132397,内定,1,0.0
2024/02/19,9,SNS採用,エンジニア,33003,一次面接,0,
2024/02/03,10,SNS採用,エンジニア,54911,二次面接,0,
2024/02/21,11,リファラル,営業,34260,二次面接,0,
2024/01/22,12,リファラル,エンジニア,49920,一次面接,0,
2024/03/24,13,SNS採用,営業,60294,最終面接,0,
2024/03/23,14,合同説明会,営業,139733,二次面接,0,
2024/01/08,15,求人サイト,事務,152581,二次面接,0,
2024/01/07,16,合同説明会,事務,77869,最終面接,0,
2024/03/15,17,SNS採用,事務,39150,一次面接,0,
2024/03/18,18,合同説明会,事務,147912,内定,1,1.0
2024/03/13,19,リファラル,営業,19065,内定,1,1.0
2024/01/28,20,求人サイト,営業,182240,一次面接,0,
2024/03/14,21,合同説明会,エンジニア,100432,最終面接,0,
2024/02/17,22,リファラル,デザイン,10752,書類選考,0,
2024/03/18,23,リファラル,事務,17310,二次面接,0,
2024/02/06,24,エージェント,エンジニア,489292,二次面接,0,
2024/03/25,25,SNS採用,デザイン,36973,二次面接,0,
2024/03/17,26,合同説明会,営業,70032,二次面接,0,
2024/01/18,27,合同説明会,エンジニア,128504,二次面接,0,
2024/02/01,28,求人サイト,事務,140306,一次面接,0,
2024/01/08,29,合同説明会,エンジニア,61226,最終面接,0,
2024/03/25,30,SNS採用,営業,73237,最終面接,0,
2024/01/09,31,合同説明会,デザイン,105461,一次面接,0,
2024/03/25,32,SNS採用,事務,56148,二次面接,0,
2024/02/17,33,エージェント,エンジニア,364986,一次面接,0,
2024/01/11,34,求人サイト,デザイン,172603,一次面接,0,
2024/03/08,35,求人サイト,エンジニア,192778,書類選考,0,
2024/01/03,36,求人サイト,事務,109287,内定,1,1.0
2024/03/16,37,SNS採用,デザイン,38671,内定,1,1.0
2024/01/26,38,エージェント,マーケ,349914,書類選考,0,
2024/01/22,39,エージェント,事務,411038,最終面接,0,
2024/03/02,40,求人サイト,エンジニア,152772,二次面接,0,
2024/01/08,41,SNS採用,営業,65146,最終面接,1,1.0
2024/02/08,42,求人サイト,マーケ,172132,書類選考,0,
2024/01/21,43,合同説明会,エンジニア,62224,一次面接,0,
2024/01/14,44,エージェント,マーケ,356032,最終面接,0,
2024/01/13,45,求人サイト,マーケ,134760,最終面接,0,
2024/03/24,46,合同説明会,マーケ,70289,一次面接,0,
2024/02/07,47,求人サイト,デザイン,196434,内定,1,1.0
2024/02/02,48,求人サイト,デザイン,162493,内定,1,0.0
2024/03/06,49,求人サイト,デザイン,110500,一次面接,0,
2024/01/20,50,求人サイト,営業,152923,書類選考,0,
2024/03/08,51,合同説明会,デザイン,55209,内定,1,1.0
2024/03/19,52,合同説明会,デザイン,91467,二次面接,0,
2024/01/22,53,リファラル,営業,27407,最終面接,1,1.0
2024/02/11,54,求人サイト,エンジニア,160068,内定,1,0.0
2024/01/03,55,合同説明会,営業,116307,二次面接,0,
2024/01/12,56,求人サイト,営業,148434,二次面接,0,
2024/01/15,57,合同説明会,事務,130173,内定,1,1.0
2024/03/10,58,求人サイト,営業,134664,書類選考,0,
2024/01/24,59,合同説明会,営業,85697,二次面接,0,
2024/03/07,60,リファラル,営業,27300,内定,1,1.0
2024/01/03,61,エージェント,事務,311557,書類選考,0,
2024/02/25,62,SNS採用,事務,40589,最終面接,0,
2024/02/18,63,求人サイト,エンジニア,109862,一次面接,0,
2024/03/02,64,リファラル,デザイン,46210,一次面接,0,
2024/02/05,65,求人サイト,事務,147795,書類選考,0,
2024/02/07,66,SNS採用,エンジニア,53178,内定,1,0.0
2024/02/20,67,SNS採用,営業,40649,一次面接,0,
2024/02/01,68,SNS採用,事務,56982,一次面接,0,
2024/02/06,69,求人サイト,マーケ,105075,最終面接,0,
2024/02/12,70,リファラル,営業,24609,書類選考,0,
2024/03/07,71,エージェント,事務,373034,書類選考,0,
2024/02/12,72,合同説明会,マーケ,139065,内定,1,1.0
2024/01/04,73,リファラル,営業,48049,二次面接,0,
2024/01/04,74,合同説明会,マーケ,95309,二次面接,0,
2024/02/20,75,合同説明会,エンジニア,100488,内定,1,1.0
2024/01/23,76,エージェント,エンジニア,436293,内定,1,1.0
2024/03/24,77,SNS採用,事務,58265,書類選考,0,
2024/03/11,78,合同説明会,事務,136951,書類選考,0,
2024/03/10,79,合同説明会,事務,137410,最終面接,0,
2024/03/10,80,合同説明会,営業,75144,最終面接,0,
2024/02/22,81,SNS採用,デザイン,67296,二次面接,0,
2024/02/18,82,求人サイト,事務,137606,一次面接,0,
2024/02/26,83,合同説明会,デザイン,135813,二次面接,0,
2024/02/15,84,エージェント,営業,434001,最終面接,0,
2024/03/06,85,求人サイト,事務,167561,内定,1,1.0
2024/01/22,86,リファラル,営業,23050,一次面接,0,
2024/01/02,87,SNS採用,マーケ,70060,書類選考,0,
2024/02/14,88,合同説明会,営業,144155,最終面接,0,
2024/01/05,89,求人サイト,エンジニア,155724,一次面接,0,
2024/01/26,90,合同説明会,マーケ,56582,内定,1,1.0
2024/01/15,91,SNS採用,マーケ,73750,内定,1,0.0
2024/03/11,92,エージェント,デザイン,488553,内定,1,1.0
2024/03/15,93,SNS採用,マーケ,59495,二次面接,0,
2024/01/27,94,リファラル,デザイン,41758,一次面接,0,
2024/02/15,95,求人サイト,事務,130735,二次面接,0,
2024/02/11,96,合同説明会,エンジニア,68136,一次面接,0,
2024/01/13,97,SNS採用,営業,34209,最終面接,0,
2024/03/15,98,エージェント,エンジニア,354220,最終面接,0,
2024/03/23,99,求人サイト,デザイン,149857,最終面接,1,1.0
2024/02/28,100,エージェント,デザイン,495956,内定,1,1.0
2024/01/16,101,SNS採用,事務,58562,最終面接,1,1.0
2024/03/26,102,エージェント,営業,422523,一次面接,0,
2024/03/18,103,求人サイト,マーケ,177580,内定,1,1.0
2024/01/21,104,エージェント,営業,421031,一次面接,0,
2024/01/09,105,エージェント,事務,355485,最終面接,0,
2024/02/09,106,エージェント,事務,321471,最終面接,1,1.0
2024/02/08,107,求人サイト,エンジニア,198858,書類選考,0,
2024/01/07,108,求人サイト,デザイン,119973,一次面接,0,
2024/01/16,109,求人サイト,デザイン,128569,最終面接,0,
2024/02/06,110,合同説明会,デザイン,148032,書類選考,0,
2024/01/10,111,求人サイト,デザイン,103365,二次面接,0,
2024/03/22,112,エージェント,マーケ,487436,一次面接,0,
2024/01/19,113,SNS採用,エンジニア,75691,二次面接,0,
2024/03/20,114,求人サイト,デザイン,105383,二次面接,0,
2024/03/14,115,リファラル,エンジニア,43158,二次面接,0,
2024/01/28,116,エージェント,マーケ,327666,最終面接,0,
2024/03/27,117,エージェント,営業,414160,一次面接,0,
2024/03/17,118,リファラル,デザイン,45269,最終面接,0,
2024/03/19,119,リファラル,事務,26088,書類選考,0,
2024/02/15,120,SNS採用,マーケ,67345,内定,1,1.0
2024/02/01,121,エージェント,事務,347668,最終面接,0,
2024/02/11,122,リファラル,デザイン,28105,内定,1,1.0
2024/01/03,123,SNS採用,マーケ,62019,内定,1,1.0
2024/03/16,124,エージェント,マーケ,304520,書類選考,0,
2024/02/08,125,エージェント,営業,380270,内定,1,1.0
2024/03/17,126,リファラル,マーケ,46070,二次面接,0,
2024/02/23,127,エージェント,事務,380379,二次面接,0,
2024/01/04,128,SNS採用,事務,37835,内定,1,0.0
2024/03/06,129,SNS採用,営業,78405,最終面接,0,
2024/03/25,130,合同説明会,デザイン,87093,書類選考,0,
