ApplyDate,ApplyNo,Channel,JobType,Cost,Phase,IsHired,IsAccepted
2024-01-08,141,SNS採用,デザイン,34919,一次面接,0,
2024-01-14,142,エージェント,デザイン,423184,二次面接,0,
2024-01-08,143,リファラル,事務,39755,書類選考,0,
2024-03-08,144,リファラル,デザイン,22964,最終面接,1,1.0
2024-01-09,145,SNS採用,エンジニア,33908,一次面接,0,
2024-02-20,146,合同説明会,事務,107560,書類選考,0,
2024-02-23,147,リファラル,マーケ,27841,内定,1,1.0
2024-02-03,148,合同説明会,エンジニア,106626,二次面接,0,
2024-03-09,149,求人サイト,エンジニア,130005,内定,1,1.0
2024-01-25,150,リファラル,デザイン,12636,一次面接,0,
2024-02-17,151,エージェント,事務,347576,内定,1,1.0
2024-02-03,152,エージェント,事務,407046,二次面接,0,
2024-02-22,153,求人サイト,営業,143228,最終面接,0,
2024-02-22,154,エージェント,デザイン,309619,最終面接,1,1.0
2024-01-25,155,エージェント,デザイン,300301,内定,1,1.0
2024-01-07,156,合同説明会,事務,131609,最終面接,0,
2024-01-07,157,リファラル,デザイン,18586,二次面接,0,
2024-02-23,158,エージェント,エンジニア,307567,内定,1,1.0
2024-03-06,159,リファラル,デザイン,10896,内定,1,1.0
2024-01-27,160,求人サイト,マーケ,115396,一次面接,0,
2024-02-23,161,リファラル,デザイン,27919,最終面接,0,
2024-02-08,162,エージェント,デザイン,337917,最終面接,1,1.0
2024-03-05,163,求人サイト,事務,154387,二次面接,0,
2024-03-09,164,求人サイト,事務,195164,二次面接,0,
2024-03-19,165,エージェント,営業,417059,内定,1,1.0
2024-02-18,166,合同説明会,マーケ,109682,二次面接,0,
2024-01-23,167,SNS採用,デザイン,55098,一次面接,0,
2024-02-02,168,リファラル,マーケ,34984,最終面接,0,
2024-03-05,169,エージェント,エンジニア,333094,内定,1,0.0
2024-02-28,170,求人サイト,マーケ,113069,内定,1,0.0
2024-01-24,171,SNS採用,マーケ,72911,一次面接,0,
2024-01-16,172,リファラル,事務,36049,書類選考,0,
2024-02-28,173,合同説明会,マーケ,91505,最終面接,0,
2024-01-20,174,求人サイト,営業,182727,二次面接,0,
2024-01-24,175,求人サイト,マーケ,112903,書類選考,0,
2024-02-06,176,リファラル,エンジニア,13014,二次面接,0,
2024-01-10,177,リファラル,事務,38225,一次面接,0,
2024-01-17,178,エージェント,デザイン,478729,一次面接,0,
2024-01-06,179,求人サイト,デザイン,150140,内定,1,1.0
2024-02-19,180,SNS採用,営業,60221,二次面接,0,
2024-02-09,181,求人サイト,マーケ,137700,内定,1,1.0
2024-02-12,182,合同説明会,事務,133746,最終面接,0,
2024-02-28,183,リファラル,営業,35211,最終面接,1,1.0
2024-02-19,184,リファラル,事務,11437,最終面接,0,
2024-03-28,185,求人サイト,デザイン,197671,最終面接,0,
2024-02-25,186,SNS採用,デザイン,53089,一次面接,0,
2024-03-07,187,合同説明会,事務,138835,一次面接,0,
2024-03-04,188,求人サイト,事務,157779,書類選考,0,
2024-03-12,189,SNS採用,エンジニア,49340,二次面接,0,
2024-03-14,190,SNS採用,営業,38661,内定,1,0.0
2024-02-17,191,合同説明会,事務,71567,二次面接,0,
2024-02-26,192,リファラル,事務,17547,最終面接,0,
2024-01-25,193,SNS採用,マーケ,66524,二次面接,0,
2024-01-26,194,エージェント,エンジニア,369326,内定,1,1.0
2024-02-22,195,リファラル,デザイン,34970,二次面接,0,
2024-01-22,196,SNS採用,マーケ,31640,内定,1,0.0
2024-03-11,197,合同説明会,営業,134889,書類選考,0,
2024-03-27,198,エージェント,事務,470194,最終面接,1,1.0
2024-01-10,199,エージェント,エンジニア,325478,一次面接,0,
2024-03-05,200,エージェント,マーケ,397258,内定,1,1.0
2024-03-24,201,SNS採用,マーケ,72920,書類選考,0,
2024-02-20,202,エージェント,事務,308576,二次面接,0,
2024-01-15,203,エージェント,営業,395075,書類選考,0,
2024-03-12,204,合同説明会,事務,57936,最終面接,0,
2024-01-28,205,エージェント,エンジニア,473740,一次面接,0,
2024-03-21,206,合同説明会,エンジニア,56629,二次面接,0,
2024-01-05,207,合同説明会,営業,58992,内定,1,1.0
2024-01-27,208,SNS採用,事務,39670,内定,1,1.0
2024-01-05,209,合同説明会,事務,72871,書類選考,0,
2024-03-28,210,求人サイト,営業,101947,二次面接,0,
2024-01-19,211,リファラル,エンジニア,21419,二次面接,0,
2024-01-05,212,エージェント,デザイン,329792,書類選考,0,
2024-02-15,213,リファラル,デザイン,48906,書類選考,0,
2024-02-17,214,SNS採用,デザイン,32841,内定,1,1.0
2024-03-01,215,求人サイト,マーケ,152640,最終面接,0,
2024-02-23,216,エージェント,エンジニア,321178,二次面接,0,
2024-03-05,217,求人サイト,営業,136046,内定,1,1.0
2024-03-23,218,リファラル,マーケ,49150,内定,1,1.0
2024-03-20,219,エージェント,エンジニア,483967,書類選考,0,
2024-03-21,220,合同説明会,営業,106370,最終面接,0,
2024-02-11,221,エージェント,マーケ,409049,書類選考,0,
2024-02-14,222,リファラル,事務,34530,一次面接,0,
2024-03-16,223,求人サイト,エンジニア,111188,書類選考,0,
2024-02-04,224,リファラル,営業,46462,書類選考,0,
2024-03-18,225,合同説明会,事務,137819,書類選考,0,
2024-02-12,226,エージェント,エンジニア,375400,内定,1,1.0
2024-01-19,227,合同説明会,営業,70280,最終面接,0,
2024-01-12,228,合同説明会,事務,65058,二次面接,0,
2024-03-08,229,エージェント,デザイン,462981,内定,1,1.0
2024-03-01,230,合同説明会,事務,53794,一次面接,0,
2024-02-23,231,リファラル,事務,33004,書類選考,0,
2024-01-28,232,SNS採用,デザイン,73079,最終面接,1,1.0
2024-01-03,233,合同説明会,営業,99308,最終面接,0,
2024-01-12,234,リファラル,事務,47197,内定,1,1.0
2024-01-05,235,SNS採用,デザイン,33261,書類選考,0,
2024-02-15,236,エージェント,マーケ,459141,最終面接,0,
2024-01-25,237,合同説明会,エンジニア,95242,最終面接,1,1.0
2024-03-16,238,合同説明会,事務,55952,一次面接,0,
2024-02-20,239,求人サイト,エンジニア,126794,二次面接,0,
2024-01-25,240,SNS採用,事務,48969,二次面接,0,
2024-01-01,241,エージェント,マーケ,346057,一次面接,0,
2024-02-18,242,SNS採用,デザイン,66616,二次面接,0,
2024-01-13,243,求人サイト,マーケ,102456,最終面接,0,
2024-02-19,244,エージェント,デザイン,406017,最終面接,0,
2024-02-01,245,リファラル,営業,40152,二次面接,0,
2024-01-14,246,求人サイト,営業,157104,内定,1,1.0
2024-01-13,247,リファラル,事務,24520,二次面接,0,
2024-01-03,248,合同説明会,エンジニア,119547,内定,1,1.0
2024-02-12,249,SNS採用,営業,36737,一次面接,0,
2024-02-07,250,SNS採用,デザイン,40018,書類選考,0,
2024-01-25,251,エージェント,マーケ,497773,内定,1,1.0
2024-02-22,252,合同説明会,デザイン,92363,二次面接,0,
2024-01-15,253,求人サイト,マーケ,157961,二次面接,0,
2024-02-19,254,求人サイト,事務,166497,書類選考,0,
2024-02-15,255,エージェント,エンジニア,314913,二次面接,0,
2024-02-03,256,求人サイト,デザイン,177867,内定,1,1.0
2024-03-18,257,求人サイト,マーケ,174928,一次面接,0,
2024-02-20,258,エージェント,デザイン,339547,書類選考,0,
2024-02-04,259,リファラル,エンジニア,43066,一次面接,0,
2024-01-08,260,エージェント,マーケ,437381,内定,1,1.0
2024-02-12,261,リファラル,マーケ,36789,二次面接,0,
2024-03-20,262,求人サイト,事務,108639,二次面接,0,
2024-01-18,263,エージェント,事務,366059,内定,1,0.0
2024-02-03,264,合同説明会,営業,95851,二次面接,0,
2024-03-23,265,エージェント,営業,455986,書類選考,0,
2024-02-18,266,エージェント,事務,333500,内定,1,1.0
2024-03-14,267,合同説明会,事務,52389,二次面接,0,
2024-02-06,268,SNS採用,事務,61868,一次面接,0,
2024-01-05,269,SNS採用,エンジニア,49385,書類選考,0,
2024-03-25,270,合同説明会,デザイン,54947,二次面接,0,
2024-03-05,271,合同説明会,マーケ,70218,一次面接,0,
2024-01-27,272,合同説明会,営業,144526,最終面接,1,1.0
2024-03-08,273,エージェント,デザイン,374692,最終面接,0,
2024-01-10,274,エージェント,営業,396427,内定,1,0.0
2024-02-25,275,リファラル,マーケ,42958,内定,1,1.0
2024-01-27,276,SNS採用,デザイン,39070,二次面接,0,
2024-01-21,277,エージェント,事務,445369,書類選考,0,
2024-03-28,278,合同説明会,エンジニア,87363,書類選考,0,
2024-01-09,279,エージェント,デザイン,338626,最終面接,1,0.0
2024-02-12,280,求人サイト,マーケ,106980,最終面接,0,
