日付,管理番号,チャネル,職種区分,コスト,フェーズ,採否,承諾
2024/01/13,281,求人サイト,事務,129430,書類選考,0,
2024/02/04,282,リファラル,営業,19017,書類選考,0,
2024/02/27,283,エージェント,営業,498925,最終面接,0,
2024/01/03,284,求人サイト,事務,128266,一次面接,0,
2024/03/24,285,合同説明会,デザイン,105476,書類選考,0,
2024/02/08,286,リファラル,エンジニア,13129,一次面接,0,
2024/02/21,287,合同説明会,マーケ,58232,書類選考,0,
2024/02/20,288,合同説明会,エンジニア,132831,内定,1,1.0
2024/03/05,289,リファラル,マーケ,10102,内定,1,1.0
2024/03/14,290,SNS採用,エンジニア,64307,二次面接,0,
2024/01/17,291,合同説明会,デザイン,116535,内定,1,1.0
2024/02/02,292,エージェント,事務,366492,書類選考,0,
2024/02/26,293,求人サイト,事務,131604,書類選考,0,
2024/03/24,294,リファラル,営業,12905,二次面接,0,
2024/03/11,295,SNS採用,マーケ,75573,最終面接,0,
2024/01/03,296,エージェント,エンジニア,376924,一次面接,0,
2024/01/26,297,SNS採用,エンジニア,50682,二次面接,0,
2024/03/13,298,合同説明会,マーケ,83202,書類選考,0,
2024/03/07,299,リファラル,事務,13132,二次面接,0,
2024/02/04,300,リファラル,マーケ,36215,最終面接,0,
2024/02/11,301,SNS採用,マーケ,75355,最終面接,0,
2024/03/09,302,求人サイト,マーケ,110345,最終面接,0,
2024/01/18,303,リファラル,事務,16723,書類選考,0,
2024/02/22,304,リファラル,事務,39223,内定,1,1.0
2024/01/23,305,エージェント,事務,417212,書類選考,0,
2024/03/28,306,リファラル,デザイン,38504,二次面接,0,
2024/03/26,307,求人サイト,エンジニア,187973,最終面接,0,
2024/03/22,308,SNS採用,エンジニア,39357,内定,1,1.0
2024/02/02,309,SNS採用,エンジニア,45466,二次面接,0,
2024/02/13,310,合同説明会,エンジニア,129310,一次面接,0,
2024/03/15,311,リファラル,事務,39094,書類選考,0,
2024/03/05,312,合同説明会,事務,102171,二次面接,0,
2024/03/09,313,SNS採用,エンジニア,31698,一次面接,0,
2024/02/17,314,エージェント,デザイン,330870,二次面接,0,
2024/02/23,315,エージェント,営業,460399,二次面接,0,
2024/03/16,316,SNS採用,エンジニア,38895,書類選考,0,
2024/02/06,317,エージェント,エンジニア,478763,二次面接,0,
2024/03/12,318,求人サイト,デザイン,171063,二次面接,0,
2024/02/28,319,SNS採用,営業,53690,内定,1,1.0
2024/01/26,320,SNS採用,営業,62376,書類選考,0,
2024/02/18,321,合同説明会,事務,111263,内定,1,1.0
2024/01/03,322,リファラル,マーケ,41369,内定,1,1.0
2024/02/27,323,合同説明会,エンジニア,66426,二次面接,0,
2024/03/03,324,エージェント,マーケ,478286,内定,1,1.0
2024/03/21,325,合同説明会,営業,66912,最終面接,0,
2024/01/27,326,求人サイト,デザイン,120056,二次面接,0,
2024/01/06,327,リファラル,営業,32676,内定,1,0.0
2024/01/09,328,SNS採用,デザイン,47986,一次面接,0,
2024/03/10,329,合同説明会,デザイン,62245,内定,1,1.0
2024/03/19,330,SNS採用,営業,73170,内定,1,1.0
2024/03/11,331,合同説明会,エンジニア,53718,書類選考,0,
2024/01/21,332,合同説明会,事務,135344,一次面接,0,
2024/03/14,333,合同説明会,エンジニア,115278,内定,1,1.0
2024/02/16,334,SNS採用,マーケ,49492,最終面接,1,1.0
2024/02/14,335,エージェント,マーケ,353483,二次面接,0,
2024/03/05,336,リファラル,事務,32634,最終面接,1,1.0
2024/03/04,337,リファラル,営業,40570,書類選考,0,
2024/02/15,338,SNS採用,営業,36344,書類選考,0,
2024/02/13,339,合同説明会,マーケ,82541,一次面接,0,
2024/02/19,340,リファラル,営業,20442,最終面接,0,
2024/02/16,341,リファラル,マーケ,11518,書類選考,0,
2024/02/17,342,エージェント,営業,356398,内定,1,1.0
2024/01/10,343,エージェント,デザイン,471510,最終面接,0,
2024/01/28,344,求人サイト,マーケ,117555,二次面接,0,
2024/03/12,345,エージェント,事務,311860,最終面接,1,1.0
2024/02/18,346,リファラル,エンジニア,35319,内定,1,1.0
2024/03/09,347,合同説明会,デザイン,65572,一次面接,0,
2024/01/13,348,リファラル,事務,46558,二次面接,0,
2024/01/07,349,合同説明会,デザイン,102610,内定,1,1.0
2024/01/05,350,リファラル,マーケ,44034,最終面接,1,0.0
2024/01/11,351,合同説明会,事務,71299,最終面接,0,
2024/03/27,352,リファラル,デザイン,32044,内定,1,0.0
2024/03/16,353,合同説明会,事務,112245,書類選考,0,
2024/02/11,354,求人サイト,マーケ,176507,二次面接,0,
2024/03/28,355,求人サイト,デザイン,162205,二次面接,0,
2024/03/26,356,合同説明会,デザイン,79824,書類選考,0,
2024/03/16,357,SNS採用,デザイン,71223,内定,1,1.0
