apply_date,apply_no,channel,job_type,cost,phase,is_hired,is_accepted,cost_per_hire,channel_efficiency,offer_acceptance,source_file
2024-03-04,1,求人サイト,事務,132098,一次面接,0,,132098,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-24,2,求人サイト,デザイン,111395,内定,1,1.0,111395,標準,承諾,recruitment_cost_styleA_202401.csv
2024-01-03,3,SNS採用,営業,63118,内定,1,1.0,63118,高効率,承諾,recruitment_cost_styleA_202401.csv
2024-01-23,4,合同説明会,マーケ,78893,最終面接,0,,78893,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-25,5,SNS採用,マーケ,52298,二次面接,0,,52298,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-01-07,6,リファラル,エンジニア,16078,最終面接,1,0.0,16078,高効率,辞退,recruitment_cost_styleA_202401.csv
2024-03-09,7,求人サイト,マーケ,170284,書類選考,0,,170284,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-03,8,合同説明会,事務,132397,内定,1,0.0,132397,標準,辞退,recruitment_cost_styleA_202401.csv
2024-02-19,9,SNS採用,エンジニア,33003,一次面接,0,,33003,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-03,10,SNS採用,エンジニア,54911,二次面接,0,,54911,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-21,11,リファラル,営業,34260,二次面接,0,,34260,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-01-22,12,リファラル,エンジニア,49920,一次面接,0,,49920,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-03-24,13,SNS採用,営業,60294,最終面接,0,,60294,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-03-23,14,合同説明会,営業,139733,二次面接,0,,139733,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-08,15,求人サイト,事務,152581,二次面接,0,,152581,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-07,16,合同説明会,事務,77869,最終面接,0,,77869,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-15,17,SNS採用,事務,39150,一次面接,0,,39150,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-03-18,18,合同説明会,事務,147912,内定,1,1.0,147912,標準,承諾,recruitment_cost_styleA_202401.csv
2024-03-13,19,リファラル,営業,19065,内定,1,1.0,19065,高効率,承諾,recruitment_cost_styleA_202401.csv
2024-01-28,20,求人サイト,営業,182240,一次面接,0,,182240,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-14,21,合同説明会,エンジニア,100432,最終面接,0,,100432,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-17,22,リファラル,デザイン,10752,書類選考,0,,10752,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-03-18,23,リファラル,事務,17310,二次面接,0,,17310,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-06,24,エージェント,エンジニア,489292,二次面接,0,,489292,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-25,25,SNS採用,デザイン,36973,二次面接,0,,36973,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-03-17,26,合同説明会,営業,70032,二次面接,0,,70032,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-18,27,合同説明会,エンジニア,128504,二次面接,0,,128504,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-01,28,求人サイト,事務,140306,一次面接,0,,140306,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-08,29,合同説明会,エンジニア,61226,最終面接,0,,61226,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-25,30,SNS採用,営業,73237,最終面接,0,,73237,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-01-09,31,合同説明会,デザイン,105461,一次面接,0,,105461,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-25,32,SNS採用,事務,56148,二次面接,0,,56148,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-17,33,エージェント,エンジニア,364986,一次面接,0,,364986,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-11,34,求人サイト,デザイン,172603,一次面接,0,,172603,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-08,35,求人サイト,エンジニア,192778,書類選考,0,,192778,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-03,36,求人サイト,事務,109287,内定,1,1.0,109287,標準,承諾,recruitment_cost_styleA_202401.csv
2024-03-16,37,SNS採用,デザイン,38671,内定,1,1.0,38671,高効率,承諾,recruitment_cost_styleA_202401.csv
2024-01-26,38,エージェント,マーケ,349914,書類選考,0,,349914,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-22,39,エージェント,事務,411038,最終面接,0,,411038,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-02,40,求人サイト,エンジニア,152772,二次面接,0,,152772,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-08,41,SNS採用,営業,65146,最終面接,1,1.0,65146,高効率,承諾,recruitment_cost_styleA_202401.csv
2024-02-08,42,求人サイト,マーケ,172132,書類選考,0,,172132,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-21,43,合同説明会,エンジニア,62224,一次面接,0,,62224,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-14,44,エージェント,マーケ,356032,最終面接,0,,356032,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-13,45,求人サイト,マーケ,134760,最終面接,0,,134760,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-24,46,合同説明会,マーケ,70289,一次面接,0,,70289,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-07,47,求人サイト,デザイン,196434,内定,1,1.0,196434,標準,承諾,recruitment_cost_styleA_202401.csv
2024-02-02,48,求人サイト,デザイン,162493,内定,1,0.0,162493,標準,辞退,recruitment_cost_styleA_202401.csv
2024-03-06,49,求人サイト,デザイン,110500,一次面接,0,,110500,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-20,50,求人サイト,営業,152923,書類選考,0,,152923,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-08,51,合同説明会,デザイン,55209,内定,1,1.0,55209,標準,承諾,recruitment_cost_styleA_202401.csv
2024-03-19,52,合同説明会,デザイン,91467,二次面接,0,,91467,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-22,53,リファラル,営業,27407,最終面接,1,1.0,27407,高効率,承諾,recruitment_cost_styleA_202401.csv
2024-02-11,54,求人サイト,エンジニア,160068,内定,1,0.0,160068,標準,辞退,recruitment_cost_styleA_202401.csv
2024-01-03,55,合同説明会,営業,116307,二次面接,0,,116307,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-12,56,求人サイト,営業,148434,二次面接,0,,148434,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-15,57,合同説明会,事務,130173,内定,1,1.0,130173,標準,承諾,recruitment_cost_styleA_202401.csv
2024-03-10,58,求人サイト,営業,134664,書類選考,0,,134664,標準,該当なし,recruitment_cost_styleA_202401.csv
