受講生ID,氏名,科目名,出席率(%),中間テスト点数,期末テスト点数,課題提出率(%),参加スコア(1-5),入学月,コース
SID-001,受講生001,数学,95.5,80.4,94.3,92.4,3,12,基礎コース
SID-001,受講生001,英語,99.5,91.6,91.4,78.2,3,12,基礎コース
SID-001,受講生001,物理,89.0,78.0,97.1,91.1,4,12,基礎コース
SID-001,受講生001,国語,88.9,73.0,82.2,76.6,5,12,基礎コース
SID-001,受講生001,情報,96.6,87.1,90.3,83.9,3,12,基礎コース
SID-002,受講生002,数学,66.8,47.2,25.8,46.3,2,7,上級コース
SID-002,受講生002,英語,41.3,25.4,40.5,56.1,1,7,上級コース
SID-002,受講生002,物理,49.8,33.0,34.1,36.6,2,7,上級コース
SID-002,受講生002,国語,43.9,36.6,26.8,53.4,2,7,上級コース
SID-002,受講生002,情報,65.0,44.5,29.4,59.1,1,7,上級コース
SID-003,受講生003,数学,81.1,59.7,52.2,77.1,3,8,上級コース
SID-003,受講生003,英語,69.0,50.2,64.7,76.6,2,8,上級コース
SID-003,受講生003,物理,79.1,69.5,56.5,74.2,2,8,上級コース
SID-003,受講生003,国語,67.3,66.7,56.8,74.1,2,8,上級コース
SID-003,受講生003,情報,80.3,65.9,58.8,74.0,3,8,上級コース
SID-004,受講生004,数学,40.9,35.3,26.4,44.3,1,9,応用コース
SID-004,受講生004,英語,65.6,28.2,21.7,39.8,2,9,応用コース
SID-004,受講生004,物理,59.9,39.5,43.5,53.3,1,9,応用コース
SID-004,受講生004,国語,52.2,48.5,25.0,30.8,1,9,応用コース
SID-004,受講生004,情報,61.7,36.2,24.8,47.5,1,9,応用コース
SID-005,受講生005,数学,68.0,67.4,56.2,69.5,2,12,応用コース
SID-005,受講生005,英語,77.6,59.0,47.2,63.0,2,12,応用コース
SID-005,受講生005,物理,84.2,72.7,62.5,66.6,3,12,応用コース
SID-005,受講生005,国語,80.6,67.9,56.2,66.8,3,12,応用コース
SID-005,受講生005,情報,66.9,72.6,56.4,65.1,3,12,応用コース
SID-006,受講生006,数学,76.6,54.4,66.4,79.0,2,5,応用コース
SID-006,受講生006,英語,79.4,60.8,60.7,74.6,2,5,応用コース
SID-006,受講生006,物理,66.7,60.4,46.0,72.3,3,5,応用コース
SID-006,受講生006,国語,71.6,53.6,47.6,74.7,3,5,応用コース
SID-006,受講生006,情報,83.5,64.5,53.7,74.8,2,5,応用コース
SID-007,受講生007,数学,80.5,98.5,79.3,94.6,3,7,基礎コース
SID-007,受講生007,英語,89.7,82.2,97.5,89.3,3,7,基礎コース
SID-007,受講生007,物理,89.5,74.3,73.3,88.0,5,7,基礎コース
SID-007,受講生007,国語,80.4,93.9,95.8,78.5,4,7,基礎コース
SID-007,受講生007,情報,91.1,68.8,86.9,82.0,3,7,基礎コース
SID-008,受講生008,数学,94.5,91.9,64.3,97.9,4,9,基礎コース
SID-008,受講生008,英語,84.6,66.3,82.2,84.3,3,9,基礎コース
SID-008,受講生008,物理,96.2,76.1,98.1,82.3,5,9,基礎コース
SID-008,受講生008,国語,90.3,74.0,97.4,79.1,4,9,基礎コース
SID-008,受講生008,情報,88.7,99.7,95.7,93.7,3,9,基礎コース
SID-009,受講生009,数学,97.8,96.3,80.8,82.9,3,12,基礎コース
SID-009,受講生009,英語,93.2,78.1,63.8,93.7,5,12,基礎コース
SID-009,受講生009,物理,85.2,97.8,69.6,78.1,3,12,基礎コース
SID-009,受講生009,国語,83.1,71.3,84.0,96.9,5,12,基礎コース
SID-009,受講生009,情報,83.9,75.9,91.1,99.3,4,12,基礎コース
SID-010,受講生010,数学,82.9,65.5,69.2,78.3,4,7,基礎コース
SID-010,受講生010,英語,93.6,69.3,80.3,92.4,5,7,基礎コース
SID-010,受講生010,物理,84.0,93.1,88.6,93.5,4,7,基礎コース
SID-010,受講生010,国語,82.6,69.3,97.1,84.9,5,7,基礎コース
SID-010,受講生010,情報,89.8,88.2,98.2,82.2,3,7,基礎コース
SID-011,受講生011,数学,83.5,50.6,58.9,75.8,3,5,基礎コース
SID-011,受講生011,英語,67.8,60.5,69.2,74.9,2,5,基礎コース
SID-011,受講生011,物理,83.7,70.1,56.7,79.6,3,5,基礎コース
SID-011,受講生011,国語,67.2,70.7,64.9,65.8,2,5,基礎コース
SID-011,受講生011,情報,75.6,65.2,66.7,75.1,2,5,基礎コース
SID-012,受講生012,数学,51.2,34.9,39.6,60.4,1,4,上級コース
SID-012,受講生012,英語,53.6,28.7,27.1,56.1,2,4,上級コース
SID-012,受講生012,物理,43.2,22.3,37.8,35.1,2,4,上級コース
SID-012,受講生012,国語,64.7,30.9,24.3,62.2,2,4,上級コース
SID-012,受講生012,情報,48.5,25.4,23.5,30.7,1,4,上級コース
SID-013,受講生013,数学,66.1,54.4,46.3,74.8,3,5,基礎コース
SID-013,受講生013,英語,72.9,57.9,57.6,81.9,3,5,基礎コース
SID-013,受講生013,物理,82.0,51.1,49.5,65.9,2,5,基礎コース
SID-013,受講生013,国語,76.4,60.4,46.2,69.3,2,5,基礎コース
SID-013,受講生013,情報,75.5,52.5,65.8,61.3,2,5,基礎コース
SID-014,受講生014,数学,82.0,94.5,96.1,99.5,5,9,基礎コース
SID-014,受講生014,英語,96.0,92.3,85.7,94.5,5,9,基礎コース
SID-014,受講生014,物理,90.7,83.0,94.3,86.6,3,9,基礎コース
SID-014,受講生014,国語,87.7,87.4,70.7,78.5,4,9,基礎コース
SID-014,受講生014,情報,88.3,73.1,74.7,84.2,4,9,基礎コース
SID-015,受講生015,数学,71.5,59.5,62.1,67.4,3,12,基礎コース
SID-015,受講生015,英語,83.3,62.0,53.2,73.4,3,12,基礎コース
SID-015,受講生015,物理,82.0,66.3,65.1,73.3,3,12,基礎コース
SID-015,受講生015,国語,70.8,68.4,50.1,77.4,3,12,基礎コース
SID-015,受講生015,情報,82.2,53.3,60.4,62.4,3,12,基礎コース
SID-016,受講生016,数学,66.7,73.4,48.4,84.0,3,8,基礎コース
SID-016,受講生016,英語,81.0,64.8,64.6,79.9,3,8,基礎コース
SID-016,受講生016,物理,70.1,64.8,47.4,75.4,3,8,基礎コース
SID-016,受講生016,国語,68.4,64.1,59.3,71.6,3,8,基礎コース
SID-016,受講生016,情報,80.3,70.0,57.3,75.0,3,8,基礎コース
SID-017,受講生017,数学,98.6,69.2,64.7,77.2,4,11,上級コース
SID-017,受講生017,英語,88.4,92.1,86.8,83.3,4,11,上級コース
SID-017,受講生017,物理,98.0,91.7,70.8,84.1,4,11,上級コース
SID-017,受講生017,国語,83.2,70.2,97.4,85.9,3,11,上級コース
SID-017,受講生017,情報,87.7,90.5,82.1,98.4,4,11,上級コース
SID-018,受講生018,数学,74.6,59.4,69.7,77.9,3,12,基礎コース
SID-018,受講生018,英語,84.0,53.0,66.3,75.9,2,12,基礎コース
SID-018,受講生018,物理,76.8,67.2,45.3,71.4,2,12,基礎コース
SID-018,受講生018,国語,81.5,57.4,56.5,71.1,2,12,基礎コース
SID-018,受講生018,情報,83.4,69.5,47.8,84.9,2,12,基礎コース
SID-019,受講生019,数学,97.6,74.9,93.5,77.7,4,11,基礎コース
SID-019,受講生019,英語,93.3,87.8,63.6,97.4,5,11,基礎コース
SID-019,受講生019,物理,80.6,73.4,65.7,94.4,5,11,基礎コース
SID-019,受講生019,国語,98.2,88.0,61.4,75.1,3,11,基礎コース
SID-019,受講生019,情報,81.0,86.2,92.1,81.0,3,11,基礎コース
SID-020,受講生020,数学,81.1,93.0,97.1,94.3,5,11,基礎コース
SID-020,受講生020,英語,94.0,94.3,61.6,80.0,3,11,基礎コース
SID-020,受講生020,物理,90.1,91.1,85.2,96.3,3,11,基礎コース
SID-020,受講生020,国語,83.1,90.7,67.7,81.8,3,11,基礎コース
SID-020,受講生020,情報,99.6,86.4,62.2,90.4,5,11,基礎コース
SID-021,受講生021,数学,65.8,72.1,62.7,64.3,2,7,応用コース
SID-021,受講生021,英語,68.7,74.5,56.5,79.6,2,7,応用コース
SID-021,受講生021,物理,77.7,64.3,48.6,83.7,3,7,応用コース
SID-021,受講生021,国語,76.6,67.5,61.2,83.5,2,7,応用コース
SID-021,受講生021,情報,68.0,62.7,55.1,71.9,2,7,応用コース
SID-022,受講生022,数学,82.7,74.7,72.2,85.7,3,5,基礎コース
SID-022,受講生022,英語,92.2,87.2,76.5,85.2,5,5,基礎コース
SID-022,受講生022,物理,91.8,76.1,61.4,85.5,3,5,基礎コース
SID-022,受講生022,国語,89.5,72.9,82.9,89.1,4,5,基礎コース
SID-022,受講生022,情報,93.0,87.8,72.6,94.7,5,5,基礎コース
SID-023,受講生023,数学,91.0,80.1,85.0,84.0,5,10,上級コース
SID-023,受講生023,英語,94.7,96.0,96.8,87.6,4,10,上級コース
SID-023,受講生023,物理,90.4,93.0,72.6,95.9,4,10,上級コース
SID-023,受講生023,国語,82.3,67.5,93.7,76.4,4,10,上級コース
SID-023,受講生023,情報,85.6,76.7,66.9,82.8,3,10,上級コース
SID-024,受講生024,数学,65.3,70.7,66.4,69.3,3,10,応用コース
SID-024,受講生024,英語,68.1,65.0,48.0,69.1,3,10,応用コース
SID-024,受講生024,物理,84.9,69.3,52.8,77.2,3,10,応用コース
SID-024,受講生024,国語,79.1,59.7,61.0,60.3,3,10,応用コース
SID-024,受講生024,情報,75.5,54.1,49.1,80.9,2,10,応用コース
SID-025,受講生025,数学,69.7,39.5,45.2,64.7,2,11,応用コース
SID-025,受講生025,英語,53.4,33.7,22.4,56.4,1,11,応用コース
SID-025,受講生025,物理,53.0,36.4,24.5,36.3,1,11,応用コース
SID-025,受講生025,国語,41.3,28.1,28.8,47.2,2,11,応用コース
SID-025,受講生025,情報,57.6,37.3,22.5,38.5,2,11,応用コース
SID-026,受講生026,数学,77.8,66.2,61.8,79.1,3,4,上級コース
SID-026,受講生026,英語,66.2,59.2,58.5,68.5,3,4,上級コース
SID-026,受講生026,物理,74.7,69.2,66.3,72.6,3,4,上級コース
SID-026,受講生026,国語,83.2,64.7,66.3,68.5,3,4,上級コース
SID-026,受講生026,情報,75.6,52.6,55.0,82.9,2,4,上級コース
SID-027,受講生027,数学,92.6,71.2,73.6,79.8,3,5,上級コース
SID-027,受講生027,英語,98.5,80.7,72.3,90.0,3,5,上級コース
SID-027,受講生027,物理,80.1,74.7,88.1,90.8,5,5,上級コース
SID-027,受講生027,国語,92.4,81.7,90.5,97.6,5,5,上級コース
SID-027,受講生027,情報,94.4,98.7,91.3,96.7,3,5,上級コース
SID-028,受講生028,数学,79.6,61.0,58.8,76.4,2,10,基礎コース
SID-028,受講生028,英語,84.4,74.6,52.2,78.3,3,10,基礎コース
SID-028,受講生028,物理,71.9,53.1,46.0,79.4,3,10,基礎コース
SID-028,受講生028,国語,74.8,74.6,56.6,84.4,2,10,基礎コース
SID-028,受講生028,情報,80.9,52.1,58.9,80.1,2,10,基礎コース
SID-029,受講生029,数学,98.5,93.8,61.5,84.3,5,9,上級コース
SID-029,受講生029,英語,82.2,88.6,88.5,94.3,3,9,上級コース
SID-029,受講生029,物理,97.3,90.9,92.0,76.2,5,9,上級コース
