student_id,student_name,course,avg_score,min_score,avg_attendance,avg_midterm,avg_final
SID-090,受講生090,応用コース,37.7,33.9,47.9,25.3,37.1
SID-197,受講生197,上級コース,39.1,38.1,54.9,29.1,28.6
SID-012,受講生012,上級コース,39.6,32.6,52.2,28.4,30.5
SID-178,受講生178,上級コース,40.6,32.7,47.4,40.9,31.3
SID-004,受講生004,応用コース,41.4,35.1,56.1,37.5,28.3
SID-040,受講生040,基礎コース,41.6,36.2,57.4,31.6,29.5
SID-104,受講生104,上級コース,41.8,39.2,54.0,39.4,29.0
SID-025,受講生025,応用コース,41.8,35.6,55.0,35.0,28.7
SID-080,受講生080,応用コース,42.0,38.7,53.0,33.9,30.4
SID-002,受講生002,上級コース,42.5,37.3,53.4,37.3,31.3
SID-098,受講生098,基礎コース,42.5,37.7,54.7,35.8,32.9
SID-058,受講生058,上級コース,43.1,37.6,53.0,38.3,37.0
SID-135,受講生135,基礎コース,43.2,38.1,52.1,45.2,29.6
SID-041,受講生041,応用コース,43.4,37.5,56.2,41.2,27.2
SID-072,受講生072,応用コース,43.5,38.7,55.2,40.0,37.7
SID-064,受講生064,上級コース,43.7,36.3,53.6,38.8,35.6
SID-162,受講生162,応用コース,43.8,36.3,57.8,39.3,33.9
SID-111,受講生111,上級コース,43.8,33.6,57.4,38.2,32.0
SID-070,受講生070,応用コース,44.5,33.9,54.4,36.5,42.4
SID-030,受講生030,基礎コース,44.6,37.3,52.6,44.7,32.5
