受講日,受講番号,講座名,受講者タイプ,受講時間,テストスコア,ステータス,満足度
2024/01/03,ENR-A-0001,Pythonプログラミング,中堅社員,22.0,91,修了,3
2024/01/27,ENR-A-0002,Excel基礎,中堅社員,30.3,68,修了,1
2024/01/17,ENR-A-0003,リーダーシップ,新入社員,19.5,79,受講中,4
2024/01/25,ENR-A-0004,Pythonプログラミング,新入社員,12.1,94,修了,3
2024/01/16,ENR-A-0005,リーダーシップ,新入社員,37.7,75,修了,4
2024/01/20,ENR-A-0006,リーダーシップ,中堅社員,34.3,82,修了,3
2024/01/14,ENR-A-0007,ビジネス英語,管理職,25.7,69,修了,5
2024/01/02,ENR-A-0008,Excel基礎,中堅社員,34.5,71,修了,4
2024/01/06,ENR-A-0009,Excel基礎,新入社員,19.3,91,修了,1
2024/01/31,ENR-A-0010,Pythonプログラミング,新入社員,22.5,54,受講中,4
2024/01/24,ENR-A-0011,ビジネス英語,中堅社員,22.9,67,修了,3
2024/01/02,ENR-A-0012,プレゼン技術,中堅社員,5.5,60,受講中,4
2024/01/29,ENR-A-0013,プレゼン技術,新入社員,9.7,37,中途離脱,3
2024/01/11,ENR-A-0014,リーダーシップ,管理職,19.9,63,修了,3
2024/01/25,ENR-A-0015,Excel基礎,中堅社員,12.2,67,修了,4
2024/01/15,ENR-A-0016,Excel基礎,中堅社員,15.3,83,修了,4
2024/01/30,ENR-A-0017,Excel基礎,管理職,8.4,22,中途離脱,4
2024/01/22,ENR-A-0018,プレゼン技術,中堅社員,18.0,91,修了,5
2024/01/14,ENR-A-0019,ビジネス英語,新入社員,20.4,92,修了,5
2024/01/09,ENR-A-0020,Pythonプログラミング,中堅社員,17.7,51,受講中,1
2024/01/26,ENR-A-0021,Excel基礎,新入社員,8.2,68,修了,4
2024/01/25,ENR-A-0022,リーダーシップ,新入社員,29.3,79,修了,4
2024/01/09,ENR-A-0023,Pythonプログラミング,新入社員,22.7,92,修了,3
2024/01/18,ENR-A-0024,ビジネス英語,中堅社員,12.5,70,修了,1
2024/01/14,ENR-A-0025,リーダーシップ,管理職,23.1,87,修了,5
2024/01/18,ENR-A-0026,プレゼン技術,新入社員,32.5,83,修了,4
2024/01/18,ENR-A-0027,プレゼン技術,新入社員,5.8,28,中途離脱,4
2024/01/10,ENR-A-0028,リーダーシップ,中堅社員,9.0,74,修了,3
2024/01/31,ENR-A-0029,プレゼン技術,管理職,11.4,17,受講中,5
2024/01/27,ENR-A-0030,Excel基礎,管理職,15.5,93,修了,1
2024/01/27,ENR-A-0031,プレゼン技術,新入社員,17.4,71,修了,3
2024/01/21,ENR-A-0032,Pythonプログラミング,新入社員,25.8,80,修了,4
2024/01/31,ENR-A-0033,プレゼン技術,中堅社員,21.0,87,修了,3
2024/01/26,ENR-A-0034,リーダーシップ,管理職,13.3,73,修了,1
2024/01/04,ENR-A-0035,リーダーシップ,管理職,31.1,63,修了,4
2024/01/15,ENR-A-0036,Pythonプログラミング,中堅社員,13.2,96,修了,3
2024/01/30,ENR-A-0037,ビジネス英語,中堅社員,30.3,66,修了,3
2024/01/14,ENR-A-0038,ビジネス英語,中堅社員,20.2,69,修了,2
2024/01/22,ENR-A-0039,ビジネス英語,管理職,19.6,85,修了,5
2024/01/03,ENR-A-0040,リーダーシップ,管理職,4.7,27,受講中,5
2024/01/12,ENR-A-0041,ビジネス英語,管理職,18.1,73,受講中,3
2024/01/09,ENR-A-0042,Excel基礎,新入社員,39.0,70,修了,4
2024/01/09,ENR-A-0043,リーダーシップ,管理職,12.3,58,受講中,4
2024/01/09,ENR-A-0044,Pythonプログラミング,中堅社員,1.4,22,中途離脱,5
2024/01/04,ENR-A-0045,Pythonプログラミング,管理職,14.5,78,修了,4
2024/01/10,ENR-A-0046,ビジネス英語,新入社員,15.3,44,受講中,1
2024/01/15,ENR-A-0047,リーダーシップ,管理職,32.3,95,修了,3
2024/01/23,ENR-A-0048,プレゼン技術,管理職,21.8,72,修了,4
2024/01/05,ENR-A-0049,リーダーシップ,中堅社員,6.7,29,中途離脱,4
2024/01/03,ENR-A-0050,プレゼン技術,管理職,21.3,92,修了,1
2024/01/06,ENR-A-0051,リーダーシップ,管理職,18.6,80,修了,4
2024/01/05,ENR-A-0052,Excel基礎,管理職,11.3,67,修了,3
2024/01/25,ENR-A-0053,Excel基礎,中堅社員,23.3,13,受講中,5
2024/01/19,ENR-A-0054,ビジネス英語,中堅社員,19.1,85,修了,3
2024/01/10,ENR-A-0055,Pythonプログラミング,新入社員,38.7,60,修了,3
2024/01/15,ENR-A-0056,Pythonプログラミング,中堅社員,33.0,62,修了,1
2024/01/09,ENR-A-0057,Excel基礎,新入社員,23.7,79,修了,3
2024/01/30,ENR-A-0058,Pythonプログラミング,新入社員,15.1,43,受講中,3
2024/01/26,ENR-A-0059,ビジネス英語,新入社員,3.6,13,中途離脱,3
2024/01/17,ENR-A-0060,プレゼン技術,新入社員,22.0,71,修了,1
2024/01/12,ENR-A-0061,リーダーシップ,中堅社員,36.7,93,修了,3
2024/01/05,ENR-A-0062,プレゼン技術,管理職,25.7,72,修了,1
2024/01/21,ENR-A-0063,Pythonプログラミング,中堅社員,17.0,87,修了,2
2024/01/21,ENR-A-0064,プレゼン技術,中堅社員,31.3,98,修了,4
2024/01/10,ENR-A-0065,Pythonプログラミング,新入社員,23.1,8,受講中,5
2024/01/08,ENR-A-0066,Pythonプログラミング,新入社員,2.9,11,受講中,3
2024/01/17,ENR-A-0067,プレゼン技術,新入社員,34.6,75,修了,3
2024/01/26,ENR-A-0068,プレゼン技術,新入社員,18.1,68,修了,5
2024/01/20,ENR-A-0069,プレゼン技術,管理職,5.4,14,中途離脱,5
2024/01/08,ENR-A-0070,Pythonプログラミング,新入社員,23.5,14,受講中,1
2024/01/17,ENR-A-0071,Pythonプログラミング,管理職,4.6,2,中途離脱,5
2024/01/31,ENR-A-0072,Excel基礎,新入社員,9.0,4,中途離脱,4
2024/01/27,ENR-A-0073,Excel基礎,管理職,36.6,96,修了,1
2024/01/17,ENR-A-0074,Excel基礎,新入社員,3.5,1,中途離脱,4
2024/01/11,ENR-A-0075,ビジネス英語,管理職,4.0,33,中途離脱,5
