EnrollDate,EnrollNo,CourseName,LearnerType,StudyHours,TestScore,Status,Satisfaction
2024-01-17,ENR-B-0001,リーダーシップ,中堅社員,13.5,85,修了,1
2024-01-18,ENR-B-0002,プレゼン技術,中堅社員,26.3,79,修了,3
2024-01-22,ENR-B-0003,プレゼン技術,中堅社員,32.4,81,修了,5
2024-01-25,ENR-B-0004,Excel基礎,中堅社員,5.2,12,中途離脱,3
2024-01-05,ENR-B-0005,リーダーシップ,新入社員,11.8,98,修了,4
2024-01-04,ENR-B-0006,Excel基礎,中堅社員,4.0,39,受講中,4
2024-01-23,ENR-B-0007,Excel基礎,新入社員,32.8,77,修了,2
2024-01-21,ENR-B-0008,プレゼン技術,中堅社員,18.7,90,修了,5
2024-01-26,ENR-B-0009,プレゼン技術,中堅社員,8.2,61,受講中,4
2024-01-12,ENR-B-0010,Excel基礎,中堅社員,18.1,72,修了,1
2024-01-30,ENR-B-0011,プレゼン技術,新入社員,38.0,66,修了,3
2024-01-14,ENR-B-0012,Pythonプログラミング,管理職,10.8,10,受講中,4
2024-01-06,ENR-B-0013,Pythonプログラミング,中堅社員,23.5,44,受講中,2
2024-01-25,ENR-B-0014,リーダーシップ,中堅社員,23.3,65,修了,2
2024-01-21,ENR-B-0015,Pythonプログラミング,中堅社員,31.0,100,修了,5
2024-01-30,ENR-B-0016,リーダーシップ,管理職,4.7,21,受講中,5
2024-01-28,ENR-B-0017,プレゼン技術,中堅社員,11.9,86,修了,3
2024-01-19,ENR-B-0018,リーダーシップ,中堅社員,17.8,44,受講中,1
2024-01-03,ENR-B-0019,プレゼン技術,管理職,8.3,23,中途離脱,3
2024-01-10,ENR-B-0020,プレゼン技術,中堅社員,12.5,25,受講中,3
2024-01-01,ENR-B-0021,ビジネス英語,中堅社員,23.1,24,受講中,4
2024-01-25,ENR-B-0022,Excel基礎,新入社員,11.5,76,修了,5
2024-01-02,ENR-B-0023,ビジネス英語,新入社員,17.1,96,修了,4
2024-01-26,ENR-B-0024,リーダーシップ,新入社員,11.4,87,修了,5
2024-01-01,ENR-B-0025,プレゼン技術,中堅社員,28.8,87,修了,4
2024-01-03,ENR-B-0026,Pythonプログラミング,中堅社員,22.6,69,受講中,1
2024-01-08,ENR-B-0027,プレゼン技術,中堅社員,12.6,69,修了,5
2024-01-25,ENR-B-0028,プレゼン技術,新入社員,14.3,60,修了,5
2024-01-09,ENR-B-0029,Pythonプログラミング,管理職,2.8,53,受講中,1
2024-01-01,ENR-B-0030,プレゼン技術,中堅社員,3.2,66,受講中,4
2024-01-31,ENR-B-0031,ビジネス英語,中堅社員,2.8,40,中途離脱,2
2024-01-27,ENR-B-0032,プレゼン技術,中堅社員,3.3,54,受講中,5
2024-01-31,ENR-B-0033,リーダーシップ,管理職,19.8,75,受講中,5
2024-01-22,ENR-B-0034,ビジネス英語,中堅社員,34.8,78,修了,1
2024-01-15,ENR-B-0035,ビジネス英語,中堅社員,12.0,68,修了,4
2024-01-16,ENR-B-0036,Excel基礎,管理職,19.1,44,受講中,4
2024-01-03,ENR-B-0037,リーダーシップ,中堅社員,2.0,43,中途離脱,5
2024-01-23,ENR-B-0038,リーダーシップ,中堅社員,2.3,0,中途離脱,2
2024-01-04,ENR-B-0039,プレゼン技術,新入社員,39.4,89,修了,4
2024-01-19,ENR-B-0040,Pythonプログラミング,新入社員,9.7,62,修了,4
2024-01-01,ENR-B-0041,プレゼン技術,新入社員,36.3,61,修了,3
2024-01-22,ENR-B-0042,プレゼン技術,新入社員,6.0,30,受講中,1
2024-01-24,ENR-B-0043,プレゼン技術,新入社員,9.8,9,中途離脱,3
2024-01-15,ENR-B-0044,Pythonプログラミング,中堅社員,33.1,70,修了,4
2024-01-28,ENR-B-0045,ビジネス英語,新入社員,12.6,83,修了,2
2024-01-30,ENR-B-0046,Pythonプログラミング,中堅社員,17.6,77,修了,3
2024-01-17,ENR-B-0047,Excel基礎,管理職,6.7,35,中途離脱,3
2024-01-30,ENR-B-0048,Excel基礎,新入社員,12.8,78,修了,3
2024-01-22,ENR-B-0049,リーダーシップ,管理職,12.9,32,受講中,1
2024-01-04,ENR-B-0050,ビジネス英語,中堅社員,12.3,98,修了,2
2024-01-03,ENR-B-0051,リーダーシップ,管理職,21.7,72,修了,4
2024-01-19,ENR-B-0052,Excel基礎,管理職,16.6,78,受講中,3
2024-01-05,ENR-B-0053,Pythonプログラミング,管理職,15.0,76,修了,5
2024-01-19,ENR-B-0054,プレゼン技術,新入社員,18.1,97,修了,1
2024-01-10,ENR-B-0055,Pythonプログラミング,中堅社員,12.9,33,受講中,1
2024-01-07,ENR-B-0056,Excel基礎,新入社員,15.2,28,受講中,3
2024-01-19,ENR-B-0057,リーダーシップ,管理職,16.9,56,受講中,3
2024-01-21,ENR-B-0058,リーダーシップ,中堅社員,9.3,19,受講中,4
2024-01-11,ENR-B-0059,プレゼン技術,中堅社員,21.8,82,修了,3
2024-01-20,ENR-B-0060,ビジネス英語,新入社員,19.5,99,修了,3
2024-01-26,ENR-B-0061,プレゼン技術,新入社員,36.4,90,修了,1
2024-01-29,ENR-B-0062,プレゼン技術,中堅社員,5.3,37,中途離脱,3
2024-01-09,ENR-B-0063,リーダーシップ,管理職,18.1,92,修了,3
2024-01-26,ENR-B-0064,リーダーシップ,中堅社員,23.8,61,修了,1
2024-01-02,ENR-B-0065,リーダーシップ,新入社員,34.9,62,修了,5
2024-01-02,ENR-B-0066,Pythonプログラミング,新入社員,8.5,45,受講中,2
2024-01-16,ENR-B-0067,プレゼン技術,中堅社員,18.0,67,修了,1
2024-01-24,ENR-B-0068,ビジネス英語,新入社員,2.3,35,受講中,5
2024-01-22,ENR-B-0069,Excel基礎,中堅社員,10.6,69,受講中,4
