日付,管理番号,講座,受講区分,学習時間,スコア,状況,評価
2024/01/27,ENR-C-0001,リーダーシップ,新入社員,18.3,69,修了,1
2024/01/05,ENR-C-0002,リーダーシップ,中堅社員,36.0,60,修了,2
2024/01/02,ENR-C-0003,Pythonプログラミング,新入社員,20.2,45,受講中,3
2024/01/25,ENR-C-0004,プレゼン技術,新入社員,12.1,69,受講中,3
2024/01/30,ENR-C-0005,ビジネス英語,管理職,17.5,80,受講中,2
2024/01/26,ENR-C-0006,ビジネス英語,管理職,36.9,70,修了,4
2024/01/15,ENR-C-0007,プレゼン技術,管理職,26.0,67,修了,2
2024/01/04,ENR-C-0008,プレゼン技術,新入社員,28.9,73,修了,5
2024/01/25,ENR-C-0009,リーダーシップ,新入社員,21.9,81,修了,1
2024/01/02,ENR-C-0010,Excel基礎,管理職,9.6,37,中途離脱,1
2024/01/10,ENR-C-0011,プレゼン技術,新入社員,15.9,61,修了,3
2024/01/03,ENR-C-0012,Pythonプログラミング,新入社員,12.5,21,受講中,3
2024/01/25,ENR-C-0013,プレゼン技術,新入社員,9.6,72,修了,5
2024/01/04,ENR-C-0014,Excel基礎,中堅社員,10.8,62,受講中,1
2024/01/28,ENR-C-0015,リーダーシップ,管理職,14.6,88,修了,5
2024/01/10,ENR-C-0016,Pythonプログラミング,管理職,20.6,69,修了,3
2024/01/05,ENR-C-0017,リーダーシップ,管理職,11.6,60,修了,3
2024/01/27,ENR-C-0018,Excel基礎,中堅社員,8.0,64,修了,3
2024/01/09,ENR-C-0019,Excel基礎,新入社員,9.7,39,受講中,3
2024/01/14,ENR-C-0020,ビジネス英語,新入社員,20.0,37,受講中,5
2024/01/17,ENR-C-0021,Pythonプログラミング,管理職,9.4,21,受講中,3
2024/01/08,ENR-C-0022,リーダーシップ,新入社員,13.0,69,受講中,4
2024/01/11,ENR-C-0023,プレゼン技術,管理職,18.6,69,修了,2
2024/01/29,ENR-C-0024,Pythonプログラミング,新入社員,9.6,80,修了,3
2024/01/27,ENR-C-0025,ビジネス英語,管理職,5.5,57,受講中,4
2024/01/02,ENR-C-0026,プレゼン技術,管理職,5.2,1,受講中,5
2024/01/03,ENR-C-0027,Pythonプログラミング,中堅社員,6.3,0,受講中,5
2024/01/01,ENR-C-0028,Pythonプログラミング,新入社員,4.5,57,受講中,4
2024/01/15,ENR-C-0029,ビジネス英語,新入社員,15.1,19,受講中,2
2024/01/19,ENR-C-0030,Excel基礎,中堅社員,35.2,80,修了,1
2024/01/09,ENR-C-0031,Excel基礎,新入社員,27.8,94,修了,3
2024/01/06,ENR-C-0032,プレゼン技術,中堅社員,32.7,100,修了,5
2024/01/10,ENR-C-0033,リーダーシップ,新入社員,37.4,70,修了,3
2024/01/15,ENR-C-0034,ビジネス英語,中堅社員,27.3,97,修了,5
2024/01/03,ENR-C-0035,プレゼン技術,管理職,20.7,29,受講中,1
2024/01/10,ENR-C-0036,Excel基礎,新入社員,20.4,9,受講中,4
2024/01/10,ENR-C-0037,リーダーシップ,新入社員,4.4,11,中途離脱,4
2024/01/10,ENR-C-0038,ビジネス英語,中堅社員,1.2,43,中途離脱,1
2024/01/23,ENR-C-0039,プレゼン技術,管理職,8.6,74,修了,4
2024/01/06,ENR-C-0040,プレゼン技術,中堅社員,31.2,94,修了,4
2024/01/10,ENR-C-0041,ビジネス英語,新入社員,18.1,90,修了,1
2024/01/28,ENR-C-0042,プレゼン技術,新入社員,15.7,19,受講中,1
2024/01/25,ENR-C-0043,Pythonプログラミング,管理職,30.2,65,修了,1
2024/01/06,ENR-C-0044,ビジネス英語,中堅社員,13.7,9,受講中,5
2024/01/09,ENR-C-0045,ビジネス英語,新入社員,8.5,60,修了,3
2024/01/31,ENR-C-0046,ビジネス英語,中堅社員,26.7,75,修了,1
2024/01/18,ENR-C-0047,Excel基礎,中堅社員,22.2,72,受講中,3
2024/01/17,ENR-C-0048,Pythonプログラミング,新入社員,6.4,9,中途離脱,2
2024/01/23,ENR-C-0049,リーダーシップ,新入社員,27.0,62,修了,1
2024/01/10,ENR-C-0050,ビジネス英語,新入社員,29.2,100,修了,5
2024/01/06,ENR-C-0051,Excel基礎,新入社員,27.1,60,修了,1
2024/01/08,ENR-C-0052,ビジネス英語,中堅社員,36.0,94,修了,2
2024/01/20,ENR-C-0053,Excel基礎,新入社員,5.8,31,中途離脱,3
2024/01/13,ENR-C-0054,プレゼン技術,管理職,17.6,43,受講中,4
2024/01/24,ENR-C-0055,ビジネス英語,管理職,32.3,83,修了,4
2024/01/31,ENR-C-0056,Pythonプログラミング,新入社員,21.4,97,修了,3
2024/01/30,ENR-C-0057,プレゼン技術,管理職,8.1,0,中途離脱,2
2024/01/17,ENR-C-0058,ビジネス英語,新入社員,11.4,76,受講中,1
2024/01/24,ENR-C-0059,ビジネス英語,中堅社員,20.6,96,修了,1
2024/01/22,ENR-C-0060,ビジネス英語,中堅社員,12.8,74,修了,5
2024/01/09,ENR-C-0061,ビジネス英語,新入社員,6.6,14,受講中,5
2024/01/27,ENR-C-0062,Pythonプログラミング,中堅社員,37.2,69,修了,2
2024/01/11,ENR-C-0063,ビジネス英語,管理職,7.5,23,中途離脱,4
2024/01/28,ENR-C-0064,Pythonプログラミング,中堅社員,20.1,76,修了,3
2024/01/03,ENR-C-0065,ビジネス英語,中堅社員,31.4,90,修了,3
2024/01/25,ENR-C-0066,Pythonプログラミング,管理職,26.2,78,修了,1
2024/01/25,ENR-C-0067,プレゼン技術,新入社員,35.7,97,修了,5
2024/01/25,ENR-C-0068,リーダーシップ,新入社員,11.2,60,修了,2
2024/01/14,ENR-C-0069,リーダーシップ,中堅社員,8.7,90,修了,2
2024/01/31,ENR-C-0070,Excel基礎,管理職,10.7,65,受講中,4
2024/01/29,ENR-C-0071,プレゼン技術,中堅社員,11.1,71,受講中,4
2024/01/10,ENR-C-0072,ビジネス英語,新入社員,6.3,29,中途離脱,3
2024/01/12,ENR-C-0073,プレゼン技術,中堅社員,27.3,76,修了,3
2024/01/29,ENR-C-0074,ビジネス英語,新入社員,23.0,62,修了,1
2024/01/11,ENR-C-0075,リーダーシップ,管理職,11.1,30,受講中,4
