enroll_date,enroll_no,course_name,learner_type,study_hours,test_score,status,satisfaction,source_file,is_completed,score_grade,dropout_risk
2024-01-03,ENR-A-0001,Pythonプログラミング,中堅社員,22.0,91.0,修了,3.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-27,ENR-A-0002,Excel基礎,中堅社員,30.3,68.0,修了,1.0,01_enrollment_styleA.csv,1,合格,低
2024-01-17,ENR-A-0003,リーダーシップ,新入社員,19.5,79.0,受講中,4.0,01_enrollment_styleA.csv,0,合格,低
2024-01-25,ENR-A-0004,Pythonプログラミング,新入社員,12.1,94.0,修了,3.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-16,ENR-A-0005,リーダーシップ,新入社員,37.7,75.0,修了,4.0,01_enrollment_styleA.csv,1,合格,低
2024-01-20,ENR-A-0006,リーダーシップ,中堅社員,34.3,82.0,修了,3.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-14,ENR-A-0007,ビジネス英語,管理職,25.7,69.0,修了,5.0,01_enrollment_styleA.csv,1,合格,低
2024-01-02,ENR-A-0008,Excel基礎,中堅社員,34.5,71.0,修了,4.0,01_enrollment_styleA.csv,1,合格,低
2024-01-06,ENR-A-0009,Excel基礎,新入社員,19.3,91.0,修了,1.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-31,ENR-A-0010,Pythonプログラミング,新入社員,22.5,54.0,受講中,4.0,01_enrollment_styleA.csv,0,不合格,低
2024-01-24,ENR-A-0011,ビジネス英語,中堅社員,22.9,67.0,修了,3.0,01_enrollment_styleA.csv,1,合格,低
2024-01-02,ENR-A-0012,プレゼン技術,中堅社員,5.5,60.0,受講中,4.0,01_enrollment_styleA.csv,0,合格,高
2024-01-29,ENR-A-0013,プレゼン技術,新入社員,9.7,37.0,中途離脱,3.0,01_enrollment_styleA.csv,0,不合格,低
2024-01-11,ENR-A-0014,リーダーシップ,管理職,19.9,63.0,修了,3.0,01_enrollment_styleA.csv,1,合格,低
2024-01-25,ENR-A-0015,Excel基礎,中堅社員,12.2,67.0,修了,4.0,01_enrollment_styleA.csv,1,合格,低
2024-01-15,ENR-A-0016,Excel基礎,中堅社員,15.3,83.0,修了,4.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-30,ENR-A-0017,Excel基礎,管理職,8.4,22.0,中途離脱,4.0,01_enrollment_styleA.csv,0,不合格,低
2024-01-22,ENR-A-0018,プレゼン技術,中堅社員,18.0,91.0,修了,5.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-14,ENR-A-0019,ビジネス英語,新入社員,20.4,92.0,修了,5.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-09,ENR-A-0020,Pythonプログラミング,中堅社員,17.7,51.0,受講中,1.0,01_enrollment_styleA.csv,0,不合格,高
2024-01-26,ENR-A-0021,Excel基礎,新入社員,8.2,68.0,修了,4.0,01_enrollment_styleA.csv,1,合格,低
2024-01-25,ENR-A-0022,リーダーシップ,新入社員,29.3,79.0,修了,4.0,01_enrollment_styleA.csv,1,合格,低
2024-01-09,ENR-A-0023,Pythonプログラミング,新入社員,22.7,92.0,修了,3.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-18,ENR-A-0024,ビジネス英語,中堅社員,12.5,70.0,修了,1.0,01_enrollment_styleA.csv,1,合格,低
2024-01-14,ENR-A-0025,リーダーシップ,管理職,23.1,87.0,修了,5.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-18,ENR-A-0026,プレゼン技術,新入社員,32.5,83.0,修了,4.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-18,ENR-A-0027,プレゼン技術,新入社員,5.8,28.0,中途離脱,4.0,01_enrollment_styleA.csv,0,不合格,低
2024-01-10,ENR-A-0028,リーダーシップ,中堅社員,9.0,74.0,修了,3.0,01_enrollment_styleA.csv,1,合格,低
2024-01-31,ENR-A-0029,プレゼン技術,管理職,11.4,17.0,受講中,5.0,01_enrollment_styleA.csv,0,不合格,高
2024-01-27,ENR-A-0030,Excel基礎,管理職,15.5,93.0,修了,1.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-27,ENR-A-0031,プレゼン技術,新入社員,17.4,71.0,修了,3.0,01_enrollment_styleA.csv,1,合格,低
2024-01-21,ENR-A-0032,Pythonプログラミング,新入社員,25.8,80.0,修了,4.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-31,ENR-A-0033,プレゼン技術,中堅社員,21.0,87.0,修了,3.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-26,ENR-A-0034,リーダーシップ,管理職,13.3,73.0,修了,1.0,01_enrollment_styleA.csv,1,合格,低
2024-01-04,ENR-A-0035,リーダーシップ,管理職,31.1,63.0,修了,4.0,01_enrollment_styleA.csv,1,合格,低
2024-01-15,ENR-A-0036,Pythonプログラミング,中堅社員,13.2,96.0,修了,3.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-30,ENR-A-0037,ビジネス英語,中堅社員,30.3,66.0,修了,3.0,01_enrollment_styleA.csv,1,合格,低
2024-01-14,ENR-A-0038,ビジネス英語,中堅社員,20.2,69.0,修了,2.0,01_enrollment_styleA.csv,1,合格,低
2024-01-22,ENR-A-0039,ビジネス英語,管理職,19.6,85.0,修了,5.0,01_enrollment_styleA.csv,1,優秀,低
2024-01-03,ENR-A-0040,リーダーシップ,管理職,4.7,27.0,受講中,5.0,01_enrollment_styleA.csv,0,不合格,高
2024-01-12,ENR-A-0041,ビジネス英語,管理職,18.1,73.0,受講中,3.0,01_enrollment_styleA.csv,0,合格,低
2024-01-09,ENR-A-0042,Excel基礎,新入社員,39.0,70.0,修了,4.0,01_enrollment_styleA.csv,1,合格,低
2024-01-09,ENR-A-0043,リーダーシップ,管理職,12.3,58.0,受講中,4.0,01_enrollment_styleA.csv,0,不合格,高
2024-01-09,ENR-A-0044,Pythonプログラミング,中堅社員,1.4,22.0,中途離脱,5.0,01_enrollment_styleA.csv,0,不合格,低
2024-01-04,ENR-A-0045,Pythonプログラミング,管理職,14.5,78.0,修了,4.0,01_enrollment_styleA.csv,1,合格,低
2024-01-10,ENR-A-0046,ビジネス英語,新入社員,15.3,44.0,受講中,1.0,01_enrollment_styleA.csv,0,不合格,高
2024-01-15,ENR-A-0047,リーダーシップ,管理職,32.3,95.0,修了,3.0,01_enrollment_styleA.csv,1,優秀,低
