配送日,配送ID,配送区分,エリア,車両タイプ,配送料,燃料費,人件費,その他費用,距離(km)
2024/01/04,DLV-0001,同日配送,東海,軽バン,4657,771,3839,1885,199
2024/01/18,DLV-0002,同日配送,東北,2トン,1520,322,3767,947,69
2024/01/17,DLV-0003,同日配送,東北,軽バン,12731,2861,7464,1359,66
2024/01/15,DLV-0004,翌々日配送,関東,軽バン,12438,1931,5787,1069,49
2024/01/07,DLV-0005,翌々日配送,関東,軽バン,7224,596,5940,1204,164
2024/01/09,DLV-0006,同日配送,九州,4トン,3045,1750,3645,1630,85
2024/01/20,DLV-0007,翌々日配送,東北,軽バン,12543,484,3375,1854,68
2024/01/10,DLV-0008,同日配送,関西,軽バン,7227,1338,6714,1801,103
2024/01/06,DLV-0009,翌々日配送,東海,軽バン,11980,1293,3584,1747,172
2024/01/06,DLV-0010,翌日配送,関西,2トン,7216,1305,7562,949,185
2024/01/11,DLV-0011,同日配送,関西,軽バン,14189,1492,6286,1048,26
2024/01/07,DLV-0012,翌々日配送,関西,4トン,9179,1820,6758,792,77
2024/01/05,DLV-0013,翌日配送,東北,4トン,5304,2594,6509,1695,112
2024/01/12,DLV-0014,翌日配送,関西,4トン,9085,572,3385,724,49
2024/01/06,DLV-0015,大型配送,東北,軽バン,7304,1763,7881,1458,145
2024/01/09,DLV-0016,同日配送,関東,4トン,9797,1292,5786,728,85
2024/01/14,DLV-0017,翌日配送,九州,軽バン,12830,1278,7100,865,139
2024/01/04,DLV-0018,翌々日配送,東北,4トン,4258,826,6063,830,148
2024/01/17,DLV-0019,同日配送,東北,2トン,9005,279,3916,1243,88
2024/01/08,DLV-0020,同日配送,関西,4トン,2290,550,6981,641,146
2024/01/05,DLV-0021,翌日配送,九州,4トン,3705,1285,7322,1742,118
2024/01/07,DLV-0022,翌日配送,東海,2トン,12004,2861,6059,1397,142
2024/01/15,DLV-0023,同日配送,関西,軽バン,2049,1584,3172,1704,151
2024/01/08,DLV-0024,翌日配送,関東,軽バン,12597,2784,3482,968,27
2024/01/02,DLV-0025,翌々日配送,関東,4トン,4899,1340,6976,938,148
2024/01/05,DLV-0026,大型配送,関西,2トン,14230,1867,4559,693,34
2024/01/14,DLV-0027,翌々日配送,九州,2トン,8651,421,3806,624,113
2024/01/11,DLV-0028,同日配送,関西,軽バン,4116,2396,6675,787,118
2024/01/06,DLV-0029,翌々日配送,九州,軽バン,2235,2015,7508,700,22
2024/01/18,DLV-0030,同日配送,関東,軽バン,3724,1864,6978,1485,64
2024/01/13,DLV-0031,同日配送,関西,2トン,1035,1799,5172,1431,83
2024/01/14,DLV-0032,大型配送,関西,軽バン,5861,1091,3479,1686,198
2024/01/18,DLV-0033,同日配送,東海,軽バン,1821,2592,6905,1529,145
2024/01/06,DLV-0034,同日配送,東北,軽バン,14948,961,3561,1718,27
2024/01/08,DLV-0035,大型配送,関東,4トン,5033,2571,7870,581,168
2024/01/03,DLV-0036,大型配送,東北,4トン,9565,1495,5136,918,181
