DeliveryDate,DeliveryID,DeliveryType,Area,VehicleType,DeliveryCharge,FuelCost,DriverCost,OtherCost,DistanceKm
2024-01-14,DLV-0161,同日配送,東海,軽バン,10115,445,7804,1650,153
2024-01-11,DLV-0162,同日配送,九州,2トン,11900,1932,3421,1089,163
2024-01-10,DLV-0163,翌々日配送,関東,4トン,9313,1071,4267,1844,133
2024-01-08,DLV-0164,同日配送,東海,4トン,7022,670,5282,1675,67
2024-01-14,DLV-0165,同日配送,東北,4トン,14589,1295,3237,869,79
2024-01-10,DLV-0166,翌々日配送,東海,軽バン,3972,786,7639,1846,112
2024-01-03,DLV-0167,翌日配送,関東,軽バン,13224,2372,4762,1270,117
2024-01-15,DLV-0168,翌々日配送,関西,2トン,6105,1528,7649,1721,31
2024-01-02,DLV-0169,翌日配送,関西,4トン,1815,2960,3668,1057,123
2024-01-14,DLV-0170,大型配送,東北,2トン,7785,1318,4765,1549,39
2024-01-12,DLV-0171,大型配送,関東,2トン,12111,2979,7858,1496,144
2024-01-10,DLV-0172,同日配送,関西,2トン,10819,424,3062,918,87
2024-01-07,DLV-0173,翌日配送,東海,2トン,6375,691,3063,1518,120
2024-01-06,DLV-0174,翌日配送,九州,4トン,12528,1142,7098,1644,181
2024-01-12,DLV-0175,同日配送,九州,4トン,1693,1986,3153,1441,29
2024-01-11,DLV-0176,大型配送,東北,2トン,12624,2822,6421,1092,39
2024-01-13,DLV-0177,同日配送,東海,軽バン,14128,2731,6769,1912,102
2024-01-03,DLV-0178,大型配送,関東,軽バン,8138,2612,6280,1573,30
2024-01-13,DLV-0179,翌々日配送,東海,軽バン,6456,888,3625,1545,172
2024-01-04,DLV-0180,翌日配送,東海,2トン,12917,2843,4209,983,36
2024-01-05,DLV-0181,翌々日配送,関西,軽バン,10869,826,3617,862,170
2024-01-16,DLV-0182,大型配送,東北,4トン,8354,2989,7624,1816,172
2024-01-20,DLV-0183,翌々日配送,東海,軽バン,8205,479,6841,1405,171
2024-01-10,DLV-0184,翌々日配送,東北,軽バン,6766,2278,3607,1135,128
2024-01-15,DLV-0185,同日配送,関東,2トン,14626,1375,3628,1820,33
2024-01-20,DLV-0186,大型配送,九州,4トン,10081,368,6684,1670,176
2024-01-07,DLV-0187,翌々日配送,東北,2トン,9214,817,3506,1422,36
2024-01-11,DLV-0188,同日配送,東北,4トン,3827,360,5029,1949,122
2024-01-15,DLV-0189,翌日配送,東海,2トン,5634,1786,6348,1192,183
2024-01-20,DLV-0190,同日配送,東海,軽バン,6401,587,7570,1889,108
2024-01-10,DLV-0191,翌々日配送,東北,軽バン,6461,533,7773,1859,46
2024-01-12,DLV-0192,翌々日配送,九州,軽バン,10749,547,5536,1644,106
2024-01-11,DLV-0193,翌日配送,東北,軽バン,11584,2946,6468,1541,102
2024-01-01,DLV-0194,翌々日配送,東海,軽バン,4509,1599,6983,893,67
2024-01-05,DLV-0195,翌日配送,関東,2トン,14835,614,7158,1605,199
2024-01-17,DLV-0196,同日配送,東海,4トン,3147,2646,6086,815,51
2024-01-06,DLV-0197,翌日配送,九州,軽バン,7731,1692,4945,1409,166
2024-01-10,DLV-0198,大型配送,関西,4トン,4918,1467,6842,897,104
2024-01-19,DLV-0199,大型配送,九州,2トン,13748,1764,7119,1580,117
2024-01-06,DLV-0200,翌日配送,東北,軽バン,5096,413,6936,1260,151
2024-01-04,DLV-0201,同日配送,東海,軽バン,13502,856,5234,1420,141
2024-01-05,DLV-0202,大型配送,関東,軽バン,14380,2047,5863,554,116
2024-01-02,DLV-0203,大型配送,東北,2トン,4862,1781,3668,1267,67
2024-01-01,DLV-0204,翌々日配送,関東,4トン,11648,1573,4196,781,19
