delivery_date,delivery_id,delivery_type,area,vehicle_type,delivery_charge,fuel_cost,driver_cost,other_cost,distance_km,total_cost,gross_profit,profit_margin,cost_per_km,margin_grade,source_file
2024-01-04,DLV-0001,同日配送,東海,軽バン,4657,771,3839,1885,199,6495,-1838,-0.394674683272493,32.63819095477387,低利益,delivery_cost_styleA_202401.csv
2024-01-18,DLV-0002,同日配送,東北,2トン,1520,322,3767,947,69,5036,-3516,-2.3131578947368423,72.98550724637681,低利益,delivery_cost_styleA_202401.csv
2024-01-17,DLV-0003,同日配送,東北,軽バン,12731,2861,7464,1359,66,11684,1047,0.08224020108396826,177.03030303030303,低利益,delivery_cost_styleA_202401.csv
2024-01-15,DLV-0004,翌々日配送,関東,軽バン,12438,1931,5787,1069,49,8787,3651,0.2935359382537385,179.3265306122449,普通,delivery_cost_styleA_202401.csv
2024-01-07,DLV-0005,翌々日配送,関東,軽バン,7224,596,5940,1204,164,7740,-516,-0.07142857142857142,47.19512195121951,低利益,delivery_cost_styleA_202401.csv
2024-01-09,DLV-0006,同日配送,九州,4トン,3045,1750,3645,1630,85,7025,-3980,-1.3070607553366174,82.6470588235294,低利益,delivery_cost_styleA_202401.csv
2024-01-20,DLV-0007,翌々日配送,東北,軽バン,12543,484,3375,1854,68,5713,6830,0.5445268277126685,84.01470588235294,高利益,delivery_cost_styleA_202401.csv
2024-01-10,DLV-0008,同日配送,関西,軽バン,7227,1338,6714,1801,103,9853,-2626,-0.36335962363359625,95.66019417475728,低利益,delivery_cost_styleA_202401.csv
2024-01-06,DLV-0009,翌々日配送,東海,軽バン,11980,1293,3584,1747,172,6624,5356,0.44707846410684476,38.51162790697674,高利益,delivery_cost_styleA_202401.csv
2024-01-06,DLV-0010,翌日配送,関西,2トン,7216,1305,7562,949,185,9816,-2600,-0.360310421286031,53.05945945945946,低利益,delivery_cost_styleA_202401.csv
2024-01-11,DLV-0011,同日配送,関西,軽バン,14189,1492,6286,1048,26,8826,5363,0.3779688491084643,339.46153846153845,高利益,delivery_cost_styleA_202401.csv
2024-01-07,DLV-0012,翌々日配送,関西,4トン,9179,1820,6758,792,77,9370,-191,-0.02080836692450158,121.68831168831169,低利益,delivery_cost_styleA_202401.csv
2024-01-05,DLV-0013,翌日配送,東北,4トン,5304,2594,6509,1695,112,10798,-5494,-1.0358220211161389,96.41071428571429,低利益,delivery_cost_styleA_202401.csv
2024-01-12,DLV-0014,翌日配送,関西,4トン,9085,572,3385,724,49,4681,4404,0.48475509080902585,95.53061224489795,高利益,delivery_cost_styleA_202401.csv
2024-01-06,DLV-0015,大型配送,東北,軽バン,7304,1763,7881,1458,145,11102,-3798,-0.5199890470974808,76.56551724137931,低利益,delivery_cost_styleA_202401.csv
2024-01-09,DLV-0016,同日配送,関東,4トン,9797,1292,5786,728,85,7806,1991,0.20322547718689396,91.83529411764705,普通,delivery_cost_styleA_202401.csv
2024-01-14,DLV-0017,翌日配送,九州,軽バン,12830,1278,7100,865,139,9243,3587,0.27957911145752146,66.49640287769785,普通,delivery_cost_styleA_202401.csv
2024-01-04,DLV-0018,翌々日配送,東北,4トン,4258,826,6063,830,148,7719,-3461,-0.8128229215594176,52.1554054054054,低利益,delivery_cost_styleA_202401.csv
2024-01-17,DLV-0019,同日配送,東北,2トン,9005,279,3916,1243,88,5438,3567,0.3961132704053304,61.79545454545455,高利益,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0020,同日配送,関西,4トン,2290,550,6981,641,146,8172,-5882,-2.5685589519650653,55.97260273972603,低利益,delivery_cost_styleA_202401.csv
2024-01-05,DLV-0021,翌日配送,九州,4トン,3705,1285,7322,1742,118,10349,-6644,-1.7932523616734144,87.70338983050847,低利益,delivery_cost_styleA_202401.csv
2024-01-07,DLV-0022,翌日配送,東海,2トン,12004,2861,6059,1397,142,10317,1687,0.14053648783738754,72.65492957746478,普通,delivery_cost_styleA_202401.csv
2024-01-15,DLV-0023,同日配送,関西,軽バン,2049,1584,3172,1704,151,6460,-4411,-2.152757442654954,42.78145695364238,低利益,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0024,翌日配送,関東,軽バン,12597,2784,3482,968,27,7234,5363,0.42573628641740097,267.9259259259259,高利益,delivery_cost_styleA_202401.csv
2024-01-02,DLV-0025,翌々日配送,関東,4トン,4899,1340,6976,938,148,9254,-4355,-0.8889569299857114,62.527027027027025,低利益,delivery_cost_styleA_202401.csv
2024-01-05,DLV-0026,大型配送,関西,2トン,14230,1867,4559,693,34,7119,7111,0.49971890372452565,209.38235294117646,高利益,delivery_cost_styleA_202401.csv
2024-01-14,DLV-0027,翌々日配送,九州,2トン,8651,421,3806,624,113,4851,3800,0.4392555773898971,42.92920353982301,高利益,delivery_cost_styleA_202401.csv
2024-01-11,DLV-0028,同日配送,関西,軽バン,4116,2396,6675,787,118,9858,-5742,-1.3950437317784257,83.54237288135593,低利益,delivery_cost_styleA_202401.csv
2024-01-06,DLV-0029,翌々日配送,九州,軽バン,2235,2015,7508,700,22,10223,-7988,-3.574049217002237,464.6818181818182,低利益,delivery_cost_styleA_202401.csv
2024-01-18,DLV-0030,同日配送,関東,軽バン,3724,1864,6978,1485,64,10327,-6603,-1.773093447905478,161.359375,低利益,delivery_cost_styleA_202401.csv
2024-01-13,DLV-0031,同日配送,関西,2トン,1035,1799,5172,1431,83,8402,-7367,-7.1178743961352655,101.2289156626506,低利益,delivery_cost_styleA_202401.csv
