問い合わせID,受付日時,完了日時,担当者ID,担当者名,チャネル,問い合わせ内容,カテゴリ,解決状況,エスカレーション
INQ-00001,2024/01/03 15:39,2024/01/03 16:39,OP-05,伊藤,メール,荷物が届かない,,解決済,0
INQ-00002,2024/01/14 09:41,2024/01/14 09:47,OP-02,鈴木,電話,配送業者に問い合わせたい,,解決済,0
INQ-00003,2024/01/17 17:44,2024/01/17 18:09,OP-04,高橋,電話,支払い方法を変更したい,,解決済,0
INQ-00004,2024/01/24 13:07,2024/01/24 13:23,OP-07,山本,チャット,チュートリアルが必要,,解決済,0
INQ-00005,2024/01/16 12:10,2024/01/16 12:44,OP-03,佐藤,チャット,返品したい,,対応中,0
INQ-00006,2024/01/29 12:49,2024/01/29 13:37,OP-06,渡辺,SNS,エラーが出て動かない,,解決済,0
INQ-00007,2024/01/14 11:05,2024/01/14 11:20,OP-05,伊藤,SNS,料金が間違っている,,対応中,0
INQ-00008,2024/01/18 16:49,2024/01/18 17:20,OP-02,鈴木,チャット,how to use,,解決済,0
INQ-00009,2024/01/06 15:42,2024/01/06 17:10,OP-01,田中,チャット,使い方を教えてほしい,,解決済,0
INQ-00010,2024/01/11 13:53,2024/01/11 14:16,OP-02,鈴木,SNS,その他の問い合わせ,,解決済,0
INQ-00011,2024/01/24 10:21,2024/01/24 11:05,OP-03,佐藤,メール,追跡番号を教えて,,解決済,0
INQ-00012,2024/01/15 13:09,2024/01/15 13:55,OP-03,佐藤,メール,荷物が届かない,,解決済,0
INQ-00013,2024/01/29 15:21,2024/01/29 15:42,OP-05,伊藤,メール,課金について質問,,エスカレ済,1
INQ-00014,2024/01/30 17:22,2024/01/30 18:16,OP-04,高橋,チャット,荷物が届かない,,対応中,0
INQ-00015,2024/01/25 10:27,2024/01/25 10:43,OP-04,高橋,チャット,製品が壊れた,,エスカレ済,1
INQ-00016,2024/01/05 11:13,2024/01/05 12:08,OP-07,山本,SNS,不具合が発生した,,エスカレ済,1
