受付番号,受付日時,対応完了時刻,担当者コード,担当者,受付チャネル,問い合わせ種別,分類,対応結果,上位エスカレ
INQ-00351,2024/01/24 10:19,2024/01/24 11:05,OP-02,鈴木,電話,exchange request,,解決,0
INQ-00352,2024/01/06 09:20,2024/01/06 10:16,OP-06,渡辺,メール,故障している,,未対応,0
INQ-00353,2024/01/23 11:11,2024/01/23 11:42,OP-01,田中,メール,how to use,,解決,0
INQ-00354,2024/01/04 14:52,2024/01/04 15:11,OP-08,中村,メール,到着予定日を確認したい,,解決,0
INQ-00355,2024/01/15 10:58,2024/01/15 11:21,OP-06,渡辺,チャット,バグがある,,解決,0
INQ-00356,2024/01/06 09:28,2024/01/06 09:59,OP-08,中村,チャット,チュートリアルが必要,,解決,0
INQ-00357,2024/01/04 09:00,2024/01/04 09:59,OP-06,渡辺,電話,使い方を教えてほしい,,解決,0
INQ-00358,2024/01/15 11:39,2024/01/15 11:46,OP-05,伊藤,電話,その他,,対応中,0
INQ-00359,2024/01/28 09:14,2024/01/28 09:41,OP-04,高橋,SNS,設定のやり方,,解決,0
INQ-00360,2024/01/08 11:45,2024/01/08 12:17,OP-07,山本,メール,二重請求があった,,解決,0
INQ-00361,2024/01/24 17:06,2024/01/24 17:19,OP-04,高橋,チャット,請求書の確認,,解決,0
INQ-00362,2024/01/31 12:57,2024/01/31 13:10,OP-04,高橋,SNS,不具合が発生した,,解決,0
INQ-00363,2024/01/13 10:56,2024/01/13 11:19,OP-03,佐藤,チャット,返品したい,,解決,0
INQ-00364,2024/01/10 12:05,2024/01/10 12:13,OP-07,山本,メール,サービスについて,,解決,0
INQ-00365,2024/01/24 14:24,2024/01/24 14:47,OP-06,渡辺,チャット,チュートリアルが必要,,解決,0
INQ-00366,2024/01/17 09:15,2024/01/17 09:40,OP-04,高橋,チャット,操作方法がわからない,,解決,0
INQ-00367,2024/01/04 16:22,2024/01/04 16:38,OP-05,伊藤,SNS,故障している,,未対応,0
INQ-00368,2024/01/19 15:17,2024/01/19 15:26,OP-05,伊藤,SNS,故障している,,解決,0
INQ-00369,2024/01/26 12:06,2024/01/26 12:35,OP-06,渡辺,メール,返金してほしい,,エスカレ,1
INQ-00370,2024/01/24 09:12,2024/01/24 09:32,OP-02,鈴木,SNS,故障している,,解決,0
INQ-00371,2024/01/13 10:13,2024/01/13 10:24,OP-04,高橋,チャット,到着予定日を確認したい,,解決,0
INQ-00372,2024/01/28 12:15,2024/01/28 12:28,OP-03,佐藤,メール,詳細を確認したい,,解決,0
INQ-00373,2024/01/20 10:39,2024/01/20 11:30,OP-04,高橋,電話,バグがある,,対応中,0
INQ-00374,2024/01/13 10:14,2024/01/13 11:26,OP-08,中村,メール,料金が間違っている,,解決,0
INQ-00375,2024/01/05 16:34,2024/01/05 16:49,OP-03,佐藤,SNS,二重請求があった,,解決,0
INQ-00376,2024/01/28 13:31,2024/01/28 15:09,OP-05,伊藤,電話,操作方法がわからない,,解決,0
INQ-00377,2024/01/11 11:17,2024/01/11 11:33,OP-04,高橋,電話,一般的な質問,,解決,0
INQ-00378,2024/01/05 09:53,2024/01/05 10:13,OP-07,山本,メール,その他の問い合わせ,,対応中,0
