案件ID,顧客名,サービス区分,担当部門,契約月,売上金額,直接原価,間接原価配賦,担当者工数h,完了フラグ
A-0001,吉田産業,SaaS利用料,開発部,2024-03,167026,21363,5695,389,完了
A-0002,株式会社山田商事,研修・教育,コンサル部,2024-01,194629,47982,14418,297,完了
A-0003,林テクノ,研修・教育,コンサル部,2024-01,225852,81732,11351,422,完了
A-0004,渡辺フード,コンサルティング,CS部,2024-02,1801163,661601,186798,59,未完了
A-0005,林テクノ,保守サポート,CS部,2024-01,230889,102658,17349,292,未完了
A-0006,小林商会,研修・教育,CS部,2024-03,104025,34562,8417,50,完了
A-0007,林テクノ,SaaS利用料,コンサル部,2024-02,135277,23543,5191,146,完了
A-0008,加藤工業,研修・教育,営業部,2024-03,322357,88935,28877,337,完了
A-0009,田中製造,保守サポート,開発部,2024-01,520651,158042,35632,492,未完了
A-0010,林テクノ,受託開発,コンサル部,2024-02,2721975,1300902,298871,285,未完了
A-0011,井上コーポ,研修・教育,コンサル部,2024-03,194987,77890,10828,262,完了
A-0012,中村サービス,SaaS利用料,開発部,2024-01,362690,40877,16417,249,未完了
A-0013,伊藤通信,研修・教育,開発部,2024-03,473676,120012,35828,67,未完了
A-0014,株式会社山田商事,コンサルティング,営業部,2024-02,1249805,565402,150360,64,未完了
A-0015,佐々木HD,研修・教育,営業部,2024-01,362789,141741,31525,480,完了
A-0016,株式会社山田商事,研修・教育,CS部,2024-02,567115,154593,50707,423,未完了
A-0017,山口イノベ,受託開発,開発部,2024-01,1218513,726698,137254,399,完了
A-0018,中村サービス,受託開発,コンサル部,2024-03,4926448,3076500,477498,118,完了
A-0019,佐々木HD,保守サポート,コンサル部,2024-03,642717,218714,44936,42,未完了
A-0020,加藤工業,SaaS利用料,営業部,2024-03,87220,21069,2821,44,完了
A-0021,加藤工業,保守サポート,開発部,2024-03,608993,178341,39762,488,未完了
A-0022,小林商会,受託開発,コンサル部,2024-02,1313114,763965,123658,220,未完了
A-0023,井上コーポ,SaaS利用料,開発部,2024-01,469741,127926,18764,107,未完了
A-0024,吉田産業,受託開発,コンサル部,2024-01,2595528,1621938,215468,423,完了
A-0025,加藤工業,SaaS利用料,開発部,2024-01,263078,51860,10141,215,完了
A-0026,井上コーポ,受託開発,コンサル部,2024-01,4316886,2188876,465635,384,未完了
A-0027,小林商会,受託開発,営業部,2024-02,1011349,606399,83220,309,未完了
A-0028,池田ネットワーク,研修・教育,営業部,2024-01,526348,124831,38845,355,完了
A-0029,加藤工業,コンサルティング,開発部,2024-03,1446797,445538,149424,346,未完了
