project_id,client_name,service_type,department,contract_month,revenue,direct_cost,allocated_overhead,hours_spent,is_completed
B-1001,Nakamura Services,SaaS,Consulting,2024-02,66326,8526,3601,410,False
B-1002,Sasaki Holdings,SaaS,Sales,2024-01,239871,42354,12638,319,True
B-1003,Suzuki General Trading,Consulting,CS,2024-02,1403601,459734,160962,170,False
B-1004,Shimizu Solutions,Custom Development,Development,2024-01,4843162,2554271,496263,144,False
B-1005,Shimizu Solutions,Consulting,Sales,2024-03,619804,201143,83123,241,True
B-1006,Sasaki Holdings,Consulting,Development,2024-03,1688014,528327,205409,466,False
B-1007,Kato Industries,Custom Development,Sales,2024-02,1518062,982226,169541,131,False
B-1008,Sasaki Holdings,SaaS,CS,2024-03,295055,76930,15362,323,True
B-1009,Ikeda Networks,SaaS,CS,2024-02,265374,67360,16700,47,True
B-1010,Ikeda Networks,Maintenance Support,Development,2024-02,461249,127151,42970,292,True
B-1011,Ito Communications,Custom Development,Consulting,2024-03,4846155,2329077,419610,175,True
B-1012,Kobayashi Commerce,Maintenance Support,CS,2024-01,765905,337971,54362,330,False
B-1013,Yamaguchi Innovation,Training,Development,2024-03,573673,181354,32612,329,False
B-1014,Tanaka Manufacturing,Training,Development,2024-01,577311,189525,42184,343,True
B-1015,Shimizu Solutions,Training,Consulting,2024-03,546090,177715,33631,499,False
B-1016,Yamamoto Corp,Consulting,Sales,2024-03,1151150,362145,117873,235,False
B-1017,Ishikawa Media,Consulting,Consulting,2024-01,501295,181727,64533,385,False
B-1018,Hashimoto Digital,Consulting,Sales,2024-02,422683,153781,50155,146,False
B-1019,Yamamoto Corp,Custom Development,Sales,2024-01,3722482,2318483,360058,453,True
B-1020,Shimizu Solutions,Maintenance Support,CS,2024-01,639728,219658,60878,264,True
B-1021,Kato Industries,SaaS,Consulting,2024-03,162797,35273,5200,154,False
B-1022,Yamada Trading Co.,Training,Consulting,2024-02,524162,116101,29016,145,False
B-1023,Tanaka Manufacturing,Consulting,CS,2024-01,1395967,575645,159839,157,True
B-1024,Ishikawa Media,Consulting,Consulting,2024-03,1626899,686890,171062,59,False
B-1025,Watanabe Foods,Maintenance Support,CS,2024-03,308727,114381,23480,30,True
B-1026,Shimizu Solutions,SaaS,Sales,2024-03,322279,61683,17483,273,True
B-1027,Ishikawa Media,Maintenance Support,CS,2024-01,413769,152575,33222,270,False
B-1028,Sasaki Holdings,Training,CS,2024-02,253664,84916,22625,308,False
B-1029,Yamaguchi Innovation,SaaS,Consulting,2024-02,169298,41356,9030,97,False
B-1030,Ito Communications,Custom Development,Sales,2024-01,2100414,953141,194388,87,False
B-1031,Shimizu Solutions,Custom Development,Consulting,2024-03,1022453,604428,103009,297,False
B-1032,Hayashi Technology,Consulting,Consulting,2024-02,1318048,485655,150483,405,False
B-1033,Yoshida Industries,Training,Consulting,2024-01,372598,96763,32661,162,False
B-1034,Sasaki Holdings,Custom Development,Consulting,2024-02,2793928,1418080,287604,288,False
B-1035,Tanaka Manufacturing,Consulting,CS,2024-01,803204,394423,82859,483,False
B-1036,Hashimoto Digital,Maintenance Support,Consulting,2024-01,384303,167788,33759,80,True
B-1037,Ikeda Networks,Training,Sales,2024-01,198316,64966,10332,221,False
B-1038,Yamada Trading Co.,Consulting,Development,2024-03,1354172,671103,143972,344,False
B-1039,Yamamoto Corp,Consulting,Sales,2024-02,1554546,484757,203255,343,True
B-1040,Nakamura Services,Training,Development,2024-01,569644,218701,51203,213,False
B-1041,Yamamoto Corp,Custom Development,CS,2024-01,1400103,890032,130771,242,False
B-1042,Ito Communications,Custom Development,Consulting,2024-02,3273979,1579691,322017,141,True
B-1043,Kobayashi Commerce,SaaS,CS,2024-02,142009,31553,7888,217,False
B-1044,Ito Communications,Training,CS,2024-01,176878,70103,12221,489,True
B-1045,Hayashi Technology,SaaS,CS,2024-02,445185,68290,19225,308,True
B-1046,Tanaka Manufacturing,Maintenance Support,CS,2024-03,223967,76838,14868,361,False
B-1047,Kato Industries,SaaS,CS,2024-02,164886,48059,8100,242,False
B-1048,Kato Industries,Consulting,Consulting,2024-03,1626780,733593,219493,51,False
B-1049,Ito Communications,Training,CS,2024-01,112379,41103,9677,113,True
B-1050,Ito Communications,Custom Development,CS,2024-03,2223032,1319110,221309,470,False
B-1051,Kimura Systems,SaaS,Consulting,2024-01,289493,61598,15155,354,False
B-1052,Kobayashi Commerce,SaaS,Consulting,2024-02,353201,40478,16582,368,True
B-1053,Tanaka Manufacturing,Training,Development,2024-01,230518,64953,18616,402,False
B-1054,Inoue Corporation,Maintenance Support,Consulting,2024-02,184148,71181,15923,286,True
B-1055,Inoue Corporation,Maintenance Support,Development,2024-01,654531,180303,64896,437,True
B-1056,Kimura Systems,SaaS,CS,2024-02,328886,57836,12887,245,False
B-1057,Tanaka Manufacturing,Custom Development,CS,2024-01,4016845,2301590,471776,465,True
B-1058,Ishikawa Media,Custom Development,Sales,2024-01,781658,421538,83544,456,True
B-1059,Kato Industries,Custom Development,Development,2024-02,2322586,1395588,257905,81,False
B-1060,Matsumoto Group,Custom Development,CS,2024-03,2487295,1269398,213236,348,True
