プロジェクトID,クライアント,種別,部署,月度,売上高,直接費,間接費,工数,完了
C-2001,清水ソリューション,研修・教育,コンサル部,2024-01,421295,148147,24866,241,完了
C-2002,松本グループ,SaaS利用料,CS部,2024-01,104906,12047,3860,202,完了
C-2003,石川メディア,SaaS利用料,開発部,2024-02,303093,73015,14322,344,完了
C-2004,田中製造,研修・教育,コンサル部,2024-01,253588,61142,14606,366,未完了
C-2005,伊藤通信,保守サポート,CS部,2024-01,511987,186544,47919,88,完了
C-2006,鈴木物産,保守サポート,開発部,2024-02,794178,297831,62909,59,完了
C-2007,山本企業,受託開発,営業部,2024-03,4472598,2767437,412973,213,未完了
C-2008,橋本デジタル,コンサルティング,CS部,2024-01,587724,219928,67739,105,未完了
C-2009,林テクノ,SaaS利用料,CS部,2024-02,168616,45090,8864,87,完了
C-2010,木村システム,SaaS利用料,CS部,2024-03,169282,35671,10771,429,未完了
C-2011,加藤工業,研修・教育,コンサル部,2024-03,236684,51074,20381,375,完了
C-2012,林テクノ,研修・教育,営業部,2024-01,577581,229226,51339,423,完了
C-2013,鈴木物産,受託開発,開発部,2024-02,2193821,1424785,230546,437,未完了
C-2014,井上コーポ,保守サポート,開発部,2024-01,516656,186208,48702,276,未完了
C-2015,木村システム,SaaS利用料,コンサル部,2024-01,127699,27240,6807,491,完了
C-2016,橋本デジタル,SaaS利用料,開発部,2024-02,265424,40564,14914,302,未完了
C-2017,井上コーポ,SaaS利用料,営業部,2024-02,374138,82958,21605,29,未完了
C-2018,清水ソリューション,保守サポート,営業部,2024-01,490532,124617,45470,165,未完了
C-2019,伊藤通信,保守サポート,コンサル部,2024-03,240913,74706,21621,406,未完了
C-2020,鈴木物産,保守サポート,コンサル部,2024-03,563173,164603,52351,389,未完了
C-2021,池田ネットワーク,研修・教育,CS部,2024-01,114402,29999,8039,79,完了
C-2022,田中製造,受託開発,営業部,2024-01,777420,420809,90741,370,完了
C-2023,池田ネットワーク,保守サポート,CS部,2024-02,766275,333034,66855,133,未完了
C-2024,清水ソリューション,コンサルティング,コンサル部,2024-01,1356230,501739,144493,467,未完了
C-2025,井上コーポ,SaaS利用料,CS部,2024-01,135410,36664,8286,119,完了
C-2026,木村システム,受託開発,営業部,2024-02,668211,416245,79306,359,完了
C-2027,中村サービス,コンサルティング,営業部,2024-03,1879535,567042,206928,422,未完了
C-2028,佐々木HD,保守サポート,コンサル部,2024-02,364239,106955,26256,276,未完了
C-2029,池田ネットワーク,研修・教育,開発部,2024-01,374365,123341,27838,162,完了
C-2030,吉田産業,コンサルティング,開発部,2024-02,780669,274974,100272,466,未完了
C-2031,加藤工業,受託開発,営業部,2024-03,3889823,2264289,417106,379,完了
C-2032,木村システム,コンサルティング,CS部,2024-02,1014271,453730,125080,302,完了
C-2033,橋本デジタル,保守サポート,営業部,2024-03,475911,167265,44648,440,完了
C-2034,渡辺フード,保守サポート,開発部,2024-02,686187,276247,46195,358,未完了
C-2035,加藤工業,SaaS利用料,営業部,2024-02,270448,69672,11697,143,未完了
C-2036,田中製造,コンサルティング,開発部,2024-02,1417004,692716,145736,465,完了
C-2037,井上コーポ,研修・教育,開発部,2024-03,236424,66818,20056,87,完了
C-2038,山口イノベ,受託開発,CS部,2024-02,1701451,873315,184823,408,完了
C-2039,中村サービス,コンサルティング,CS部,2024-03,1530640,476951,180741,117,完了
C-2040,鈴木物産,研修・教育,営業部,2024-02,402164,115317,27015,229,未完了
C-2041,橋本デジタル,コンサルティング,開発部,2024-01,1732303,648955,174205,174,完了
C-2042,加藤工業,SaaS利用料,開発部,2024-03,413606,113905,17571,62,未完了
C-2043,鈴木物産,研修・教育,CS部,2024-01,236343,92101,16127,276,未完了
C-2044,清水ソリューション,コンサルティング,営業部,2024-02,1773106,598751,244552,480,未完了
C-2045,渡辺フード,SaaS利用料,営業部,2024-01,434867,45392,21823,73,未完了
C-2046,吉田産業,SaaS利用料,コンサル部,2024-03,376702,41330,26288,348,完了
C-2047,伊藤通信,SaaS利用料,開発部,2024-03,282948,49813,14682,252,完了
C-2048,木村システム,受託開発,開発部,2024-02,4864670,2451771,507022,80,未完了
C-2049,伊藤通信,SaaS利用料,開発部,2024-02,310958,43449,11813,144,完了
C-2050,中村サービス,保守サポート,コンサル部,2024-02,674765,235675,46091,487,未完了
C-2051,株式会社山田商事,保守サポート,営業部,2024-01,215795,89996,18722,86,完了
C-2052,伊藤通信,研修・教育,開発部,2024-03,417818,102880,37414,161,未完了
C-2053,中村サービス,コンサルティング,開発部,2024-01,1987295,711677,262449,170,未完了
C-2054,株式会社山田商事,SaaS利用料,開発部,2024-01,397789,91268,17163,467,未完了
C-2055,鈴木物産,研修・教育,CS部,2024-03,507275,136225,27673,214,未完了
C-2056,清水ソリューション,保守サポート,コンサル部,2024-03,780364,333390,52027,77,完了
C-2057,山口イノベ,受託開発,開発部,2024-02,4175576,2030382,397473,193,完了
C-2058,伊藤通信,受託開発,コンサル部,2024-02,4196757,1927127,379657,170,完了
C-2059,松本グループ,研修・教育,営業部,2024-03,354256,119613,26473,231,完了
C-2060,井上コーポ,コンサルティング,CS部,2024-03,1959579,911767,265880,323,完了
C-2061,清水ソリューション,SaaS利用料,営業部,2024-03,136719,15719,6790,133,未完了
C-2062,加藤工業,保守サポート,開発部,2024-03,774567,252297,71790,50,未完了
C-2063,清水ソリューション,コンサルティング,コンサル部,2024-01,862829,279333,103448,344,完了
C-2064,田中製造,SaaS利用料,コンサル部,2024-02,337885,33799,11365,319,未完了
C-2065,林テクノ,研修・教育,営業部,2024-03,270496,98747,22360,442,未完了
C-2066,佐々木HD,保守サポート,コンサル部,2024-03,219562,59169,18960,11,未完了
C-2067,池田ネットワーク,保守サポート,CS部,2024-03,211486,54807,14077,81,未完了
C-2068,小林商会,SaaS利用料,CS部,2024-03,113305,32410,5179,244,完了
C-2069,田中製造,保守サポート,開発部,2024-02,229204,92696,17882,347,完了
C-2070,田中製造,コンサルティング,開発部,2024-03,1107669,518126,132164,270,完了
C-2071,渡辺フード,研修・教育,営業部,2024-03,283112,93852,21020,174,未完了
C-2072,井上コーポ,コンサルティング,営業部,2024-02,816926,319066,86050,221,未完了
C-2073,橋本デジタル,研修・教育,CS部,2024-03,185323,44837,14561,361,未完了
C-2074,橋本デジタル,受託開発,営業部,2024-03,1468089,884017,150466,308,未完了
C-2075,株式会社山田商事,研修・教育,CS部,2024-02,135821,27850,7580,353,完了
C-2076,山本企業,受託開発,CS部,2024-01,1728330,1067894,186009,161,完了
C-2077,林テクノ,研修・教育,開発部,2024-02,403018,150570,32072,452,完了
C-2078,池田ネットワーク,研修・教育,コンサル部,2024-01,443298,147573,38593,208,未完了
C-2079,吉田産業,保守サポート,開発部,2024-01,750706,318126,70880,236,完了
C-2080,小林商会,保守サポート,営業部,2024-03,570616,162902,49818,105,完了
C-2081,田中製造,研修・教育,開発部,2024-02,226335,70462,12494,309,未完了
C-2082,渡辺フード,SaaS利用料,CS部,2024-02,130584,37311,7035,406,未完了
C-2083,松本グループ,コンサルティング,CS部,2024-01,661293,324957,79900,412,完了
C-2084,佐々木HD,コンサルティング,コンサル部,2024-01,647435,280123,73317,160,完了
C-2085,株式会社山田商事,研修・教育,コンサル部,2024-03,430716,115949,25676,338,完了
C-2086,伊藤通信,SaaS利用料,CS部,2024-02,184527,38390,7623,476,未完了
C-2087,田中製造,研修・教育,コンサル部,2024-02,550958,181984,34607,52,完了
C-2088,鈴木物産,受託開発,開発部,2024-03,2288242,1425552,221887,63,完了
C-2089,鈴木物産,研修・教育,コンサル部,2024-03,92453,26981,5849,54,完了
C-2090,橋本デジタル,SaaS利用料,営業部,2024-02,351445,92895,23349,218,未完了
C-2091,松本グループ,コンサルティング,コンサル部,2024-02,1016844,441981,123438,338,完了
C-2092,鈴木物産,研修・教育,開発部,2024-03,566564,170290,34896,361,未完了
C-2093,林テクノ,研修・教育,開発部,2024-02,287153,104645,14711,90,完了
C-2094,山本企業,受託開発,コンサル部,2024-03,3000279,1756536,349732,417,未完了
C-2095,田中製造,SaaS利用料,営業部,2024-01,350269,76824,18033,494,完了
C-2096,佐々木HD,保守サポート,営業部,2024-03,532699,229660,50104,82,完了
C-2097,吉田産業,受託開発,営業部,2024-03,1461523,710697,163670,446,完了
C-2098,橋本デジタル,研修・教育,コンサル部,2024-03,232385,77694,13949,111,未完了
C-2099,加藤工業,保守サポート,CS部,2024-01,398987,149182,38304,172,未完了
C-2100,山本企業,コンサルティング,CS部,2024-03,519595,214650,59535,171,未完了
C-2101,加藤工業,受託開発,開発部,2024-02,4158473,2101425,392474,357,未完了
C-2102,佐々木HD,コンサルティング,コンサル部,2024-02,1221253,501122,130711,320,完了
C-2103,小林商会,保守サポート,営業部,2024-03,757057,200841,47706,19,完了
C-2104,小林商会,研修・教育,コンサル部,2024-03,369194,93082,31661,286,未完了
C-2105,加藤工業,受託開発,CS部,2024-02,2941077,1402235,294239,56,未完了
C-2106,加藤工業,保守サポート,開発部,2024-03,273899,109954,17971,91,完了
C-2107,清水ソリューション,研修・教育,営業部,2024-03,101191,24666,7033,42,未完了
C-2108,小林商会,保守サポート,営業部,2024-01,478799,156863,46307,461,完了
C-2109,池田ネットワーク,SaaS利用料,CS部,2024-01,487713,121139,25919,301,完了
C-2110,山口イノベ,コンサルティング,コンサル部,2024-02,1283520,449639,178289,124,未完了
C-2111,清水ソリューション,保守サポート,CS部,2024-02,106918,37460,7009,94,完了
C-2112,渡辺フード,SaaS利用料,CS部,2024-01,132500,22848,7776,70,完了
C-2113,伊藤通信,コンサルティング,CS部,2024-03,1616058,639575,175226,92,未完了
C-2114,渡辺フード,SaaS利用料,営業部,2024-01,360560,47675,19896,30,完了
C-2115,中村サービス,SaaS利用料,営業部,2024-02,262575,57732,13796,19,未完了
C-2116,石川メディア,SaaS利用料,営業部,2024-02,302532,40573,19124,317,完了
C-2117,池田ネットワーク,研修・教育,営業部,2024-03,167934,57909,10698,242,完了
C-2118,渡辺フード,受託開発,コンサル部,2024-02,638937,313379,73083,268,未完了
C-2119,清水ソリューション,受託開発,開発部,2024-01,827462,517619,83786,395,完了
C-2120,渡辺フード,SaaS利用料,コンサル部,2024-03,332741,88344,21920,406,未完了
C-2121,田中製造,研修・教育,コンサル部,2024-02,304896,74973,25029,414,未完了
C-2122,渡辺フード,保守サポート,開発部,2024-02,600318,242031,57872,52,未完了
C-2123,小林商会,研修・教育,コンサル部,2024-02,451798,157555,22718,277,完了
C-2124,小林商会,研修・教育,開発部,2024-02,294352,80197,16539,343,未完了
C-2125,佐々木HD,保守サポート,コンサル部,2024-03,388946,174387,29520,114,未完了
C-2126,佐々木HD,研修・教育,コンサル部,2024-01,370933,110075,33213,305,未完了
C-2127,伊藤通信,コンサルティング,営業部,2024-03,1136577,518985,156813,61,完了
C-2128,橋本デジタル,研修・教育,コンサル部,2024-02,445458,150080,23200,209,完了
C-2129,石川メディア,SaaS利用料,営業部,2024-02,96211,10854,3739,50,完了
C-2130,池田ネットワーク,コンサルティング,コンサル部,2024-03,1692345,833828,173124,406,完了
C-2131,小林商会,コンサルティング,コンサル部,2024-01,799799,271091,105060,271,完了
C-2132,田中製造,研修・教育,営業部,2024-03,205439,68001,18289,54,未完了
C-2133,井上コーポ,コンサルティング,CS部,2024-03,1429099,485982,143788,370,完了
