project_id,client_name,service_type,department,contract_month,revenue,direct_cost,allocated_overhead,hours_spent,is_completed,source_file,total_cost,gross_profit,operating_profit,gross_margin_ratio,operating_margin_ratio,revenue_per_hour,profit_flag
A-0001,吉田産業,SaaS利用料,開発部,2024-03,167026,21363,5695,389,True,revenue_cost_styleA_202401.csv,27058,145663,139968,0.8720977572354005,0.838001269263468,429.3727506426735,良好
A-0002,株式会社山田商事,研修・教育,コンサル部,2024-01,194629,47982,14418,297,True,revenue_cost_styleA_202401.csv,62400,146647,132229,0.7534694213092602,0.679390018959148,655.3164983164983,良好
A-0003,林テクノ,研修・教育,コンサル部,2024-01,225852,81732,11351,422,True,revenue_cost_styleA_202401.csv,93083,144120,132769,0.6381169969714681,0.5878584205585959,535.1943127962086,良好
A-0004,渡辺フード,コンサルティング,CS部,2024-02,1801163,661601,186798,59,False,revenue_cost_styleA_202401.csv,848399,1139562,952764,0.6326812176354945,0.5289715589316458,30528.186440677968,良好
A-0005,林テクノ,保守サポート,CS部,2024-01,230889,102658,17349,292,False,revenue_cost_styleA_202401.csv,120007,128231,110882,0.555379424745224,0.48023942240643774,790.7157534246576,良好
A-0006,小林商会,研修・教育,CS部,2024-03,104025,34562,8417,50,True,revenue_cost_styleA_202401.csv,42979,69463,61046,0.6677529440038452,0.5868397019947128,2080.5,良好
A-0007,林テクノ,SaaS利用料,コンサル部,2024-02,135277,23543,5191,146,True,revenue_cost_styleA_202401.csv,28734,111734,106543,0.825964502465312,0.7875913865623868,926.554794520548,良好
A-0008,加藤工業,研修・教育,営業部,2024-03,322357,88935,28877,337,True,revenue_cost_styleA_202401.csv,117812,233422,204545,0.724110225619422,0.6345294192463635,956.5489614243323,良好
A-0009,田中製造,保守サポート,開発部,2024-01,520651,158042,35632,492,False,revenue_cost_styleA_202401.csv,193674,362609,326977,0.6964530942992523,0.6280156957347628,1058.2337398373984,良好
A-0010,林テクノ,受託開発,コンサル部,2024-02,2721975,1300902,298871,285,False,revenue_cost_styleA_202401.csv,1599773,1421073,1122202,0.522074229190202,0.41227491068066385,9550.78947368421,良好
A-0011,井上コーポ,研修・教育,コンサル部,2024-03,194987,77890,10828,262,True,revenue_cost_styleA_202401.csv,88718,117097,106269,0.6005374717288845,0.545005564473529,744.2251908396946,良好
A-0012,中村サービス,SaaS利用料,開発部,2024-01,362690,40877,16417,249,False,revenue_cost_styleA_202401.csv,57294,321813,305396,0.8872949350685159,0.842030384074554,1456.5863453815261,良好
A-0013,伊藤通信,研修・教育,開発部,2024-03,473676,120012,35828,67,False,revenue_cost_styleA_202401.csv,155840,353664,317836,0.7466369417069896,0.6709987417559682,7069.79104477612,良好
A-0014,株式会社山田商事,コンサルティング,営業部,2024-02,1249805,565402,150360,64,False,revenue_cost_styleA_202401.csv,715762,684403,534043,0.5476078268209841,0.42730105896519854,19528.203125,良好
A-0015,佐々木HD,研修・教育,営業部,2024-01,362789,141741,31525,480,True,revenue_cost_styleA_202401.csv,173266,221048,189523,0.6093018255790555,0.5224055856158815,755.8104166666667,良好
