month,plan,new_customers,churned_customers,total_customers,mrr,new_mrr,churned_mrr,cac_spend
2024-01,Basic,10,1,100,100000,10000,1000,20000
2024-01,Standard,8,1,50,150000,24000,3000,48000
2024-01,Premium,5,0,20,160000,40000,0,80000
2024-02,Basic,12,2,110,110000,12000,2000,24000
2024-02,Standard,9,1,58,174000,27000,3000,54000
2024-02,Premium,6,0,26,208000,48000,0,96000
2024-03,Basic,15,1,124,124000,15000,1000,30000
2024-03,Standard,10,2,66,198000,30000,6000,60000
2024-03,Premium,7,1,32,256000,56000,8000,112000
2024-04,Basic,18,2,140,140000,18000,2000,36000
2024-04,Standard,12,2,76,228000,36000,6000,72000
2024-04,Premium,8,1,39,312000,64000,8000,128000
2024-05,Basic,20,3,157,157000,20000,3000,40000
2024-05,Standard,14,3,87,261000,42000,9000,84000
2024-05,Premium,9,2,46,368000,72000,16000,144000
2024-06,Basic,22,2,177,177000,22000,2000,44000
2024-06,Standard,16,2,101,303000,48000,6000,96000
2024-06,Premium,10,1,55,440000,80000,8000,160000
2024-07,Basic,25,3,199,199000,25000,3000,50000
2024-07,Standard,18,3,116,348000,54000,9000,108000
2024-07,Premium,12,2,65,520000,96000,16000,192000
2024-08,Basic,28,2,225,225000,28000,2000,56000
2024-08,Standard,20,4,132,396000,60000,12000,120000
2024-08,Premium,14,1,78,624000,112000,8000,224000
2024-09,Basic,30,4,251,251000,30000,4000,60000
2024-09,Standard,22,3,151,453000,66000,9000,132000
2024-09,Premium,16,2,92,736000,128000,16000,256000
2024-10,Basic,32,3,280,280000,32000,3000,64000
2024-10,Standard,24,5,170,510000,72000,15000,144000
2024-10,Premium,18,3,107,856000,144000,24000,288000
2024-11,Basic,35,4,311,311000,35000,4000,70000
2024-11,Standard,26,4,192,576000,78000,12000,156000
2024-11,Premium,20,2,125,1000000,160000,16000,320000
2024-12,Basic,38,5,344,344000,38000,5000,76000
2024-12,Standard,28,6,214,642000,84000,18000,168000
2024-12,Premium,22,3,144,1152000,176000,24000,352000
