回答日,顧客コード,サービス区分,担当者,総合満足度,対応速度,品質,コスパ,推奨度
2024/12/22,C0001,ITサポート,高橋,2,4,2,1,4
2024/11/17,C0002,導入支援,鈴木,2,4,3,3,6
2024/05/22,C0003,保守,高橋,3,1,4,1,8
2024/12/19,C0004,ITサポート,鈴木,2,1,1,1,3
2024/04/17,C0005,コンサルティング,田中,5,2,2,2,7
2024/12/23,C0006,ITサポート,伊藤,2,4,3,3,2
2024/06/26,C0007,研修,伊藤,1,2,3,1,9
2024/08/04,C0008,ITサポート,鈴木,5,4,4,2,1
2024/02/19,C0009,研修,佐藤,1,3,5,1,9
2024/11/19,C0010,ITサポート,鈴木,5,4,3,1,8
2024/01/12,C0011,保守,田中,4,4,1,4,5
2024/09/14,C0012,導入支援,佐藤,4,2,5,3,9
2024/05/11,C0013,研修,高橋,4,4,5,3,5
2024/07/04,C0014,コンサルティング,田中,3,4,2,4,9
2024/06/18,C0015,研修,高橋,3,1,4,3,2
2024/11/05,C0016,導入支援,佐藤,3,3,3,3,9
2024/02/11,C0017,保守,伊藤,1,5,2,1,3
2024/07/25,C0018,導入支援,高橋,5,2,4,4,7
2024/12/06,C0019,ITサポート,田中,3,2,4,2,4
2024/01/20,C0020,研修,鈴木,4,5,5,3,6
2024/11/13,C0021,研修,鈴木,3,4,3,3,4
2024/11/27,C0022,コンサルティング,田中,2,3,1,5,2
2024/08/02,C0023,コンサルティング,佐藤,4,3,5,5,9
2024/04/08,C0024,保守,田中,2,3,2,3,2
2024/02/26,C0025,保守,田中,5,2,3,1,0
2024/06/17,C0026,研修,鈴木,2,4,1,1,9
2024/12/03,C0027,保守,高橋,4,4,3,2,0
2024/08/06,C0028,保守,高橋,1,1,4,4,1
2024/03/19,C0029,研修,田中,2,2,5,3,1
2024/02/10,C0030,コンサルティング,田中,5,4,5,5,9
2024/05/20,C0031,コンサルティング,伊藤,4,4,4,3,9
2024/02/06,C0032,導入支援,鈴木,5,5,1,5,1
2024/06/15,C0033,コンサルティング,佐藤,3,1,2,2,2
2024/07/02,C0034,研修,田中,2,1,4,4,9
2024/02/07,C0035,導入支援,鈴木,1,2,3,3,7
2024/11/21,C0036,ITサポート,佐藤,3,5,2,4,1
2024/04/05,C0037,研修,佐藤,2,3,2,1,0
2024/05/07,C0038,コンサルティング,鈴木,5,5,3,4,1
2024/05/02,C0039,導入支援,鈴木,4,3,5,5,7
2024/06/05,C0040,導入支援,田中,5,1,4,3,9
2024/03/03,C0041,保守,田中,1,2,5,5,0
2024/07/08,C0042,保守,伊藤,1,2,4,5,10
2024/04/22,C0043,導入支援,鈴木,2,5,4,4,1
2024/01/19,C0044,導入支援,鈴木,4,3,3,1,2
2024/07/28,C0045,保守,高橋,4,3,4,5,0
2024/04/20,C0046,導入支援,田中,3,3,3,1,6
2024/08/08,C0047,研修,田中,5,4,4,1,3
2024/06/08,C0048,研修,鈴木,5,4,4,1,3
2024/11/15,C0049,保守,伊藤,2,3,4,4,1
2024/03/11,C0050,ITサポート,伊藤,2,2,3,5,0
2024/11/28,C0051,研修,高橋,1,2,1,4,1
2024/01/26,C0052,コンサルティング,高橋,3,5,3,4,7
2024/06/07,C0053,導入支援,佐藤,4,5,2,4,3
2024/09/22,C0054,研修,伊藤,2,1,3,4,5
2024/05/12,C0055,研修,鈴木,1,3,3,5,9
2024/01/27,C0056,導入支援,佐藤,4,5,4,3,5
2024/01/11,C0057,研修,伊藤,4,4,3,2,3
2024/12/15,C0058,研修,高橋,2,4,1,3,7
2024/03/17,C0059,導入支援,高橋,2,4,1,2,8
2024/02/21,C0060,研修,鈴木,1,4,1,5,7
2024/04/21,C0061,ITサポート,佐藤,4,2,1,4,4
2024/09/17,C0062,保守,伊藤,4,1,3,5,6
2024/04/23,C0063,保守,高橋,5,1,5,1,3
2024/01/02,C0064,保守,佐藤,1,4,1,1,7
2024/10/18,C0065,コンサルティング,鈴木,1,1,3,1,4
2024/10/17,C0066,保守,鈴木,4,2,2,5,6
2024/08/25,C0067,研修,佐藤,2,2,1,5,6
2024/10/21,C0068,研修,佐藤,4,5,2,2,7
2024/06/20,C0069,保守,高橋,3,1,4,3,10
2024/10/19,C0070,研修,佐藤,1,4,3,5,4
2024/11/11,C0071,導入支援,鈴木,4,3,2,4,7
2024/11/26,C0072,ITサポート,佐藤,4,5,3,5,4
2024/04/06,C0073,保守,田中,4,3,1,5,10
2024/06/12,C0074,ITサポート,伊藤,4,3,2,5,5
2024/08/23,C0075,コンサルティング,佐藤,5,3,2,1,10
2024/09/15,C0076,ITサポート,鈴木,4,1,5,3,2
2024/03/22,C0077,ITサポート,鈴木,3,4,2,2,2
2024/11/06,C0078,研修,鈴木,5,5,3,2,4
2024/08/09,C0079,導入支援,鈴木,3,1,4,1,2
2024/12/09,C0080,コンサルティング,高橋,5,3,1,4,0
2024/02/16,C0081,保守,伊藤,1,4,3,3,9
2024/05/28,C0082,導入支援,鈴木,1,2,4,1,9
2024/11/12,C0083,研修,鈴木,5,2,1,4,4
2024/04/10,C0084,導入支援,田中,2,1,1,3,7
2024/09/07,C0085,ITサポート,田中,2,5,2,4,7
2024/10/12,C0086,保守,伊藤,4,5,2,4,10
2024/01/07,C0087,ITサポート,高橋,5,4,3,1,5
2024/03/04,C0088,コンサルティング,高橋,4,2,3,1,10
2024/04/13,C0089,保守,伊藤,3,1,4,3,3
2024/08/03,C0090,ITサポート,高橋,1,2,5,1,0
2024/07/13,C0091,保守,佐藤,2,5,2,1,8
2024/02/28,C0092,コンサルティング,伊藤,2,2,3,2,9
2024/04/01,C0093,ITサポート,鈴木,2,2,5,3,2
2024/04/11,C0094,ITサポート,田中,2,1,3,2,9
2024/12/05,C0095,保守,田中,2,3,1,2,6
2024/01/25,C0096,研修,田中,1,4,4,3,8
2024/11/20,C0097,研修,田中,4,5,2,5,0
2024/04/16,C0098,研修,鈴木,4,1,1,4,6
2024/02/04,C0099,導入支援,田中,4,4,1,1,5
2024/03/05,C0100,研修,佐藤,1,2,3,5,10
2024/09/16,C0101,研修,伊藤,3,4,5,5,4
2024/03/18,C0102,導入支援,伊藤,5,4,1,1,10
2024/07/10,C0103,研修,佐藤,4,4,2,4,5
2024/08/20,C0104,導入支援,高橋,4,1,3,4,5
2024/03/14,C0105,保守,鈴木,2,4,1,1,1
2024/07/11,C0106,ITサポート,高橋,1,3,2,5,0
2024/03/07,C0107,研修,伊藤,5,3,1,4,5
2024/04/02,C0108,導入支援,田中,3,5,3,3,1
2024/08/24,C0109,研修,伊藤,2,2,4,2,1
2024/05/23,C0110,保守,伊藤,3,1,3,5,3
2024/03/10,C0111,導入支援,伊藤,5,5,5,1,9
2024/05/09,C0112,保守,田中,2,3,3,3,5
2024/07/06,C0113,ITサポート,佐藤,2,5,4,1,2
2024/12/02,C0114,ITサポート,田中,5,2,4,4,7
2024/06/23,C0115,保守,佐藤,3,3,3,5,9
2024/01/09,C0116,ITサポート,田中,2,2,5,1,10
2024/08/14,C0117,ITサポート,鈴木,4,4,4,5,7
2024/01/08,C0118,導入支援,鈴木,2,5,1,3,6
2024/09/20,C0119,ITサポート,鈴木,5,4,5,3,0
2024/04/07,C0120,コンサルティング,高橋,5,1,1,2,4
2024/01/10,C0121,コンサルティング,佐藤,3,3,3,1,0
2024/12/11,C0122,導入支援,高橋,2,2,4,5,3
2024/06/22,C0123,研修,伊藤,3,1,4,1,6
2024/08/22,C0124,ITサポート,高橋,1,3,5,4,9
2024/10/10,C0125,導入支援,高橋,3,1,4,1,5
2024/03/15,C0126,コンサルティング,伊藤,4,3,1,4,1
2024/07/20,C0127,コンサルティング,高橋,5,4,5,1,6
2024/01/06,C0128,保守,鈴木,2,3,2,1,8
2024/04/03,C0129,ITサポート,伊藤,5,2,3,3,10
2024/08/10,C0130,コンサルティング,佐藤,1,2,3,2,2
2024/12/27,C0131,研修,佐藤,1,2,4,4,9
2024/09/08,C0132,研修,高橋,5,5,3,3,2
2024/02/03,C0133,導入支援,田中,4,4,3,3,9
2024/05/04,C0134,ITサポート,鈴木,5,1,3,4,7
2024/05/21,C0135,ITサポート,田中,3,3,1,1,9
2024/10/08,C0136,研修,伊藤,4,4,5,5,0
2024/07/03,C0137,導入支援,伊藤,2,3,5,4,8
2024/08/27,C0138,コンサルティング,田中,4,1,3,1,8
2024/12/18,C0139,コンサルティング,田中,2,4,4,5,8
2024/10/25,C0140,研修,佐藤,3,3,3,4,6
