ResponseDate,CustomerCode,ServiceType,Agent,OverallSat,ResponseSpeed,Quality,CostPerf,NPS
2024-04-18,C0141,保守,伊藤,1,3,1,3,1
2024-02-09,C0142,研修,高橋,3,3,5,2,5
2024-07-18,C0143,ITサポート,伊藤,2,3,3,4,2
2024-04-17,C0144,研修,田中,3,5,4,3,2
2024-08-20,C0145,研修,田中,4,5,3,1,5
2024-05-21,C0146,保守,佐藤,2,3,4,2,3
2024-06-12,C0147,コンサルティング,佐藤,1,3,1,5,8
2024-09-06,C0148,研修,田中,3,5,2,5,6
2024-01-03,C0149,コンサルティング,佐藤,2,5,2,4,0
2024-01-17,C0150,導入支援,鈴木,2,4,5,3,7
2024-03-06,C0151,コンサルティング,伊藤,2,3,4,2,5
2024-01-11,C0152,研修,高橋,4,3,4,5,8
2024-10-06,C0153,導入支援,佐藤,2,5,2,3,0
2024-05-13,C0154,導入支援,鈴木,5,1,5,1,4
2024-10-20,C0155,ITサポート,佐藤,3,4,5,2,6
2024-07-17,C0156,ITサポート,佐藤,4,3,1,4,0
2024-10-15,C0157,導入支援,伊藤,3,2,4,1,5
2024-12-16,C0158,コンサルティング,田中,3,1,3,2,2
2024-12-05,C0159,ITサポート,鈴木,4,2,4,4,9
2024-04-16,C0160,ITサポート,田中,1,3,2,2,8
2024-07-25,C0161,研修,伊藤,4,1,3,2,4
2024-01-20,C0162,ITサポート,田中,2,4,5,4,1
2024-01-24,C0163,ITサポート,高橋,5,5,1,5,9
2024-11-23,C0164,コンサルティング,佐藤,3,4,1,5,5
2024-07-28,C0165,コンサルティング,伊藤,4,2,1,5,5
2024-01-13,C0166,ITサポート,伊藤,5,5,5,5,0
2024-04-11,C0167,導入支援,高橋,1,4,3,3,0
2024-02-19,C0168,保守,田中,3,2,1,5,5
2024-05-15,C0169,コンサルティング,田中,3,5,3,2,10
2024-06-27,C0170,導入支援,高橋,2,2,1,4,0
2024-09-04,C0171,保守,佐藤,1,2,1,3,4
2024-10-12,C0172,研修,高橋,5,4,3,1,10
2024-11-01,C0173,コンサルティング,鈴木,3,1,3,3,1
2024-07-07,C0174,保守,高橋,4,4,4,3,2
2024-12-13,C0175,導入支援,高橋,3,5,3,1,6
2024-11-05,C0176,ITサポート,高橋,5,2,5,3,5
2024-05-04,C0177,ITサポート,田中,3,3,3,4,9
2024-09-23,C0178,導入支援,佐藤,4,3,4,1,5
2024-07-10,C0179,研修,高橋,3,1,1,4,5
2024-04-23,C0180,研修,佐藤,1,2,5,4,0
2024-02-28,C0181,コンサルティング,田中,2,3,3,4,9
2024-02-15,C0182,ITサポート,伊藤,2,4,3,3,7
2024-11-06,C0183,ITサポート,伊藤,2,5,3,4,5
2024-03-14,C0184,保守,佐藤,1,1,2,4,8
