調査日,顧客ID,サービス種別,対応者,総合評価,速度評価,品質評価,費用対効果,NPS推奨
2024/12/22,C0281,導入支援,佐藤,5,3,3,4,7
2024/11/17,C0282,研修,鈴木,3,3,3,5,7
2024/05/22,C0283,導入支援,田中,4,3,2,3,5
2024/12/19,C0284,導入支援,田中,5,2,2,1,4
2024/04/17,C0285,研修,伊藤,5,4,3,2,3
2024/12/23,C0286,保守,佐藤,4,5,2,4,8
2024/06/26,C0287,保守,鈴木,4,4,4,2,5
2024/08/04,C0288,コンサルティング,佐藤,5,4,2,5,10
2024/02/19,C0289,ITサポート,伊藤,1,1,1,1,6
2024/11/19,C0290,コンサルティング,佐藤,1,2,1,2,8
2024/01/12,C0291,導入支援,鈴木,1,5,5,4,10
2024/09/14,C0292,導入支援,田中,1,5,5,4,0
2024/05/11,C0293,ITサポート,伊藤,3,5,3,1,8
2024/07/04,C0294,導入支援,佐藤,1,1,5,2,3
2024/06/18,C0295,コンサルティング,伊藤,5,3,3,3,6
2024/11/05,C0296,ITサポート,鈴木,4,4,5,2,3
2024/02/11,C0297,保守,田中,1,1,4,4,6
2024/07/25,C0298,研修,高橋,1,1,2,1,7
2024/12/06,C0299,導入支援,鈴木,5,1,5,1,3
2024/01/20,C0300,コンサルティング,伊藤,4,3,1,1,10
2024/11/13,C0301,保守,伊藤,5,1,2,3,0
2024/11/27,C0302,コンサルティング,伊藤,2,4,1,3,2
2024/08/02,C0303,研修,佐藤,5,4,5,3,6
2024/04/08,C0304,コンサルティング,田中,5,3,1,1,6
2024/02/26,C0305,コンサルティング,田中,3,5,5,5,6
2024/06/17,C0306,保守,田中,3,4,4,2,5
2024/12/03,C0307,研修,高橋,4,2,5,4,1
2024/08/06,C0308,研修,鈴木,2,1,1,3,2
2024/03/19,C0309,導入支援,佐藤,4,3,3,1,1
2024/02/10,C0310,ITサポート,鈴木,4,3,3,1,2
2024/05/20,C0311,ITサポート,佐藤,4,4,5,5,8
2024/02/06,C0312,導入支援,田中,1,1,3,5,1
2024/06/15,C0313,研修,伊藤,3,4,1,3,6
2024/07/02,C0314,導入支援,田中,5,2,5,5,2
2024/02/07,C0315,導入支援,佐藤,2,3,3,3,7
2024/11/21,C0316,コンサルティング,田中,2,4,3,4,4
2024/04/05,C0317,導入支援,田中,3,3,2,4,9
2024/05/07,C0318,研修,佐藤,4,1,2,3,0
2024/05/02,C0319,導入支援,鈴木,5,4,3,4,5
2024/06/05,C0320,導入支援,伊藤,2,3,3,5,3
2024/03/03,C0321,導入支援,鈴木,2,4,3,3,10
2024/07/08,C0322,導入支援,伊藤,2,3,4,3,6
2024/04/22,C0323,保守,田中,5,2,5,5,2
2024/01/19,C0324,研修,田中,4,2,4,3,1
2024/07/28,C0325,導入支援,高橋,2,3,2,3,10
2024/04/20,C0326,コンサルティング,高橋,4,1,4,5,7
2024/08/08,C0327,研修,高橋,5,5,4,5,0
2024/06/08,C0328,保守,伊藤,5,1,1,2,10
2024/11/15,C0329,保守,佐藤,5,1,5,4,5
2024/03/11,C0330,導入支援,田中,1,1,3,2,8
2024/11/28,C0331,研修,伊藤,5,5,2,4,5
2024/01/26,C0332,導入支援,高橋,5,5,2,3,0
2024/06/07,C0333,導入支援,田中,3,4,1,1,2
2024/09/22,C0334,保守,鈴木,3,4,2,5,7
2024/05/12,C0335,保守,高橋,1,4,4,3,1
2024/01/27,C0336,保守,田中,1,1,3,1,10
2024/01/11,C0337,コンサルティング,佐藤,5,2,5,2,5
2024/12/15,C0338,研修,高橋,4,2,4,2,2
2024/03/17,C0339,導入支援,高橋,1,5,2,4,9
2024/02/21,C0340,導入支援,高橋,1,2,2,3,1
2024/04/21,C0341,研修,田中,5,2,3,3,3
2024/09/17,C0342,導入支援,田中,3,4,5,3,9
2024/04/23,C0343,導入支援,伊藤,4,5,1,3,5
2024/01/02,C0344,導入支援,伊藤,2,3,5,5,1
2024/10/18,C0345,コンサルティング,鈴木,1,2,3,1,2
2024/10/17,C0346,保守,佐藤,5,4,4,5,2
2024/08/25,C0347,研修,高橋,4,2,4,5,10
2024/10/21,C0348,コンサルティング,伊藤,2,4,3,2,2
2024/06/20,C0349,保守,高橋,5,1,3,1,7
2024/10/19,C0350,コンサルティング,佐藤,4,5,5,4,6
2024/11/11,C0351,導入支援,高橋,4,4,2,1,9
2024/11/26,C0352,ITサポート,佐藤,3,1,3,2,8
2024/04/06,C0353,保守,佐藤,4,5,4,5,8
2024/06/12,C0354,ITサポート,伊藤,1,3,5,3,8
2024/08/23,C0355,ITサポート,高橋,5,2,4,1,10
2024/09/15,C0356,コンサルティング,鈴木,1,4,3,3,1
2024/03/22,C0357,導入支援,田中,2,2,5,3,9
2024/11/06,C0358,導入支援,佐藤,5,2,2,2,0
2024/08/09,C0359,研修,鈴木,5,3,5,5,2
2024/12/09,C0360,保守,鈴木,3,5,3,5,10
2024/02/16,C0361,ITサポート,佐藤,4,1,3,2,2
2024/05/28,C0362,コンサルティング,佐藤,3,2,4,4,2
2024/11/12,C0363,研修,鈴木,4,4,4,1,10
2024/04/10,C0364,ITサポート,高橋,5,3,3,4,7
2024/09/07,C0365,保守,伊藤,1,1,4,3,1
2024/10/12,C0366,研修,高橋,2,4,2,4,4
2024/01/07,C0367,保守,鈴木,3,5,5,2,9
2024/03/04,C0368,導入支援,鈴木,1,1,1,4,0
2024/04/13,C0369,ITサポート,佐藤,4,4,1,4,3
2024/08/03,C0370,コンサルティング,鈴木,2,3,1,3,4
2024/07/13,C0371,ITサポート,鈴木,2,1,4,3,3
2024/02/28,C0372,導入支援,田中,1,1,2,4,1
2024/04/01,C0373,コンサルティング,伊藤,2,5,4,1,0
2024/04/11,C0374,保守,田中,4,2,4,1,3
2024/12/05,C0375,導入支援,田中,1,1,3,3,4
2024/01/25,C0376,コンサルティング,高橋,2,2,1,5,9
2024/11/20,C0377,ITサポート,伊藤,2,4,3,2,10
2024/04/16,C0378,コンサルティング,高橋,5,4,2,1,1
2024/02/04,C0379,コンサルティング,田中,5,4,3,4,5
2024/03/05,C0380,コンサルティング,佐藤,3,1,2,5,9
2024/09/16,C0381,研修,伊藤,3,1,3,2,8
2024/03/18,C0382,研修,伊藤,2,4,3,1,3
2024/07/10,C0383,導入支援,高橋,1,2,4,5,1
2024/08/20,C0384,研修,田中,3,3,2,4,9
2024/03/14,C0385,導入支援,鈴木,5,2,4,1,0
2024/07/11,C0386,研修,田中,1,3,2,1,0
2024/03/07,C0387,導入支援,伊藤,3,5,4,4,6
2024/04/02,C0388,ITサポート,伊藤,5,5,2,3,1
2024/08/24,C0389,保守,田中,5,2,2,5,5
2024/05/23,C0390,導入支援,伊藤,1,3,4,2,0
2024/03/10,C0391,コンサルティング,田中,4,1,4,5,9
2024/05/09,C0392,ITサポート,鈴木,2,1,1,2,0
2024/07/06,C0393,コンサルティング,高橋,3,5,5,3,2
2024/12/02,C0394,保守,佐藤,3,1,1,3,6
2024/06/23,C0395,保守,伊藤,1,3,5,1,7
2024/01/09,C0396,導入支援,伊藤,3,1,4,5,2
2024/08/14,C0397,保守,佐藤,3,1,5,1,3
2024/01/08,C0398,研修,田中,1,1,2,1,7
2024/09/20,C0399,保守,高橋,2,2,1,5,10
2024/04/07,C0400,導入支援,佐藤,3,2,4,3,4
2024/01/10,C0401,ITサポート,伊藤,3,1,5,1,2
2024/12/11,C0402,コンサルティング,伊藤,1,4,1,4,4
2024/06/22,C0403,保守,鈴木,1,5,4,1,5
2024/08/22,C0404,コンサルティング,鈴木,5,3,5,2,7
2024/10/10,C0405,保守,伊藤,4,2,5,2,2
2024/03/15,C0406,ITサポート,高橋,1,2,5,3,10
2024/07/20,C0407,ITサポート,鈴木,1,4,3,1,3
2024/01/06,C0408,研修,佐藤,4,4,1,2,4
2024/04/03,C0409,ITサポート,田中,2,5,4,3,7
2024/08/10,C0410,ITサポート,伊藤,1,5,2,4,1
2024/12/27,C0411,研修,伊藤,1,4,2,2,4
2024/09/08,C0412,保守,鈴木,4,3,3,4,4
2024/02/03,C0413,コンサルティング,田中,2,2,5,1,2
2024/05/04,C0414,ITサポート,佐藤,4,4,3,4,1
2024/05/21,C0415,研修,鈴木,2,4,3,4,4
