response_date,customer_code,service_type,agent,overall_sat,response_speed,quality,cost_perf,nps,csat_score,nps_category,satisfaction_flag,source_file
2024-12-22,C0001,ITサポート,高橋,2,4,2,1,4,2.25,批判者,不満,satisfaction_styleA.csv
2024-11-17,C0002,導入支援,鈴木,2,4,3,3,6,3.0,批判者,普通,satisfaction_styleA.csv
2024-05-22,C0003,保守,高橋,3,1,4,1,8,2.25,中立者,不満,satisfaction_styleA.csv
2024-12-19,C0004,ITサポート,鈴木,2,1,1,1,3,1.25,批判者,不満,satisfaction_styleA.csv
2024-04-17,C0005,コンサルティング,田中,5,2,2,2,7,2.75,中立者,不満,satisfaction_styleA.csv
2024-12-23,C0006,ITサポート,伊藤,2,4,3,3,2,3.0,批判者,普通,satisfaction_styleA.csv
2024-06-26,C0007,研修,伊藤,1,2,3,1,9,1.75,推奨者,不満,satisfaction_styleA.csv
2024-08-04,C0008,ITサポート,鈴木,5,4,4,2,1,3.75,批判者,普通,satisfaction_styleA.csv
2024-02-19,C0009,研修,佐藤,1,3,5,1,9,2.5,推奨者,不満,satisfaction_styleA.csv
2024-11-19,C0010,ITサポート,鈴木,5,4,3,1,8,3.25,中立者,普通,satisfaction_styleA.csv
2024-01-12,C0011,保守,田中,4,4,1,4,5,3.25,批判者,普通,satisfaction_styleA.csv
2024-09-14,C0012,導入支援,佐藤,4,2,5,3,9,3.5,推奨者,普通,satisfaction_styleA.csv
2024-05-11,C0013,研修,高橋,4,4,5,3,5,4.0,批判者,満足,satisfaction_styleA.csv
2024-07-04,C0014,コンサルティング,田中,3,4,2,4,9,3.25,推奨者,普通,satisfaction_styleA.csv
2024-06-18,C0015,研修,高橋,3,1,4,3,2,2.75,批判者,不満,satisfaction_styleA.csv
2024-11-05,C0016,導入支援,佐藤,3,3,3,3,9,3.0,推奨者,普通,satisfaction_styleA.csv
2024-02-11,C0017,保守,伊藤,1,5,2,1,3,2.25,批判者,不満,satisfaction_styleA.csv
2024-07-25,C0018,導入支援,高橋,5,2,4,4,7,3.75,中立者,普通,satisfaction_styleA.csv
2024-12-06,C0019,ITサポート,田中,3,2,4,2,4,2.75,批判者,不満,satisfaction_styleA.csv
2024-01-20,C0020,研修,鈴木,4,5,5,3,6,4.25,批判者,満足,satisfaction_styleA.csv
2024-11-13,C0021,研修,鈴木,3,4,3,3,4,3.25,批判者,普通,satisfaction_styleA.csv
2024-11-27,C0022,コンサルティング,田中,2,3,1,5,2,2.75,批判者,不満,satisfaction_styleA.csv
2024-08-02,C0023,コンサルティング,佐藤,4,3,5,5,9,4.25,推奨者,満足,satisfaction_styleA.csv
2024-04-08,C0024,保守,田中,2,3,2,3,2,2.5,批判者,不満,satisfaction_styleA.csv
2024-02-26,C0025,保守,田中,5,2,3,1,0,2.75,批判者,不満,satisfaction_styleA.csv
2024-06-17,C0026,研修,鈴木,2,4,1,1,9,2.0,推奨者,不満,satisfaction_styleA.csv
2024-12-03,C0027,保守,高橋,4,4,3,2,0,3.25,批判者,普通,satisfaction_styleA.csv
2024-08-06,C0028,保守,高橋,1,1,4,4,1,2.5,批判者,不満,satisfaction_styleA.csv
2024-03-19,C0029,研修,田中,2,2,5,3,1,3.0,批判者,普通,satisfaction_styleA.csv
2024-02-10,C0030,コンサルティング,田中,5,4,5,5,9,4.75,推奨者,満足,satisfaction_styleA.csv
2024-05-20,C0031,コンサルティング,伊藤,4,4,4,3,9,3.75,推奨者,普通,satisfaction_styleA.csv
2024-02-06,C0032,導入支援,鈴木,5,5,1,5,1,4.0,批判者,満足,satisfaction_styleA.csv
2024-06-15,C0033,コンサルティング,佐藤,3,1,2,2,2,2.0,批判者,不満,satisfaction_styleA.csv
2024-07-02,C0034,研修,田中,2,1,4,4,9,2.75,推奨者,不満,satisfaction_styleA.csv
2024-02-07,C0035,導入支援,鈴木,1,2,3,3,7,2.25,中立者,不満,satisfaction_styleA.csv
2024-11-21,C0036,ITサポート,佐藤,3,5,2,4,1,3.5,批判者,普通,satisfaction_styleA.csv
2024-04-05,C0037,研修,佐藤,2,3,2,1,0,2.0,批判者,不満,satisfaction_styleA.csv
2024-05-07,C0038,コンサルティング,鈴木,5,5,3,4,1,4.25,批判者,満足,satisfaction_styleA.csv
2024-05-02,C0039,導入支援,鈴木,4,3,5,5,7,4.25,中立者,満足,satisfaction_styleA.csv
2024-06-05,C0040,導入支援,田中,5,1,4,3,9,3.25,推奨者,普通,satisfaction_styleA.csv
2024-03-03,C0041,保守,田中,1,2,5,5,0,3.25,批判者,普通,satisfaction_styleA.csv
2024-07-08,C0042,保守,伊藤,1,2,4,5,10,3.0,推奨者,普通,satisfaction_styleA.csv
2024-04-22,C0043,導入支援,鈴木,2,5,4,4,1,3.75,批判者,普通,satisfaction_styleA.csv
2024-01-19,C0044,導入支援,鈴木,4,3,3,1,2,2.75,批判者,不満,satisfaction_styleA.csv
2024-07-28,C0045,保守,高橋,4,3,4,5,0,4.0,批判者,満足,satisfaction_styleA.csv
2024-04-20,C0046,導入支援,田中,3,3,3,1,6,2.5,批判者,不満,satisfaction_styleA.csv
2024-08-08,C0047,研修,田中,5,4,4,1,3,3.5,批判者,普通,satisfaction_styleA.csv
2024-06-08,C0048,研修,鈴木,5,4,4,1,3,3.5,批判者,普通,satisfaction_styleA.csv
2024-11-15,C0049,保守,伊藤,2,3,4,4,1,3.25,批判者,普通,satisfaction_styleA.csv
2024-03-11,C0050,ITサポート,伊藤,2,2,3,5,0,3.0,批判者,普通,satisfaction_styleA.csv
2024-11-28,C0051,研修,高橋,1,2,1,4,1,2.0,批判者,不満,satisfaction_styleA.csv
2024-01-26,C0052,コンサルティング,高橋,3,5,3,4,7,3.75,中立者,普通,satisfaction_styleA.csv
2024-06-07,C0053,導入支援,佐藤,4,5,2,4,3,3.75,批判者,普通,satisfaction_styleA.csv
2024-09-22,C0054,研修,伊藤,2,1,3,4,5,2.5,批判者,不満,satisfaction_styleA.csv
