sale_date,service_id,service_name,category,client_id,revenue,cost,gross_profit,gross_margin,profit_flag,margin_grade,source_file
2024-01-01,SVC-001,清掃,定期契約,CLI-001,385243,78369,306874,0.7965725529081644,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-001,清掃,スポット,CLI-002,63112,38024,25088,0.39751552795031053,黒字,中利益,service_revenue_styleA.csv
2024-01-01,SVC-001,清掃,複合,CLI-003,178393,78513,99880,0.559887439529578,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-001,清掃,定期契約,CLI-004,123158,33434,89724,0.7285275824550578,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-001,清掃,スポット,CLI-005,404785,305929,98856,0.2442185357659004,黒字,中利益,service_revenue_styleA.csv
2024-01-01,SVC-002,警備,複合,CLI-001,95580,58698,36882,0.38587570621468925,黒字,中利益,service_revenue_styleA.csv
2024-01-01,SVC-002,警備,定期契約,CLI-002,271208,28331,242877,0.8955377422494911,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-002,警備,スポット,CLI-003,65622,26140,39482,0.6016579805553016,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-002,警備,複合,CLI-004,164629,50495,114134,0.6932800417909359,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-002,警備,定期契約,CLI-005,314951,177815,137136,0.43542011296995403,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-003,設備管理,スポット,CLI-001,63912,33031,30881,0.48317999749655777,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-003,設備管理,複合,CLI-002,425400,515785,-90385,-0.2124706158909262,赤字,低利益,service_revenue_styleA.csv
2024-01-01,SVC-003,設備管理,定期契約,CLI-003,335706,239949,95757,0.28524065700344947,黒字,中利益,service_revenue_styleA.csv
2024-01-01,SVC-003,設備管理,スポット,CLI-004,165574,78878,86696,0.5236087791561477,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-003,設備管理,複合,CLI-005,358944,165852,193092,0.5379446376036373,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-004,受付代行,定期契約,CLI-001,474374,23407,450967,0.9506570764839557,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-004,受付代行,スポット,CLI-002,447833,103707,344126,0.7684248369369832,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-004,受付代行,複合,CLI-003,416026,241571,174455,0.41933677222096694,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-004,受付代行,定期契約,CLI-004,228389,92842,135547,0.5934918056473824,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-004,受付代行,スポット,CLI-005,131516,48221,83295,0.6333449922442896,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-005,IT保守,複合,CLI-001,450290,196472,253818,0.5636767416553776,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-005,IT保守,定期契約,CLI-002,103587,32156,71431,0.6895749466631913,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-005,IT保守,スポット,CLI-003,249191,45353,203838,0.8179990449093266,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-005,IT保守,複合,CLI-004,238208,110165,128043,0.5375260276732939,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-005,IT保守,定期契約,CLI-005,366526,158685,207841,0.5670566344543089,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-006,コールセンター,スポット,CLI-001,473167,42780,430387,0.9095879467503017,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-006,コールセンター,複合,CLI-002,432589,260870,171719,0.39695646445009003,黒字,中利益,service_revenue_styleA.csv
2024-01-01,SVC-006,コールセンター,定期契約,CLI-003,331137,52722,278415,0.8407849319163971,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-006,コールセンター,スポット,CLI-004,248461,265778,-17317,-0.06969705507101719,赤字,低利益,service_revenue_styleA.csv
2024-01-01,SVC-006,コールセンター,複合,CLI-005,203709,114800,88909,0.43645101590995,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-007,警備巡回,定期契約,CLI-001,352698,120814,231884,0.6574576549909554,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-007,警備巡回,スポット,CLI-002,419398,56466,362932,0.8653641648267278,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-007,警備巡回,複合,CLI-003,74025,34935,39090,0.52806484295846,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-007,警備巡回,定期契約,CLI-004,455310,171722,283588,0.6228459730732907,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-007,警備巡回,スポット,CLI-005,91833,76054,15779,0.1718227652368974,黒字,低利益,service_revenue_styleA.csv
2024-01-01,SVC-008,施設管理,複合,CLI-001,172049,217920,-45871,-0.26661590593377466,赤字,低利益,service_revenue_styleA.csv
2024-01-01,SVC-008,施設管理,定期契約,CLI-002,249295,92869,156426,0.6274734752000641,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-008,施設管理,スポット,CLI-003,287717,186640,101077,0.3513070134889492,黒字,中利益,service_revenue_styleA.csv
2024-01-01,SVC-008,施設管理,複合,CLI-004,487314,211277,276037,0.5664458644734196,黒字,高利益,service_revenue_styleA.csv
2024-01-01,SVC-008,施設管理,定期契約,CLI-005,135277,68520,66757,0.49348374076894075,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-001,清掃,スポット,CLI-001,236264,74921,161343,0.6828928656079639,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-001,清掃,複合,CLI-002,401364,159973,241391,0.6014266351740565,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-001,清掃,定期契約,CLI-003,417955,57435,360520,0.8625808998576402,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-001,清掃,スポット,CLI-004,369360,109725,259635,0.7029320987654321,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-001,清掃,複合,CLI-005,330043,211136,118907,0.3602772972006678,黒字,中利益,service_revenue_styleA.csv
2024-01-02,SVC-002,警備,定期契約,CLI-001,178351,62834,115517,0.6476947143554003,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-002,警備,スポット,CLI-002,292357,119471,172886,0.5913523534582719,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-002,警備,複合,CLI-003,191530,77570,113960,0.594998172610035,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-002,警備,定期契約,CLI-004,408935,190017,218918,0.5353369117341387,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-002,警備,スポット,CLI-005,491897,49327,442570,0.8997208765249636,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-003,設備管理,複合,CLI-001,170087,127715,42372,0.24911956822096926,黒字,中利益,service_revenue_styleA.csv
2024-01-02,SVC-003,設備管理,定期契約,CLI-002,66829,83620,-16791,-0.25125319846174565,赤字,低利益,service_revenue_styleA.csv
2024-01-02,SVC-003,設備管理,スポット,CLI-003,260325,90186,170139,0.6535638144626909,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-003,設備管理,複合,CLI-004,84701,33826,50875,0.6006422592413313,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-003,設備管理,定期契約,CLI-005,347365,184981,162384,0.4674736948166914,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-004,受付代行,スポット,CLI-001,161477,105909,55568,0.3441233116790626,黒字,中利益,service_revenue_styleA.csv
2024-01-02,SVC-004,受付代行,複合,CLI-002,311740,123712,188028,0.6031564765509719,黒字,高利益,service_revenue_styleA.csv
2024-01-02,SVC-004,受付代行,定期契約,CLI-003,387039,260570,126469,0.3267603523159165,黒字,中利益,service_revenue_styleA.csv
