計上日,記録ID,工事番号,工種,費目,予算額,実績額,予算超過
2024/01/09,CST-0001,PROJ-04,コンクリート工,材料費,1440975,1104937,0
2024/01/18,CST-0002,PROJ-02,仮設工,材料費,1644492,1252275,0
2024/01/08,CST-0003,PROJ-01,コンクリート工,外注費,162489,122876,0
2024/01/14,CST-0004,PROJ-04,仮設工,外注費,1462906,1639617,1
2024/01/01,CST-0005,PROJ-03,仮設工,労務費,683408,810288,1
2024/01/11,CST-0006,PROJ-02,土工,労務費,682738,541607,0
2024/01/12,CST-0007,PROJ-05,土工,外注費,302828,277205,0
2024/01/13,CST-0008,PROJ-02,鉄筋工,外注費,1063483,1086599,1
2024/01/12,CST-0009,PROJ-04,土工,材料費,1397129,1720244,1
2024/01/10,CST-0010,PROJ-02,コンクリート工,材料費,1486769,1244037,0
2024/01/12,CST-0011,PROJ-03,鉄筋工,労務費,897182,777663,0
2024/01/03,CST-0012,PROJ-03,コンクリート工,材料費,539368,594440,1
2024/01/18,CST-0013,PROJ-04,鉄筋工,材料費,1069429,992080,0
2024/01/11,CST-0014,PROJ-07,鉄筋工,材料費,580348,692402,1
2024/01/19,CST-0015,PROJ-06,コンクリート工,外注費,542463,676929,1
2024/01/15,CST-0016,PROJ-03,鉄筋工,材料費,1146963,1075139,0
2024/01/18,CST-0017,PROJ-05,仮設工,外注費,617215,707941,1
2024/01/05,CST-0018,PROJ-08,土工,材料費,937603,859967,0
2024/01/06,CST-0019,PROJ-07,土工,労務費,1905863,1459489,0
2024/01/15,CST-0020,PROJ-05,土工,外注費,900313,952110,1
2024/01/18,CST-0021,PROJ-05,鉄筋工,材料費,1611463,1238781,0
2024/01/15,CST-0022,PROJ-01,鉄筋工,外注費,715514,687508,0
2024/01/04,CST-0023,PROJ-05,コンクリート工,材料費,1697950,1370570,0
2024/01/18,CST-0024,PROJ-01,鉄筋工,労務費,884154,1023413,1
2024/01/12,CST-0025,PROJ-05,コンクリート工,材料費,140845,108045,0
2024/01/03,CST-0026,PROJ-02,仮設工,材料費,605144,742394,1
2024/01/05,CST-0027,PROJ-03,仮設工,外注費,1695098,1728362,1
2024/01/20,CST-0028,PROJ-07,コンクリート工,外注費,446296,383383,0
2024/01/07,CST-0029,PROJ-05,仮設工,外注費,1683905,1916214,1
2024/01/17,CST-0030,PROJ-08,土工,材料費,1462893,1351789,0
2024/01/01,CST-0031,PROJ-04,コンクリート工,材料費,571224,421800,0
2024/01/02,CST-0032,PROJ-04,土工,材料費,248883,279919,1
2024/01/17,CST-0033,PROJ-04,鉄筋工,外注費,1902786,1709191,0
2024/01/05,CST-0034,PROJ-08,コンクリート工,労務費,1117987,926299,0
2024/01/04,CST-0035,PROJ-02,仮設工,労務費,1793443,1693433,0
2024/01/02,CST-0036,PROJ-02,土工,労務費,988308,935593,0
2024/01/04,CST-0037,PROJ-04,コンクリート工,材料費,1627174,1470284,0
2024/01/14,CST-0038,PROJ-03,鉄筋工,労務費,1224672,1186913,0
2024/01/03,CST-0039,PROJ-08,土工,材料費,623882,764063,1
2024/01/01,CST-0040,PROJ-02,コンクリート工,材料費,1467646,1907307,1
2024/01/07,CST-0041,PROJ-07,土工,材料費,952312,944107,0
2024/01/13,CST-0042,PROJ-05,仮設工,労務費,894764,627491,0
2024/01/18,CST-0043,PROJ-08,コンクリート工,材料費,987110,1103544,1
2024/01/02,CST-0044,PROJ-01,鉄筋工,材料費,722241,599908,0
2024/01/17,CST-0045,PROJ-03,土工,外注費,205156,215517,1
2024/01/03,CST-0046,PROJ-02,コンクリート工,労務費,268005,324501,1
2024/01/19,CST-0047,PROJ-04,土工,外注費,351420,444531,1
2024/01/19,CST-0048,PROJ-06,鉄筋工,材料費,271931,258751,0
2024/01/08,CST-0049,PROJ-05,仮設工,材料費,1504517,1699675,1
