RecordDate,RecordID,ProjectNo,WorkType,CostCategory,BudgetAmount,ActualAmount,IsOverBudget
2024-01-14,CST-0161,PROJ-06,鉄筋工,材料費,1720417,2019775,1
2024-01-19,CST-0162,PROJ-08,コンクリート工,労務費,693156,787169,1
2024-01-11,CST-0163,PROJ-07,仮設工,労務費,1229485,1217933,0
2024-01-08,CST-0164,PROJ-07,コンクリート工,労務費,1923686,1564324,0
2024-01-16,CST-0165,PROJ-07,仮設工,外注費,191535,170639,0
2024-01-05,CST-0166,PROJ-08,土工,材料費,1761769,2100818,1
2024-01-11,CST-0167,PROJ-02,仮設工,材料費,1153380,1475417,1
2024-01-01,CST-0168,PROJ-03,仮設工,外注費,1202999,1499255,1
2024-01-09,CST-0169,PROJ-06,仮設工,外注費,423718,315626,0
2024-01-18,CST-0170,PROJ-07,鉄筋工,外注費,268433,325088,1
2024-01-16,CST-0171,PROJ-01,土工,材料費,1607259,1980887,1
2024-01-10,CST-0172,PROJ-04,土工,労務費,1423640,1581151,1
2024-01-04,CST-0173,PROJ-08,コンクリート工,外注費,306450,354324,1
2024-01-02,CST-0174,PROJ-06,土工,労務費,728025,904246,1
2024-01-05,CST-0175,PROJ-04,仮設工,外注費,851752,787789,0
2024-01-06,CST-0176,PROJ-03,土工,外注費,1529839,1798343,1
2024-01-08,CST-0177,PROJ-08,コンクリート工,材料費,1926283,1790531,0
2024-01-15,CST-0178,PROJ-05,土工,労務費,1067101,1155395,1
2024-01-18,CST-0179,PROJ-03,土工,労務費,1989973,1736408,0
2024-01-10,CST-0180,PROJ-07,鉄筋工,労務費,824703,1066003,1
2024-01-13,CST-0181,PROJ-08,土工,材料費,1872730,1650386,0
2024-01-19,CST-0182,PROJ-05,鉄筋工,材料費,899778,938606,1
2024-01-09,CST-0183,PROJ-01,土工,外注費,1840714,2015467,1
2024-01-10,CST-0184,PROJ-04,鉄筋工,材料費,1662739,1659473,0
2024-01-09,CST-0185,PROJ-03,土工,外注費,1435084,1168272,0
2024-01-15,CST-0186,PROJ-01,鉄筋工,外注費,1455474,1053258,0
2024-01-10,CST-0187,PROJ-06,仮設工,材料費,375590,283224,0
2024-01-18,CST-0188,PROJ-06,鉄筋工,材料費,521097,406088,0
2024-01-16,CST-0189,PROJ-05,鉄筋工,材料費,638905,797627,1
2024-01-05,CST-0190,PROJ-04,仮設工,外注費,1082162,1382717,1
2024-01-13,CST-0191,PROJ-01,鉄筋工,外注費,867085,653939,0
2024-01-09,CST-0192,PROJ-07,鉄筋工,材料費,359184,349439,0
2024-01-01,CST-0193,PROJ-06,コンクリート工,外注費,1515234,1273240,0
2024-01-15,CST-0194,PROJ-05,仮設工,材料費,232575,251469,1
2024-01-02,CST-0195,PROJ-05,仮設工,材料費,393133,285889,0
2024-01-18,CST-0196,PROJ-03,仮設工,労務費,303826,255481,0
2024-01-18,CST-0197,PROJ-07,コンクリート工,労務費,878067,967885,1
2024-01-16,CST-0198,PROJ-07,鉄筋工,材料費,1473470,1118972,0
2024-01-15,CST-0199,PROJ-08,コンクリート工,労務費,1547623,1427400,0
2024-01-12,CST-0200,PROJ-06,土工,労務費,308361,397340,1
2024-01-04,CST-0201,PROJ-08,土工,外注費,678565,552273,0
2024-01-20,CST-0202,PROJ-01,土工,労務費,544818,591139,1
2024-01-19,CST-0203,PROJ-04,土工,外注費,610800,789943,1
2024-01-08,CST-0204,PROJ-06,コンクリート工,外注費,534440,562139,1
2024-01-05,CST-0205,PROJ-03,鉄筋工,材料費,105946,91787,0
2024-01-01,CST-0206,PROJ-03,土工,労務費,330532,362472,1
2024-01-19,CST-0207,PROJ-06,土工,材料費,1756717,2060732,1
2024-01-14,CST-0208,PROJ-02,土工,労務費,656516,480201,0
2024-01-17,CST-0209,PROJ-02,仮設工,外注費,1040101,1213600,1
2024-01-02,CST-0210,PROJ-05,仮設工,外注費,564623,715518,1
2024-01-16,CST-0211,PROJ-07,仮設工,外注費,165327,121762,0
2024-01-15,CST-0212,PROJ-02,土工,労務費,326412,324506,0
2024-01-05,CST-0213,PROJ-05,鉄筋工,労務費,1375692,1085421,0
2024-01-15,CST-0214,PROJ-07,土工,外注費,1352821,1377623,1
2024-01-18,CST-0215,PROJ-04,仮設工,労務費,339943,411900,1
2024-01-11,CST-0216,PROJ-08,仮設工,労務費,1962461,1642768,0
2024-01-14,CST-0217,PROJ-06,鉄筋工,労務費,1630108,1234075,0
2024-01-16,CST-0218,PROJ-02,土工,材料費,420107,467197,1
2024-01-12,CST-0219,PROJ-03,土工,外注費,295517,283438,0
2024-01-04,CST-0220,PROJ-07,鉄筋工,外注費,1277732,1325020,1
2024-01-02,CST-0221,PROJ-05,鉄筋工,労務費,1673460,1596082,0
2024-01-07,CST-0222,PROJ-03,仮設工,材料費,317266,332098,1
2024-01-18,CST-0223,PROJ-06,土工,労務費,1876864,1435671,0
2024-01-14,CST-0224,PROJ-01,鉄筋工,材料費,1303974,1089725,0
2024-01-10,CST-0225,PROJ-06,鉄筋工,材料費,478359,413284,0
2024-01-19,CST-0226,PROJ-07,土工,材料費,480435,587051,1
2024-01-01,CST-0227,PROJ-02,コンクリート工,労務費,1653924,1786077,1
2024-01-06,CST-0228,PROJ-06,鉄筋工,外注費,980452,953183,0
2024-01-19,CST-0229,PROJ-02,土工,材料費,780280,909885,1
2024-01-02,CST-0230,PROJ-02,鉄筋工,労務費,430112,495773,1
2024-01-20,CST-0231,PROJ-08,仮設工,労務費,1488186,1420337,0
2024-01-04,CST-0232,PROJ-06,仮設工,材料費,552080,636529,1
2024-01-19,CST-0233,PROJ-08,鉄筋工,材料費,694010,768220,1
2024-01-20,CST-0234,PROJ-01,土工,材料費,562460,527113,0
2024-01-05,CST-0235,PROJ-05,鉄筋工,労務費,732122,927740,1
2024-01-14,CST-0236,PROJ-03,コンクリート工,労務費,351625,247768,0
2024-01-17,CST-0237,PROJ-06,土工,労務費,1216906,1365615,1
2024-01-14,CST-0238,PROJ-01,仮設工,材料費,1907250,2184229,1
2024-01-14,CST-0239,PROJ-07,仮設工,労務費,1907975,1693969,0
2024-01-11,CST-0240,PROJ-03,仮設工,外注費,341536,322075,0
2024-01-04,CST-0241,PROJ-04,仮設工,外注費,858860,646616,0
2024-01-13,CST-0242,PROJ-05,鉄筋工,材料費,939804,953316,1
2024-01-03,CST-0243,PROJ-02,コンクリート工,労務費,798495,932219,1
