日付,管理番号,案件番号,作業区分,原価区分,予定金額,実際金額,オーバー
2024/01/20,CST-0321,PROJ-06,土工,材料費,1481462,1592108,1
2024/01/19,CST-0322,PROJ-05,コンクリート工,外注費,270336,196609,0
2024/01/01,CST-0323,PROJ-08,鉄筋工,外注費,973645,1042642,1
2024/01/13,CST-0324,PROJ-05,仮設工,材料費,733537,726030,0
2024/01/15,CST-0325,PROJ-07,仮設工,労務費,1544127,1136396,0
2024/01/05,CST-0326,PROJ-06,鉄筋工,外注費,527867,477252,0
2024/01/13,CST-0327,PROJ-03,鉄筋工,外注費,1905180,1728421,0
2024/01/08,CST-0328,PROJ-08,土工,労務費,1277867,975920,0
2024/01/04,CST-0329,PROJ-01,鉄筋工,労務費,1042871,885138,0
2024/01/08,CST-0330,PROJ-03,鉄筋工,外注費,1912282,2044662,1
2024/01/06,CST-0331,PROJ-08,仮設工,労務費,1612315,1431137,0
2024/01/01,CST-0332,PROJ-02,仮設工,外注費,1943555,1720287,0
2024/01/07,CST-0333,PROJ-06,土工,材料費,1058882,1355381,1
2024/01/16,CST-0334,PROJ-05,土工,材料費,690047,687933,0
2024/01/09,CST-0335,PROJ-06,仮設工,労務費,1003721,783264,0
2024/01/19,CST-0336,PROJ-04,鉄筋工,外注費,194880,183255,0
2024/01/17,CST-0337,PROJ-08,鉄筋工,外注費,705241,524783,0
2024/01/05,CST-0338,PROJ-02,仮設工,労務費,1526899,1628629,1
2024/01/18,CST-0339,PROJ-06,コンクリート工,材料費,1767020,2283118,1
2024/01/17,CST-0340,PROJ-01,土工,材料費,1363456,1370918,1
2024/01/16,CST-0341,PROJ-08,コンクリート工,外注費,387386,437031,1
2024/01/11,CST-0342,PROJ-06,コンクリート工,労務費,1973032,1991387,1
2024/01/10,CST-0343,PROJ-06,仮設工,外注費,1392895,1592903,1
2024/01/01,CST-0344,PROJ-06,鉄筋工,外注費,1280537,1126711,0
2024/01/19,CST-0345,PROJ-05,土工,外注費,329857,424835,1
2024/01/19,CST-0346,PROJ-04,土工,外注費,1095287,941200,0
2024/01/20,CST-0347,PROJ-07,コンクリート工,外注費,1107574,888614,0
2024/01/04,CST-0348,PROJ-04,土工,労務費,607923,437061,0
2024/01/14,CST-0349,PROJ-04,仮設工,外注費,757860,720928,0
2024/01/16,CST-0350,PROJ-01,コンクリート工,外注費,1725234,1840629,1
2024/01/16,CST-0351,PROJ-07,鉄筋工,材料費,534827,554365,1
2024/01/11,CST-0352,PROJ-06,鉄筋工,外注費,1063984,1327080,1
2024/01/08,CST-0353,PROJ-05,鉄筋工,材料費,1115399,909450,0
2024/01/07,CST-0354,PROJ-08,鉄筋工,労務費,724142,841963,1
2024/01/09,CST-0355,PROJ-05,土工,外注費,831493,861670,1
2024/01/13,CST-0356,PROJ-06,コンクリート工,労務費,1518979,1558342,1
2024/01/03,CST-0357,PROJ-06,仮設工,外注費,188219,164235,0
2024/01/07,CST-0358,PROJ-04,鉄筋工,外注費,637801,732452,1
2024/01/04,CST-0359,PROJ-04,コンクリート工,材料費,1559977,1346217,0
2024/01/08,CST-0360,PROJ-04,土工,材料費,1504743,1870561,1
2024/01/16,CST-0361,PROJ-02,コンクリート工,材料費,966755,868316,0
2024/01/06,CST-0362,PROJ-07,仮設工,労務費,1254172,1613801,1
2024/01/10,CST-0363,PROJ-06,鉄筋工,外注費,1464278,1200229,0
2024/01/03,CST-0364,PROJ-04,土工,材料費,224072,278916,1
2024/01/06,CST-0365,PROJ-01,仮設工,労務費,976368,1200295,1
2024/01/10,CST-0366,PROJ-01,土工,労務費,490723,619275,1
2024/01/11,CST-0367,PROJ-05,仮設工,外注費,1291102,1370723,1
2024/01/05,CST-0368,PROJ-08,鉄筋工,材料費,1239383,1257466,1
2024/01/06,CST-0369,PROJ-08,鉄筋工,外注費,1796205,1378745,0
2024/01/11,CST-0370,PROJ-05,コンクリート工,材料費,490487,347485,0
2024/01/13,CST-0371,PROJ-07,鉄筋工,材料費,1381264,1676423,1
2024/01/06,CST-0372,PROJ-03,仮設工,労務費,940608,1036130,1
2024/01/13,CST-0373,PROJ-04,仮設工,労務費,620192,436675,0
2024/01/19,CST-0374,PROJ-01,鉄筋工,外注費,791274,697244,0
2024/01/02,CST-0375,PROJ-02,仮設工,労務費,854035,952813,1
2024/01/17,CST-0376,PROJ-05,土工,外注費,434950,410266,0
2024/01/08,CST-0377,PROJ-04,コンクリート工,労務費,718738,661617,0
2024/01/20,CST-0378,PROJ-06,仮設工,外注費,421253,409873,0
2024/01/18,CST-0379,PROJ-04,コンクリート工,外注費,1251828,1561878,1
2024/01/03,CST-0380,PROJ-08,鉄筋工,材料費,1682803,1779545,1
2024/01/18,CST-0381,PROJ-04,コンクリート工,材料費,1283147,984591,0
2024/01/15,CST-0382,PROJ-02,コンクリート工,外注費,788112,955736,1
2024/01/17,CST-0383,PROJ-08,土工,労務費,1322949,1314080,0
2024/01/15,CST-0384,PROJ-01,仮設工,外注費,376707,379701,1
2024/01/01,CST-0385,PROJ-07,鉄筋工,材料費,1792224,1585942,0
2024/01/03,CST-0386,PROJ-01,仮設工,労務費,1664065,1382406,0
2024/01/02,CST-0387,PROJ-02,仮設工,材料費,1568813,1158185,0
2024/01/05,CST-0388,PROJ-07,鉄筋工,労務費,702072,663682,0
2024/01/13,CST-0389,PROJ-07,土工,外注費,1040650,1271437,1
2024/01/05,CST-0390,PROJ-06,土工,材料費,1487879,1822253,1
2024/01/05,CST-0391,PROJ-04,土工,材料費,1226712,1148000,0
2024/01/18,CST-0392,PROJ-07,仮設工,材料費,725712,709602,0
2024/01/05,CST-0393,PROJ-05,コンクリート工,外注費,619070,604444,0
2024/01/14,CST-0394,PROJ-01,コンクリート工,材料費,1705348,1309207,0
2024/01/02,CST-0395,PROJ-08,土工,材料費,241119,183380,0
2024/01/15,CST-0396,PROJ-04,コンクリート工,材料費,1653027,1200993,0
2024/01/10,CST-0397,PROJ-04,鉄筋工,外注費,393885,394805,1
2024/01/11,CST-0398,PROJ-04,鉄筋工,材料費,1353924,1575321,1
2024/01/14,CST-0399,PROJ-05,鉄筋工,材料費,1484565,1503494,1
2024/01/06,CST-0400,PROJ-07,仮設工,材料費,1267522,1608627,1
2024/01/13,CST-0401,PROJ-06,仮設工,労務費,822290,1040157,1
2024/01/06,CST-0402,PROJ-08,コンクリート工,材料費,412932,363352,0
2024/01/05,CST-0403,PROJ-08,土工,外注費,730689,887439,1
2024/01/18,CST-0404,PROJ-03,仮設工,材料費,965447,1236420,1
2024/01/03,CST-0405,PROJ-08,鉄筋工,材料費,634764,521777,0
2024/01/07,CST-0406,PROJ-01,鉄筋工,労務費,1223309,1388150,1
2024/01/02,CST-0407,PROJ-02,コンクリート工,外注費,1512792,1608070,1
2024/01/07,CST-0408,PROJ-08,コンクリート工,労務費,1618978,1785522,1
2024/01/01,CST-0409,PROJ-04,コンクリート工,外注費,735831,937604,1
2024/01/16,CST-0410,PROJ-04,コンクリート工,労務費,346029,397285,1
2024/01/10,CST-0411,PROJ-07,仮設工,外注費,601913,620721,1
2024/01/09,CST-0412,PROJ-06,仮設工,労務費,1460467,1337138,0
2024/01/16,CST-0413,PROJ-06,コンクリート工,労務費,306796,362537,1
2024/01/19,CST-0414,PROJ-04,コンクリート工,材料費,756245,717191,0
2024/01/19,CST-0415,PROJ-07,鉄筋工,材料費,646882,667573,1
2024/01/13,CST-0416,PROJ-04,仮設工,外注費,511443,459234,0
2024/01/11,CST-0417,PROJ-05,仮設工,外注費,1472812,1864695,1
2024/01/15,CST-0418,PROJ-03,鉄筋工,材料費,1445730,1653563,1
