record_date,record_id,project_no,work_type,cost_category,budget_amount,actual_amount,is_over_budget,variance,variance_rate,budget_status,variance_grade,source_file
2024-01-09,CST-0001,PROJ-04,コンクリート工,材料費,1440975,1104937,0,-336038,-0.2332,予算内,予算内,costs_styleA_202401.csv
2024-01-18,CST-0002,PROJ-02,仮設工,材料費,1644492,1252275,0,-392217,-0.2385,予算内,予算内,costs_styleA_202401.csv
2024-01-08,CST-0003,PROJ-01,コンクリート工,外注費,162489,122876,0,-39613,-0.2438,予算内,予算内,costs_styleA_202401.csv
2024-01-14,CST-0004,PROJ-04,仮設工,外注費,1462906,1639617,1,176711,0.1208,超過,大超過,costs_styleA_202401.csv
2024-01-01,CST-0005,PROJ-03,仮設工,労務費,683408,810288,1,126880,0.1857,超過,大超過,costs_styleA_202401.csv
2024-01-11,CST-0006,PROJ-02,土工,労務費,682738,541607,0,-141131,-0.2067,予算内,予算内,costs_styleA_202401.csv
2024-01-12,CST-0007,PROJ-05,土工,外注費,302828,277205,0,-25623,-0.0846,予算内,予算内,costs_styleA_202401.csv
2024-01-13,CST-0008,PROJ-02,鉄筋工,外注費,1063483,1086599,1,23116,0.0217,超過,小超過,costs_styleA_202401.csv
2024-01-12,CST-0009,PROJ-04,土工,材料費,1397129,1720244,1,323115,0.2313,超過,大超過,costs_styleA_202401.csv
2024-01-10,CST-0010,PROJ-02,コンクリート工,材料費,1486769,1244037,0,-242732,-0.1633,予算内,予算内,costs_styleA_202401.csv
2024-01-12,CST-0011,PROJ-03,鉄筋工,労務費,897182,777663,0,-119519,-0.1332,予算内,予算内,costs_styleA_202401.csv
2024-01-03,CST-0012,PROJ-03,コンクリート工,材料費,539368,594440,1,55072,0.1021,超過,大超過,costs_styleA_202401.csv
2024-01-18,CST-0013,PROJ-04,鉄筋工,材料費,1069429,992080,0,-77349,-0.0723,予算内,予算内,costs_styleA_202401.csv
2024-01-11,CST-0014,PROJ-07,鉄筋工,材料費,580348,692402,1,112054,0.1931,超過,大超過,costs_styleA_202401.csv
2024-01-19,CST-0015,PROJ-06,コンクリート工,外注費,542463,676929,1,134466,0.2479,超過,大超過,costs_styleA_202401.csv
2024-01-15,CST-0016,PROJ-03,鉄筋工,材料費,1146963,1075139,0,-71824,-0.0626,予算内,予算内,costs_styleA_202401.csv
2024-01-18,CST-0017,PROJ-05,仮設工,外注費,617215,707941,1,90726,0.147,超過,大超過,costs_styleA_202401.csv
2024-01-05,CST-0018,PROJ-08,土工,材料費,937603,859967,0,-77636,-0.0828,予算内,予算内,costs_styleA_202401.csv
2024-01-06,CST-0019,PROJ-07,土工,労務費,1905863,1459489,0,-446374,-0.2342,予算内,予算内,costs_styleA_202401.csv
2024-01-15,CST-0020,PROJ-05,土工,外注費,900313,952110,1,51797,0.0575,超過,小超過,costs_styleA_202401.csv
2024-01-18,CST-0021,PROJ-05,鉄筋工,材料費,1611463,1238781,0,-372682,-0.2313,予算内,予算内,costs_styleA_202401.csv
2024-01-15,CST-0022,PROJ-01,鉄筋工,外注費,715514,687508,0,-28006,-0.0391,予算内,予算内,costs_styleA_202401.csv
2024-01-04,CST-0023,PROJ-05,コンクリート工,材料費,1697950,1370570,0,-327380,-0.1928,予算内,予算内,costs_styleA_202401.csv
2024-01-18,CST-0024,PROJ-01,鉄筋工,労務費,884154,1023413,1,139259,0.1575,超過,大超過,costs_styleA_202401.csv
2024-01-12,CST-0025,PROJ-05,コンクリート工,材料費,140845,108045,0,-32800,-0.2329,予算内,予算内,costs_styleA_202401.csv
2024-01-03,CST-0026,PROJ-02,仮設工,材料費,605144,742394,1,137250,0.2268,超過,大超過,costs_styleA_202401.csv
2024-01-05,CST-0027,PROJ-03,仮設工,外注費,1695098,1728362,1,33264,0.0196,超過,小超過,costs_styleA_202401.csv
2024-01-20,CST-0028,PROJ-07,コンクリート工,外注費,446296,383383,0,-62913,-0.141,予算内,予算内,costs_styleA_202401.csv
2024-01-07,CST-0029,PROJ-05,仮設工,外注費,1683905,1916214,1,232309,0.138,超過,大超過,costs_styleA_202401.csv
2024-01-17,CST-0030,PROJ-08,土工,材料費,1462893,1351789,0,-111104,-0.0759,予算内,予算内,costs_styleA_202401.csv
2024-01-01,CST-0031,PROJ-04,コンクリート工,材料費,571224,421800,0,-149424,-0.2616,予算内,予算内,costs_styleA_202401.csv
2024-01-02,CST-0032,PROJ-04,土工,材料費,248883,279919,1,31036,0.1247,超過,大超過,costs_styleA_202401.csv
2024-01-17,CST-0033,PROJ-04,鉄筋工,外注費,1902786,1709191,0,-193595,-0.1017,予算内,予算内,costs_styleA_202401.csv
2024-01-05,CST-0034,PROJ-08,コンクリート工,労務費,1117987,926299,0,-191688,-0.1715,予算内,予算内,costs_styleA_202401.csv
2024-01-04,CST-0035,PROJ-02,仮設工,労務費,1793443,1693433,0,-100010,-0.0558,予算内,予算内,costs_styleA_202401.csv
2024-01-02,CST-0036,PROJ-02,土工,労務費,988308,935593,0,-52715,-0.0533,予算内,予算内,costs_styleA_202401.csv
2024-01-04,CST-0037,PROJ-04,コンクリート工,材料費,1627174,1470284,0,-156890,-0.0964,予算内,予算内,costs_styleA_202401.csv
2024-01-14,CST-0038,PROJ-03,鉄筋工,労務費,1224672,1186913,0,-37759,-0.0308,予算内,予算内,costs_styleA_202401.csv
2024-01-03,CST-0039,PROJ-08,土工,材料費,623882,764063,1,140181,0.2247,超過,大超過,costs_styleA_202401.csv
2024-01-01,CST-0040,PROJ-02,コンクリート工,材料費,1467646,1907307,1,439661,0.2996,超過,大超過,costs_styleA_202401.csv
2024-01-07,CST-0041,PROJ-07,土工,材料費,952312,944107,0,-8205,-0.0086,予算内,予算内,costs_styleA_202401.csv
2024-01-13,CST-0042,PROJ-05,仮設工,労務費,894764,627491,0,-267273,-0.2987,予算内,予算内,costs_styleA_202401.csv
2024-01-18,CST-0043,PROJ-08,コンクリート工,材料費,987110,1103544,1,116434,0.118,超過,大超過,costs_styleA_202401.csv
2024-01-02,CST-0044,PROJ-01,鉄筋工,材料費,722241,599908,0,-122333,-0.1694,予算内,予算内,costs_styleA_202401.csv
2024-01-17,CST-0045,PROJ-03,土工,外注費,205156,215517,1,10361,0.0505,超過,小超過,costs_styleA_202401.csv
2024-01-03,CST-0046,PROJ-02,コンクリート工,労務費,268005,324501,1,56496,0.2108,超過,大超過,costs_styleA_202401.csv
2024-01-19,CST-0047,PROJ-04,土工,外注費,351420,444531,1,93111,0.265,超過,大超過,costs_styleA_202401.csv
2024-01-19,CST-0048,PROJ-06,鉄筋工,材料費,271931,258751,0,-13180,-0.0485,予算内,予算内,costs_styleA_202401.csv
2024-01-08,CST-0049,PROJ-05,仮設工,材料費,1504517,1699675,1,195158,0.1297,超過,大超過,costs_styleA_202401.csv
2024-01-15,CST-0050,PROJ-06,土工,材料費,1508636,1640340,1,131704,0.0873,超過,小超過,costs_styleA_202401.csv
2024-01-19,CST-0051,PROJ-02,土工,外注費,1061094,1138230,1,77136,0.0727,超過,小超過,costs_styleA_202401.csv
2024-01-05,CST-0052,PROJ-06,土工,材料費,547016,548947,1,1931,0.0035,超過,小超過,costs_styleA_202401.csv
2024-01-15,CST-0053,PROJ-05,土工,外注費,874954,762078,0,-112876,-0.129,予算内,予算内,costs_styleA_202401.csv
2024-01-04,CST-0054,PROJ-03,鉄筋工,材料費,1813591,1873006,1,59415,0.0328,超過,小超過,costs_styleA_202401.csv
2024-01-18,CST-0055,PROJ-03,鉄筋工,労務費,1965862,1502354,0,-463508,-0.2358,予算内,予算内,costs_styleA_202401.csv
2024-01-11,CST-0056,PROJ-04,鉄筋工,外注費,1368420,1130831,0,-237589,-0.1736,予算内,予算内,costs_styleA_202401.csv
2024-01-02,CST-0057,PROJ-02,仮設工,労務費,1124525,956602,0,-167923,-0.1493,予算内,予算内,costs_styleA_202401.csv
2024-01-05,CST-0058,PROJ-05,コンクリート工,外注費,192456,135128,0,-57328,-0.2979,予算内,予算内,costs_styleA_202401.csv
2024-01-14,CST-0059,PROJ-01,土工,材料費,1026596,1058428,1,31832,0.031,超過,小超過,costs_styleA_202401.csv
2024-01-05,CST-0060,PROJ-01,鉄筋工,外注費,1952008,2175731,1,223723,0.1146,超過,大超過,costs_styleA_202401.csv
2024-01-05,CST-0061,PROJ-01,鉄筋工,労務費,1258729,992956,0,-265773,-0.2111,予算内,予算内,costs_styleA_202401.csv
2024-01-02,CST-0062,PROJ-06,コンクリート工,外注費,1985300,2501185,1,515885,0.2599,超過,大超過,costs_styleA_202401.csv
2024-01-12,CST-0063,PROJ-07,コンクリート工,材料費,623301,685730,1,62429,0.1002,超過,大超過,costs_styleA_202401.csv
2024-01-06,CST-0064,PROJ-07,土工,材料費,1913209,1525786,0,-387423,-0.2025,予算内,予算内,costs_styleA_202401.csv
2024-01-14,CST-0065,PROJ-04,鉄筋工,材料費,1644687,2063576,1,418889,0.2547,超過,大超過,costs_styleA_202401.csv
2024-01-13,CST-0066,PROJ-01,仮設工,材料費,1751244,1962736,1,211492,0.1208,超過,大超過,costs_styleA_202401.csv
2024-01-15,CST-0067,PROJ-06,鉄筋工,材料費,518534,617030,1,98496,0.19,超過,大超過,costs_styleA_202401.csv
2024-01-07,CST-0068,PROJ-07,鉄筋工,労務費,567504,405310,0,-162194,-0.2858,予算内,予算内,costs_styleA_202401.csv
2024-01-09,CST-0069,PROJ-06,仮設工,外注費,1912679,1418543,0,-494136,-0.2583,予算内,予算内,costs_styleA_202401.csv
2024-01-01,CST-0070,PROJ-02,鉄筋工,材料費,1869285,1909903,1,40618,0.0217,超過,小超過,costs_styleA_202401.csv
2024-01-09,CST-0071,PROJ-01,土工,外注費,1317584,1683240,1,365656,0.2775,超過,大超過,costs_styleA_202401.csv
2024-01-11,CST-0072,PROJ-07,土工,労務費,1011346,917707,0,-93639,-0.0926,予算内,予算内,costs_styleA_202401.csv
2024-01-09,CST-0073,PROJ-01,仮設工,材料費,1986398,2077678,1,91280,0.046,超過,小超過,costs_styleA_202401.csv
2024-01-18,CST-0074,PROJ-04,鉄筋工,労務費,1190351,1494301,1,303950,0.2553,超過,大超過,costs_styleA_202401.csv
2024-01-11,CST-0075,PROJ-06,土工,外注費,246745,313199,1,66454,0.2693,超過,大超過,costs_styleA_202401.csv
2024-01-10,CST-0076,PROJ-07,鉄筋工,労務費,1987535,1749415,0,-238120,-0.1198,予算内,予算内,costs_styleA_202401.csv
2024-01-05,CST-0077,PROJ-04,仮設工,外注費,1562152,1370621,0,-191531,-0.1226,予算内,予算内,costs_styleA_202401.csv
2024-01-06,CST-0078,PROJ-05,仮設工,外注費,895125,990358,1,95233,0.1064,超過,大超過,costs_styleA_202401.csv
2024-01-10,CST-0079,PROJ-04,仮設工,外注費,1848448,1294363,0,-554085,-0.2998,予算内,予算内,costs_styleA_202401.csv
2024-01-15,CST-0080,PROJ-08,仮設工,外注費,1372261,1499638,1,127377,0.0928,超過,小超過,costs_styleA_202401.csv
2024-01-06,CST-0081,PROJ-02,鉄筋工,外注費,548164,551839,1,3675,0.0067,超過,小超過,costs_styleA_202401.csv
2024-01-11,CST-0082,PROJ-02,コンクリート工,外注費,1492202,1611226,1,119024,0.0798,超過,小超過,costs_styleA_202401.csv
2024-01-07,CST-0083,PROJ-03,土工,材料費,750996,626919,0,-124077,-0.1652,予算内,予算内,costs_styleA_202401.csv
2024-01-20,CST-0084,PROJ-02,仮設工,労務費,613472,791600,1,178128,0.2904,超過,大超過,costs_styleA_202401.csv
2024-01-07,CST-0085,PROJ-07,仮設工,労務費,1958363,2110839,1,152476,0.0779,超過,小超過,costs_styleA_202401.csv
2024-01-01,CST-0086,PROJ-02,仮設工,材料費,611672,482329,0,-129343,-0.2115,予算内,予算内,costs_styleA_202401.csv
2024-01-17,CST-0087,PROJ-08,土工,外注費,468861,554412,1,85551,0.1825,超過,大超過,costs_styleA_202401.csv
