日付,従業員番号,エリア,業務種別,処理数,誤処理数,稼働時間,残業
2024/01/01,WRK-001,入荷,フォークリフト,239,4,7.0,0.4
2024/01/01,WRK-002,入荷,仕分け,239,8,6.3,1.3
2024/01/01,WRK-003,入荷,フォークリフト,105,3,8.0,0.1
2024/01/01,WRK-004,保管,仕分け,216,8,7.7,1.3
2024/01/01,WRK-005,出荷,フォークリフト,244,2,8.8,1.0
2024/01/01,WRK-006,保管,フォークリフト,295,5,6.4,1.1
2024/01/01,WRK-007,出荷,ピッキング,204,4,9.2,2.2
2024/01/01,WRK-008,入荷,ピッキング,70,8,7.2,1.9
2024/01/01,WRK-009,出荷,仕分け,99,1,6.2,0.7
2024/01/01,WRK-010,出荷,フォークリフト,268,3,9.5,1.1
2024/01/01,WRK-011,検品,仕分け,263,5,6.7,1.1
2024/01/01,WRK-012,出荷,仕分け,289,10,8.6,1.8
2024/01/01,WRK-013,保管,仕分け,236,3,6.7,1.1
2024/01/01,WRK-014,保管,仕分け,133,0,6.9,0.1
2024/01/01,WRK-015,出荷,ピッキング,118,1,6.8,2.8
2024/01/01,WRK-016,出荷,フォークリフト,217,7,7.6,2.7
2024/01/01,WRK-017,検品,フォークリフト,117,2,7.0,1.7
2024/01/01,WRK-018,出荷,仕分け,199,6,9.6,1.2
2024/01/01,WRK-019,保管,フォークリフト,180,7,6.4,0.1
2024/01/01,WRK-020,入荷,フォークリフト,210,2,9.2,1.3
2024/01/02,WRK-001,入荷,ピッキング,147,9,10.0,1.6
2024/01/02,WRK-002,入荷,仕分け,234,1,8.7,1.6
2024/01/02,WRK-003,出荷,仕分け,137,1,7.2,0.5
2024/01/02,WRK-004,入荷,仕分け,274,4,9.9,2.3
2024/01/02,WRK-005,入荷,仕分け,126,10,8.0,0.6
2024/01/02,WRK-006,出荷,フォークリフト,188,8,9.7,1.8
2024/01/02,WRK-007,検品,フォークリフト,78,5,9.5,2.5
2024/01/02,WRK-008,出荷,フォークリフト,64,3,9.5,2.8
2024/01/02,WRK-009,入荷,仕分け,174,1,9.9,1.6
2024/01/02,WRK-010,保管,フォークリフト,218,7,9.8,0.5
2024/01/02,WRK-011,検品,フォークリフト,287,8,9.0,2.1
2024/01/02,WRK-012,出荷,ピッキング,221,10,7.5,2.7
2024/01/02,WRK-013,検品,フォークリフト,113,3,6.3,0.1
2024/01/02,WRK-014,保管,仕分け,106,0,6.3,1.9
2024/01/02,WRK-015,保管,フォークリフト,281,0,9.4,0.2
2024/01/02,WRK-016,保管,ピッキング,221,7,6.9,0.4
2024/01/02,WRK-017,検品,フォークリフト,250,7,9.2,0.6
2024/01/02,WRK-018,入荷,仕分け,160,5,7.7,1.4
2024/01/02,WRK-019,入荷,仕分け,217,10,6.4,1.2
2024/01/02,WRK-020,出荷,フォークリフト,113,3,6.8,1.3
2024/01/03,WRK-001,検品,フォークリフト,121,7,7.0,2.8
2024/01/03,WRK-002,検品,仕分け,75,0,8.6,1.6
2024/01/03,WRK-003,入荷,フォークリフト,287,3,6.7,1.5
2024/01/03,WRK-004,保管,ピッキング,281,0,6.7,0.0
2024/01/03,WRK-005,検品,ピッキング,287,7,7.1,2.1
2024/01/03,WRK-006,検品,フォークリフト,98,4,6.9,0.2
2024/01/03,WRK-007,入荷,仕分け,130,0,6.2,1.4
2024/01/03,WRK-008,保管,フォークリフト,295,8,6.3,0.6
2024/01/03,WRK-009,入荷,仕分け,270,3,7.6,2.8
2024/01/03,WRK-010,保管,仕分け,202,0,8.5,1.3
2024/01/03,WRK-011,出荷,ピッキング,102,10,8.9,0.7
2024/01/03,WRK-012,検品,フォークリフト,221,10,7.2,0.9
2024/01/03,WRK-013,入荷,フォークリフト,167,9,10.0,3.0
2024/01/03,WRK-014,入荷,仕分け,104,8,7.1,2.8
2024/01/03,WRK-015,入荷,フォークリフト,144,4,6.6,2.5
2024/01/03,WRK-016,出荷,仕分け,256,10,8.1,2.0
2024/01/03,WRK-017,出荷,仕分け,76,2,7.1,2.7
2024/01/03,WRK-018,保管,ピッキング,122,9,6.8,1.0
2024/01/03,WRK-019,出荷,仕分け,175,4,9.6,2.5
