work_date,worker_id,zone,task_type,processed_qty,error_qty,work_hours,overtime_hours,error_rate,throughput,kpi_flag,source_file
2024-01-01,WRK-001,入荷,フォークリフト,239,4,7.0,0.4,0.016736401673640166,34.142857142857146,優秀,worker_kpi_styleA.csv
2024-01-01,WRK-002,入荷,仕分け,239,8,6.3,1.3,0.03347280334728033,37.93650793650794,優秀,worker_kpi_styleA.csv
2024-01-01,WRK-003,入荷,フォークリフト,105,3,8.0,0.1,0.02857142857142857,13.125,標準,worker_kpi_styleA.csv
2024-01-01,WRK-004,保管,仕分け,216,8,7.7,1.3,0.037037037037037035,28.051948051948052,標準,worker_kpi_styleA.csv
2024-01-01,WRK-005,出荷,フォークリフト,244,2,8.8,1.0,0.00819672131147541,27.727272727272727,標準,worker_kpi_styleA.csv
2024-01-01,WRK-006,保管,フォークリフト,295,5,6.4,1.1,0.01694915254237288,46.09375,優秀,worker_kpi_styleA.csv
2024-01-01,WRK-007,出荷,ピッキング,204,4,9.2,2.2,0.0196078431372549,22.17391304347826,標準,worker_kpi_styleA.csv
2024-01-01,WRK-008,入荷,ピッキング,70,8,7.2,1.9,0.11428571428571428,9.722222222222221,標準,worker_kpi_styleA.csv
2024-01-01,WRK-009,出荷,仕分け,99,1,6.2,0.7,0.010101010101010102,15.96774193548387,標準,worker_kpi_styleA.csv
2024-01-01,WRK-010,出荷,フォークリフト,268,3,9.5,1.1,0.011194029850746268,28.210526315789473,標準,worker_kpi_styleA.csv
2024-01-01,WRK-011,検品,仕分け,263,5,6.7,1.1,0.019011406844106463,39.25373134328358,優秀,worker_kpi_styleA.csv
2024-01-01,WRK-012,出荷,仕分け,289,10,8.6,1.8,0.03460207612456748,33.6046511627907,優秀,worker_kpi_styleA.csv
2024-01-01,WRK-013,保管,仕分け,236,3,6.7,1.1,0.012711864406779662,35.223880597014926,優秀,worker_kpi_styleA.csv
2024-01-01,WRK-014,保管,仕分け,133,0,6.9,0.1,0.0,19.27536231884058,標準,worker_kpi_styleA.csv
2024-01-01,WRK-015,出荷,ピッキング,118,1,6.8,2.8,0.00847457627118644,17.352941176470587,標準,worker_kpi_styleA.csv
2024-01-01,WRK-016,出荷,フォークリフト,217,7,7.6,2.7,0.03225806451612903,28.55263157894737,標準,worker_kpi_styleA.csv
2024-01-01,WRK-017,検品,フォークリフト,117,2,7.0,1.7,0.017094017094017096,16.714285714285715,標準,worker_kpi_styleA.csv
2024-01-01,WRK-018,出荷,仕分け,199,6,9.6,1.2,0.03015075376884422,20.729166666666668,標準,worker_kpi_styleA.csv
2024-01-01,WRK-019,保管,フォークリフト,180,7,6.4,0.1,0.03888888888888889,28.125,標準,worker_kpi_styleA.csv
2024-01-01,WRK-020,入荷,フォークリフト,210,2,9.2,1.3,0.009523809523809525,22.826086956521742,標準,worker_kpi_styleA.csv
2024-01-02,WRK-001,入荷,ピッキング,147,9,10.0,1.6,0.061224489795918366,14.7,標準,worker_kpi_styleA.csv
2024-01-02,WRK-002,入荷,仕分け,234,1,8.7,1.6,0.004273504273504274,26.896551724137932,標準,worker_kpi_styleA.csv
2024-01-02,WRK-003,出荷,仕分け,137,1,7.2,0.5,0.0072992700729927005,19.02777777777778,標準,worker_kpi_styleA.csv
2024-01-02,WRK-004,入荷,仕分け,274,4,9.9,2.3,0.014598540145985401,27.676767676767675,標準,worker_kpi_styleA.csv
2024-01-02,WRK-005,入荷,仕分け,126,10,8.0,0.6,0.07936507936507936,15.75,標準,worker_kpi_styleA.csv
2024-01-02,WRK-006,出荷,フォークリフト,188,8,9.7,1.8,0.0425531914893617,19.381443298969074,標準,worker_kpi_styleA.csv
2024-01-02,WRK-007,検品,フォークリフト,78,5,9.5,2.5,0.0641025641025641,8.210526315789474,標準,worker_kpi_styleA.csv
2024-01-02,WRK-008,出荷,フォークリフト,64,3,9.5,2.8,0.046875,6.7368421052631575,標準,worker_kpi_styleA.csv
2024-01-02,WRK-009,入荷,仕分け,174,1,9.9,1.6,0.005747126436781609,17.575757575757574,標準,worker_kpi_styleA.csv
2024-01-02,WRK-010,保管,フォークリフト,218,7,9.8,0.5,0.03211009174311927,22.24489795918367,標準,worker_kpi_styleA.csv
2024-01-02,WRK-011,検品,フォークリフト,287,8,9.0,2.1,0.027874564459930314,31.88888888888889,優秀,worker_kpi_styleA.csv
2024-01-02,WRK-012,出荷,ピッキング,221,10,7.5,2.7,0.04524886877828054,29.466666666666665,標準,worker_kpi_styleA.csv
2024-01-02,WRK-013,検品,フォークリフト,113,3,6.3,0.1,0.02654867256637168,17.936507936507937,標準,worker_kpi_styleA.csv
2024-01-02,WRK-014,保管,仕分け,106,0,6.3,1.9,0.0,16.825396825396826,標準,worker_kpi_styleA.csv
2024-01-02,WRK-015,保管,フォークリフト,281,0,9.4,0.2,0.0,29.893617021276594,標準,worker_kpi_styleA.csv
2024-01-02,WRK-016,保管,ピッキング,221,7,6.9,0.4,0.03167420814479638,32.028985507246375,優秀,worker_kpi_styleA.csv
