worker_id,avg_throughput,avg_error_rate,kpi_flag
WRK-001,25.72,0.0277,標準
WRK-002,17.69,0.0387,標準
WRK-003,24.22,0.0313,標準
WRK-004,22.68,0.0372,標準
WRK-005,21.89,0.0436,標準
WRK-006,21.42,0.0432,標準
WRK-007,23.08,0.0376,標準
WRK-008,26.62,0.0367,標準
WRK-009,25.16,0.0309,標準
WRK-010,26.91,0.0284,標準
WRK-011,21.91,0.0489,標準
WRK-012,26.0,0.036,標準
WRK-013,27.64,0.0318,標準
WRK-014,20.1,0.0379,標準
WRK-015,21.09,0.0368,標準
WRK-016,18.37,0.0474,標準
WRK-017,18.57,0.0365,標準
WRK-018,28.07,0.0341,標準
WRK-019,22.39,0.0389,標準
WRK-020,22.46,0.0403,標準
