作業日,記録ID,スタッフID,作業区分,作物,作業時間,目標数量,実績数量,目標達成
2024/01/04,AGR-0001,STAFF-01,収穫,キュウリ,3.8,854,565,0
2024/01/18,AGR-0002,STAFF-02,管理作業,トマト,2.2,323,239,0
2024/01/20,AGR-0003,STAFF-01,施肥,ホウレンソウ,5.4,559,533,0
2024/01/01,AGR-0004,STAFF-03,管理作業,レタス,4.2,320,376,1
2024/01/11,AGR-0005,STAFF-02,播種,イチゴ,2.8,967,780,0
2024/01/09,AGR-0006,STAFF-01,管理作業,ホウレンソウ,3.0,487,315,0
2024/01/10,AGR-0007,STAFF-10,収穫,ホウレンソウ,3.5,171,107,0
2024/01/08,AGR-0008,STAFF-05,播種,キュウリ,8.9,489,375,0
2024/01/12,AGR-0009,STAFF-03,収穫,レタス,3.7,373,381,1
2024/01/03,AGR-0010,STAFF-10,施肥,ホウレンソウ,7.8,267,234,0
2024/01/09,AGR-0011,STAFF-09,施肥,レタス,8.7,894,566,0
2024/01/02,AGR-0012,STAFF-06,管理作業,レタス,2.5,680,766,1
2024/01/11,AGR-0013,STAFF-04,管理作業,イチゴ,9.1,758,663,0
2024/01/09,AGR-0014,STAFF-03,施肥,ホウレンソウ,6.3,864,821,0
2024/01/19,AGR-0015,STAFF-07,収穫,キュウリ,10.0,241,218,0
2024/01/03,AGR-0016,STAFF-01,播種,キュウリ,7.0,911,919,1
2024/01/20,AGR-0017,STAFF-02,管理作業,イチゴ,6.8,579,531,0
2024/01/18,AGR-0018,STAFF-01,播種,ホウレンソウ,8.0,887,873,0
2024/01/04,AGR-0019,STAFF-05,管理作業,キュウリ,5.6,839,944,1
2024/01/09,AGR-0020,STAFF-09,施肥,ホウレンソウ,9.3,991,966,0
2024/01/17,AGR-0021,STAFF-10,施肥,キュウリ,5.0,265,245,0
2024/01/17,AGR-0022,STAFF-01,収穫,イチゴ,2.2,471,531,1
2024/01/10,AGR-0023,STAFF-04,播種,キュウリ,9.0,180,117,0
2024/01/16,AGR-0024,STAFF-02,施肥,キュウリ,7.3,662,463,0
2024/01/17,AGR-0025,STAFF-10,管理作業,キュウリ,9.4,873,906,1
2024/01/07,AGR-0026,STAFF-05,管理作業,レタス,5.5,629,548,0
2024/01/08,AGR-0027,STAFF-04,播種,レタス,2.2,667,492,0
2024/01/08,AGR-0028,STAFF-01,播種,トマト,3.8,132,147,1
2024/01/03,AGR-0029,STAFF-09,施肥,レタス,7.4,319,295,0
2024/01/19,AGR-0030,STAFF-10,管理作業,キュウリ,8.3,926,782,0
2024/01/04,AGR-0031,STAFF-02,管理作業,レタス,5.4,578,646,1
2024/01/02,AGR-0032,STAFF-02,播種,イチゴ,7.8,919,1027,1
2024/01/08,AGR-0033,STAFF-04,施肥,ホウレンソウ,5.6,532,378,0
2024/01/15,AGR-0034,STAFF-04,播種,イチゴ,8.5,976,908,0
2024/01/02,AGR-0035,STAFF-09,播種,トマト,9.4,969,719,0
2024/01/14,AGR-0036,STAFF-08,管理作業,キュウリ,8.9,160,112,0
2024/01/01,AGR-0037,STAFF-07,収穫,イチゴ,4.3,813,955,1
2024/01/18,AGR-0038,STAFF-08,施肥,キュウリ,4.4,159,151,0
2024/01/18,AGR-0039,STAFF-01,収穫,トマト,2.4,588,530,0
2024/01/17,AGR-0040,STAFF-03,播種,ホウレンソウ,2.6,290,186,0
2024/01/03,AGR-0041,STAFF-04,管理作業,トマト,9.5,683,511,0
2024/01/20,AGR-0042,STAFF-01,播種,イチゴ,7.3,678,619,0
2024/01/09,AGR-0043,STAFF-04,収穫,キュウリ,4.1,234,235,1
2024/01/10,AGR-0044,STAFF-08,収穫,トマト,2.1,736,883,1
2024/01/04,AGR-0045,STAFF-02,施肥,ホウレンソウ,4.1,457,516,1
2024/01/08,AGR-0046,STAFF-06,収穫,キュウリ,5.5,656,671,1
2024/01/20,AGR-0047,STAFF-09,播種,ホウレンソウ,4.4,779,516,0
2024/01/05,AGR-0048,STAFF-05,播種,トマト,7.9,259,198,0
2024/01/20,AGR-0049,STAFF-04,収穫,キュウリ,7.5,973,738,0
2024/01/16,AGR-0050,STAFF-05,播種,トマト,7.1,949,727,0
2024/01/01,AGR-0051,STAFF-06,施肥,レタス,3.3,552,514,0
2024/01/14,AGR-0052,STAFF-09,播種,トマト,2.6,807,922,1
2024/01/18,AGR-0053,STAFF-01,収穫,ホウレンソウ,6.4,540,365,0
2024/01/10,AGR-0054,STAFF-06,播種,レタス,3.7,355,355,1
2024/01/12,AGR-0055,STAFF-09,管理作業,ホウレンソウ,8.0,342,383,1
2024/01/06,AGR-0056,STAFF-07,播種,キュウリ,7.9,440,471,1
2024/01/14,AGR-0057,STAFF-04,収穫,キュウリ,8.3,210,174,0
2024/01/02,AGR-0058,STAFF-08,施肥,キュウリ,8.5,571,462,0
2024/01/08,AGR-0059,STAFF-04,播種,キュウリ,5.2,385,431,1
2024/01/09,AGR-0060,STAFF-06,管理作業,ホウレンソウ,4.6,128,86,0
2024/01/09,AGR-0061,STAFF-03,収穫,トマト,2.9,544,439,0
2024/01/11,AGR-0062,STAFF-07,播種,イチゴ,9.2,294,221,0
2024/01/14,AGR-0063,STAFF-01,施肥,レタス,5.5,780,899,1
2024/01/20,AGR-0064,STAFF-06,播種,レタス,6.1,782,661,0
2024/01/13,AGR-0065,STAFF-05,施肥,キュウリ,5.4,488,491,1
2024/01/06,AGR-0066,STAFF-10,収穫,イチゴ,6.4,100,78,0
2024/01/07,AGR-0067,STAFF-07,収穫,イチゴ,5.5,791,576,0
2024/01/16,AGR-0068,STAFF-03,播種,レタス,6.1,748,727,0
2024/01/03,AGR-0069,STAFF-04,収穫,キュウリ,8.5,250,154,0
2024/01/08,AGR-0070,STAFF-08,播種,イチゴ,5.3,744,703,0
2024/01/13,AGR-0071,STAFF-08,管理作業,キュウリ,3.2,804,485,0
2024/01/04,AGR-0072,STAFF-07,施肥,キュウリ,8.4,812,740,0
2024/01/02,AGR-0073,STAFF-09,施肥,トマト,5.7,920,808,0
2024/01/17,AGR-0074,STAFF-09,収穫,イチゴ,6.9,836,949,1
2024/01/14,AGR-0075,STAFF-09,管理作業,キュウリ,7.9,586,510,0
2024/01/08,AGR-0076,STAFF-05,管理作業,キュウリ,4.2,179,184,1
2024/01/08,AGR-0077,STAFF-05,収穫,レタス,9.1,182,124,0
2024/01/08,AGR-0078,STAFF-07,施肥,キュウリ,2.5,517,413,0
2024/01/15,AGR-0079,STAFF-07,播種,キュウリ,8.7,498,569,1
2024/01/19,AGR-0080,STAFF-01,管理作業,イチゴ,2.0,460,358,0
2024/01/13,AGR-0081,STAFF-07,施肥,イチゴ,3.8,546,487,0
2024/01/13,AGR-0082,STAFF-06,管理作業,キュウリ,8.7,230,273,1
2024/01/18,AGR-0083,STAFF-01,管理作業,ホウレンソウ,6.5,127,83,0
2024/01/14,AGR-0084,STAFF-03,管理作業,キュウリ,2.4,488,389,0
2024/01/15,AGR-0085,STAFF-06,収穫,イチゴ,4.2,951,811,0
2024/01/03,AGR-0086,STAFF-08,播種,ホウレンソウ,2.4,458,336,0
2024/01/03,AGR-0087,STAFF-01,播種,キュウリ,3.6,120,117,0
2024/01/08,AGR-0088,STAFF-03,管理作業,トマト,6.5,323,284,0
2024/01/09,AGR-0089,STAFF-06,施肥,ホウレンソウ,6.9,865,892,1
2024/01/06,AGR-0090,STAFF-05,播種,ホウレンソウ,2.2,419,396,0
2024/01/13,AGR-0091,STAFF-07,施肥,トマト,6.7,950,928,0
2024/01/04,AGR-0092,STAFF-05,播種,ホウレンソウ,8.3,455,418,0
2024/01/12,AGR-0093,STAFF-02,収穫,トマト,8.8,942,842,0
2024/01/14,AGR-0094,STAFF-06,管理作業,キュウリ,5.5,851,777,0
2024/01/09,AGR-0095,STAFF-10,管理作業,イチゴ,5.5,848,810,0
2024/01/11,AGR-0096,STAFF-04,播種,レタス,9.1,349,367,1
2024/01/19,AGR-0097,STAFF-10,管理作業,レタス,2.2,971,772,0
2024/01/16,AGR-0098,STAFF-04,収穫,レタス,4.7,710,725,1
2024/01/09,AGR-0099,STAFF-09,播種,ホウレンソウ,9.6,187,139,0
2024/01/14,AGR-0100,STAFF-08,施肥,イチゴ,7.2,602,523,0
2024/01/01,AGR-0101,STAFF-02,収穫,キュウリ,5.2,349,274,0
2024/01/19,AGR-0102,STAFF-06,管理作業,ホウレンソウ,6.2,535,641,1
