WorkDate,RecordID,StaffID,WorkType,Crop,WorkHours,TargetQty,ActualQty,IsTargetMet
2024-01-20,AGR-0161,STAFF-04,播種,イチゴ,9.3,409,405,0
2024-01-04,AGR-0162,STAFF-03,播種,トマト,4.4,604,404,0
2024-01-08,AGR-0163,STAFF-09,施肥,イチゴ,5.6,786,919,1
2024-01-18,AGR-0164,STAFF-07,施肥,イチゴ,7.2,953,852,0
2024-01-14,AGR-0165,STAFF-05,播種,レタス,3.7,555,650,1
2024-01-12,AGR-0166,STAFF-02,収穫,ホウレンソウ,9.2,760,620,0
2024-01-13,AGR-0167,STAFF-05,施肥,トマト,9.6,943,823,0
2024-01-07,AGR-0168,STAFF-10,播種,トマト,8.3,349,416,1
2024-01-19,AGR-0169,STAFF-04,播種,ホウレンソウ,3.7,321,349,1
2024-01-08,AGR-0170,STAFF-06,施肥,ホウレンソウ,2.0,979,1165,1
2024-01-05,AGR-0171,STAFF-09,収穫,キュウリ,2.9,987,607,0
2024-01-01,AGR-0172,STAFF-06,施肥,ホウレンソウ,4.6,278,211,0
2024-01-05,AGR-0173,STAFF-07,播種,トマト,5.8,896,732,0
2024-01-19,AGR-0174,STAFF-02,管理作業,ホウレンソウ,3.8,729,456,0
2024-01-17,AGR-0175,STAFF-05,管理作業,トマト,2.5,590,654,1
2024-01-14,AGR-0176,STAFF-02,管理作業,イチゴ,2.6,182,144,0
2024-01-05,AGR-0177,STAFF-02,施肥,レタス,7.0,699,649,0
2024-01-11,AGR-0178,STAFF-07,収穫,イチゴ,6.0,540,356,0
2024-01-04,AGR-0179,STAFF-09,施肥,イチゴ,5.6,333,282,0
2024-01-15,AGR-0180,STAFF-07,管理作業,トマト,4.5,420,420,1
2024-01-12,AGR-0181,STAFF-03,管理作業,トマト,2.7,187,123,0
2024-01-04,AGR-0182,STAFF-06,施肥,ホウレンソウ,2.5,675,632,0
2024-01-04,AGR-0183,STAFF-07,収穫,イチゴ,8.9,838,529,0
2024-01-10,AGR-0184,STAFF-10,収穫,レタス,2.8,619,450,0
2024-01-16,AGR-0185,STAFF-04,播種,レタス,8.8,476,318,0
2024-01-09,AGR-0186,STAFF-10,施肥,イチゴ,8.8,885,966,1
2024-01-20,AGR-0187,STAFF-09,播種,ホウレンソウ,9.4,949,964,1
2024-01-01,AGR-0188,STAFF-03,収穫,レタス,9.4,459,277,0
2024-01-05,AGR-0189,STAFF-10,管理作業,トマト,3.1,748,885,1
2024-01-03,AGR-0190,STAFF-09,施肥,イチゴ,5.4,449,312,0
2024-01-10,AGR-0191,STAFF-06,播種,トマト,3.2,872,846,0
2024-01-03,AGR-0192,STAFF-05,管理作業,イチゴ,5.9,552,468,0
2024-01-07,AGR-0193,STAFF-09,播種,レタス,5.4,390,393,1
2024-01-19,AGR-0194,STAFF-08,収穫,トマト,3.8,713,451,0
2024-01-07,AGR-0195,STAFF-05,施肥,キュウリ,8.1,396,316,0
2024-01-01,AGR-0196,STAFF-08,管理作業,キュウリ,3.0,645,659,1
2024-01-17,AGR-0197,STAFF-09,収穫,トマト,5.2,859,537,0
2024-01-01,AGR-0198,STAFF-08,播種,レタス,6.6,687,579,0
2024-01-14,AGR-0199,STAFF-05,播種,イチゴ,2.2,432,304,0
2024-01-20,AGR-0200,STAFF-08,収穫,トマト,5.5,208,155,0
2024-01-19,AGR-0201,STAFF-07,播種,イチゴ,9.0,863,694,0
2024-01-11,AGR-0202,STAFF-03,播種,ホウレンソウ,7.1,643,583,0
2024-01-12,AGR-0203,STAFF-06,施肥,キュウリ,2.8,362,260,0
2024-01-20,AGR-0204,STAFF-03,播種,キュウリ,9.6,743,666,0
2024-01-19,AGR-0205,STAFF-10,管理作業,ホウレンソウ,7.1,739,587,0
2024-01-11,AGR-0206,STAFF-03,管理作業,トマト,5.8,746,583,0
2024-01-09,AGR-0207,STAFF-10,播種,レタス,6.1,417,366,0
2024-01-02,AGR-0208,STAFF-01,収穫,レタス,2.6,984,1167,1
2024-01-03,AGR-0209,STAFF-10,管理作業,イチゴ,6.6,910,949,1
2024-01-02,AGR-0210,STAFF-08,施肥,レタス,6.8,613,423,0
2024-01-02,AGR-0211,STAFF-08,播種,レタス,9.9,186,168,0
2024-01-06,AGR-0212,STAFF-01,施肥,イチゴ,9.9,636,581,0
2024-01-06,AGR-0213,STAFF-06,収穫,レタス,5.1,893,717,0
2024-01-20,AGR-0214,STAFF-01,収穫,トマト,4.6,671,676,1
2024-01-10,AGR-0215,STAFF-05,施肥,レタス,2.7,779,534,0
2024-01-12,AGR-0216,STAFF-05,管理作業,キュウリ,6.8,186,146,0
2024-01-13,AGR-0217,STAFF-06,施肥,ホウレンソウ,2.7,786,671,0
2024-01-12,AGR-0218,STAFF-01,収穫,レタス,3.4,319,257,0
2024-01-16,AGR-0219,STAFF-04,施肥,キュウリ,3.2,402,445,1
2024-01-04,AGR-0220,STAFF-09,播種,レタス,9.0,732,497,0
2024-01-13,AGR-0221,STAFF-03,施肥,キュウリ,8.7,889,867,0
2024-01-06,AGR-0222,STAFF-08,播種,イチゴ,4.9,836,621,0
2024-01-15,AGR-0223,STAFF-10,収穫,イチゴ,3.9,344,270,0
2024-01-16,AGR-0224,STAFF-04,収穫,ホウレンソウ,9.9,572,607,1
2024-01-13,AGR-0225,STAFF-09,管理作業,キュウリ,8.5,920,886,0
2024-01-09,AGR-0226,STAFF-01,管理作業,レタス,6.4,205,211,1
2024-01-17,AGR-0227,STAFF-02,収穫,トマト,8.1,379,330,0
2024-01-17,AGR-0228,STAFF-03,管理作業,トマト,9.6,327,356,1
2024-01-12,AGR-0229,STAFF-01,管理作業,トマト,5.2,482,357,0
2024-01-03,AGR-0230,STAFF-06,施肥,トマト,4.5,201,222,1
2024-01-11,AGR-0231,STAFF-03,施肥,トマト,4.3,949,838,0
2024-01-05,AGR-0232,STAFF-08,管理作業,ホウレンソウ,2.0,181,111,0
2024-01-07,AGR-0233,STAFF-03,管理作業,トマト,8.2,343,268,0
2024-01-02,AGR-0234,STAFF-04,管理作業,ホウレンソウ,5.7,213,235,1
