日付,管理番号,作業者ID,作業種別,栽培品目,勤務時間,計画量,収穫量,達成フラグ
2024/01/17,AGR-0321,STAFF-08,播種,キュウリ,7.7,600,393,0
2024/01/17,AGR-0322,STAFF-08,播種,イチゴ,3.1,525,459,0
2024/01/02,AGR-0323,STAFF-09,管理作業,レタス,7.8,505,380,0
2024/01/01,AGR-0324,STAFF-04,播種,トマト,5.4,817,521,0
2024/01/02,AGR-0325,STAFF-02,管理作業,トマト,4.3,284,301,1
2024/01/14,AGR-0326,STAFF-06,管理作業,イチゴ,9.0,486,401,0
2024/01/18,AGR-0327,STAFF-03,収穫,トマト,3.4,650,543,0
2024/01/05,AGR-0328,STAFF-04,播種,トマト,9.8,574,576,1
2024/01/18,AGR-0329,STAFF-07,管理作業,キュウリ,4.0,454,315,0
2024/01/07,AGR-0330,STAFF-02,播種,イチゴ,6.9,116,86,0
2024/01/03,AGR-0331,STAFF-02,播種,イチゴ,6.8,820,921,1
2024/01/08,AGR-0332,STAFF-01,管理作業,イチゴ,3.9,322,339,1
2024/01/02,AGR-0333,STAFF-03,収穫,キュウリ,8.5,849,803,0
2024/01/19,AGR-0334,STAFF-10,収穫,キュウリ,4.4,246,293,1
2024/01/17,AGR-0335,STAFF-04,管理作業,レタス,4.2,670,783,1
2024/01/06,AGR-0336,STAFF-07,管理作業,トマト,9.8,758,760,1
2024/01/17,AGR-0337,STAFF-06,管理作業,イチゴ,3.2,485,345,0
2024/01/18,AGR-0338,STAFF-08,施肥,キュウリ,4.4,824,566,0
2024/01/15,AGR-0339,STAFF-01,管理作業,イチゴ,6.5,237,197,0
2024/01/09,AGR-0340,STAFF-04,収穫,トマト,9.4,967,795,0
2024/01/18,AGR-0341,STAFF-04,播種,レタス,5.0,719,692,0
2024/01/03,AGR-0342,STAFF-04,施肥,イチゴ,3.7,440,344,0
2024/01/01,AGR-0343,STAFF-04,施肥,トマト,8.0,872,774,0
2024/01/08,AGR-0344,STAFF-10,施肥,イチゴ,9.3,665,527,0
2024/01/10,AGR-0345,STAFF-07,管理作業,ホウレンソウ,7.2,415,314,0
2024/01/17,AGR-0346,STAFF-08,管理作業,トマト,8.4,839,740,0
2024/01/11,AGR-0347,STAFF-04,収穫,レタス,5.3,676,756,1
2024/01/05,AGR-0348,STAFF-01,収穫,ホウレンソウ,9.5,693,715,1
2024/01/10,AGR-0349,STAFF-03,施肥,レタス,3.8,683,751,1
2024/01/16,AGR-0350,STAFF-09,収穫,レタス,8.1,600,708,1
2024/01/16,AGR-0351,STAFF-08,施肥,レタス,3.4,837,777,0
2024/01/06,AGR-0352,STAFF-09,播種,ホウレンソウ,2.3,967,623,0
2024/01/02,AGR-0353,STAFF-01,管理作業,キュウリ,8.7,336,215,0
2024/01/05,AGR-0354,STAFF-01,施肥,ホウレンソウ,5.6,161,156,0
2024/01/20,AGR-0355,STAFF-08,管理作業,トマト,2.1,664,562,0
2024/01/01,AGR-0356,STAFF-09,収穫,ホウレンソウ,9.8,117,105,0
2024/01/14,AGR-0357,STAFF-03,播種,トマト,6.2,346,247,0
2024/01/17,AGR-0358,STAFF-05,収穫,レタス,8.4,180,148,0
2024/01/13,AGR-0359,STAFF-08,施肥,キュウリ,4.4,947,1050,1
2024/01/02,AGR-0360,STAFF-02,管理作業,イチゴ,5.0,587,372,0
2024/01/01,AGR-0361,STAFF-03,播種,イチゴ,8.8,760,814,1
2024/01/19,AGR-0362,STAFF-02,播種,キュウリ,3.7,988,1003,1
2024/01/19,AGR-0363,STAFF-08,収穫,トマト,9.4,800,924,1
2024/01/18,AGR-0364,STAFF-10,播種,キュウリ,9.4,422,257,0
2024/01/07,AGR-0365,STAFF-10,施肥,イチゴ,9.4,406,283,0
2024/01/08,AGR-0366,STAFF-10,管理作業,ホウレンソウ,4.7,873,911,1
2024/01/03,AGR-0367,STAFF-09,収穫,トマト,2.8,337,372,1
2024/01/11,AGR-0368,STAFF-10,管理作業,レタス,2.2,379,406,1
