WorkDate,SiteID,SiteName,Process,WorkerID,PlannedHours,ActualHours,ProgressPct,DefectCount
2024-01-01,SITE-A,現場A,基礎,WRK-001,7.5,5.5,47,5
2024-01-02,SITE-A,現場A,基礎,WRK-001,7.2,4.2,41,1
2024-01-03,SITE-B,現場B,基礎,WRK-001,7.1,8.3,99,3
2024-01-04,SITE-B,現場B,設備,WRK-001,7.2,8.9,30,1
2024-01-05,SITE-D,現場D,内装,WRK-001,6.6,5.3,73,0
2024-01-06,SITE-A,現場A,設備,WRK-001,6.2,9.1,63,0
2024-01-07,SITE-D,現場D,基礎,WRK-001,7.9,6.3,100,2
2024-01-08,SITE-E,現場E,内装,WRK-001,7.2,8.2,35,5
2024-01-09,SITE-B,現場B,内装,WRK-001,8.0,9.1,42,3
2024-01-10,SITE-C,現場C,設備,WRK-001,7.3,6.2,77,2
2024-01-11,SITE-B,現場B,内装,WRK-001,7.4,8.1,39,4
2024-01-12,SITE-B,現場B,躯体,WRK-001,6.3,6.3,58,5
2024-01-13,SITE-C,現場C,基礎,WRK-001,6.5,4.2,70,3
2024-01-14,SITE-C,現場C,基礎,WRK-001,6.4,9.7,70,1
2024-01-15,SITE-D,現場D,設備,WRK-001,7.8,7.9,48,2
2024-01-16,SITE-B,現場B,躯体,WRK-001,7.5,7.2,84,4
2024-01-17,SITE-D,現場D,内装,WRK-001,6.4,10.0,95,3
2024-01-18,SITE-A,現場A,基礎,WRK-001,7.7,4.9,50,5
2024-01-19,SITE-D,現場D,基礎,WRK-001,6.8,7.6,89,4
2024-01-20,SITE-C,現場C,基礎,WRK-001,7.4,4.7,98,2
2024-01-01,SITE-C,現場C,基礎,WRK-002,6.6,4.9,30,5
2024-01-02,SITE-C,現場C,躯体,WRK-002,7.0,4.6,68,5
2024-01-03,SITE-E,現場E,躯体,WRK-002,6.3,8.6,99,4
2024-01-04,SITE-A,現場A,内装,WRK-002,7.0,4.7,76,2
2024-01-05,SITE-B,現場B,基礎,WRK-002,6.5,7.4,40,0
2024-01-06,SITE-D,現場D,基礎,WRK-002,8.0,7.2,46,1
2024-01-07,SITE-D,現場D,躯体,WRK-002,6.5,9.2,84,1
2024-01-08,SITE-E,現場E,躯体,WRK-002,7.4,6.4,77,3
2024-01-09,SITE-E,現場E,設備,WRK-002,6.2,5.3,73,0
2024-01-10,SITE-E,現場E,躯体,WRK-002,7.2,4.0,37,1
